"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"CFL1"	5.07758724792244e-22	0.781421400114645	0.493	0.106	1.17535989614909e-17	"Mig"	"CFL1"	"80-90"
"MTCO1P40"	5.63126019242395e-22	1.55038556502964	0.331	0.012	1.3035241093423e-17	"Mig"	"MTCO1P40"	"80-90"
"PTPRE"	7.24935479427621e-22	1.93310085952204	0.396	0.049	1.67808064777906e-17	"Mig"	"PTPRE"	"80-90"
"SRSF2"	7.37576964275303e-22	2.21508981896018	0.331	0.012	1.70734315690447e-17	"Mig"	"SRSF2"	"80-90"
"CD63"	1.07705152590061e-21	1.53040030096501	0.45	0.085	2.49315887215473e-17	"Mig"	"CD63"	"80-90"
"CALM2"	1.55945077153418e-21	0.971150871478415	0.684	0.272	3.60981664594733e-17	"Mig"	"CALM2"	"80-90"
"ALDOA"	5.57995448191664e-21	2.19960577187129	0.302	0.004	1.29164786347406e-16	"Mig"	"ALDOA"	"80-90"
"FMNL3"	7.97618319591016e-21	-2.82526426384486	0.393	0.654	1.84632688618928e-16	"Mig"	"FMNL3"	"80-90"
"CYBB"	9.45705633535994e-21	-1.57606885472061	0.822	0.943	2.18911940050912e-16	"Mig"	"CYBB"	"80-90"
"MYL6"	9.5663196117654e-21	2.0027293162926	0.438	0.089	2.21441166373145e-16	"Mig"	"MYL6"	"80-90"
"C1QA"	1.26440108960372e-20	1.19897126109214	0.633	0.264	2.92683564221468e-16	"Mig"	"C1QA"	"80-90"
"B2M"	1.37251879259328e-20	0.818518219312987	0.84	0.455	3.17710650109494e-16	"Mig"	"B2M"	"80-90"
"NRAS"	1.93595756030741e-20	2.70130231545328	0.296	0.004	4.48135456059959e-16	"Mig"	"NRAS"	"80-90"
"SH3BGRL3"	1.97771039785736e-20	1.84195167605016	0.314	0.012	4.57800402896021e-16	"Mig"	"SH3BGRL3"	"80-90"
"AMFR"	3.13228022344399e-20	-3.21744522301045	0.191	0.476	7.25060226122814e-16	"Mig"	"AMFR"	"80-90"
"SYNGR2"	3.28528241315134e-20	1.30420078071387	0.335	0.024	7.60477172996272e-16	"Mig"	"SYNGR2"	"80-90"
