"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"FGD2"	2.65042845768805e-110	-2.29857664711612	0.498	0.912	6.1352117938563e-106	"Mig"	"FGD2"	"70-80"	"male"
"AXL"	8.70025828768181e-86	-1.94024316199009	0.347	0.839	2.01393578843259e-81	"Mig"	"AXL"	"70-80"	"male"
"ITGAX"	2.53516214214645e-81	-1.99458284788396	0.526	0.895	5.8683933266406e-77	"Mig"	"ITGAX"	"70-80"	"male"
"TNFRSF13C"	1.27340286415984e-75	-3.11348707067505	0.037	0.44	2.94767294995719e-71	"Mig"	"TNFRSF13C"	"70-80"	"male"
"HNRNPH1"	5.16151294315922e-71	-1.30261988116396	0.871	0.985	1.1947870160825e-66	"Mig"	"HNRNPH1"	"70-80"	"male"
"C1QA"	2.10270369088903e-66	1.85070620342183	0.565	0.137	4.86733850366992e-62	"Mig"	"C1QA"	"70-80"	"male"
"HLA-B"	7.36600471078252e-62	1.56878868227027	0.639	0.215	1.70508277045194e-57	"Mig"	"HLA-B"	"70-80"	"male"
"HLA-C"	6.98187685641798e-61	1.93983055482518	0.471	0.088	1.61616485472363e-56	"Mig"	"HLA-C"	"70-80"	"male"
"NEAT1"	3.54881343993707e-60	1.29685339308968	0.846	0.475	8.21479335076633e-56	"Mig"	"NEAT1"	"70-80"	"male"
"C1QB"	1.99028921476017e-59	1.44688932839778	0.725	0.309	4.60712147432685e-55	"Mig"	"C1QB"	"70-80"	"male"
"SCIN"	3.04097642977077e-58	1.86788731033669	0.589	0.196	7.03925223963338e-54	"Mig"	"SCIN"	"70-80"	"male"
"EGR1"	3.48392943021207e-57	-2.8852984395144	0.013	0.313	8.06459984505491e-53	"Mig"	"EGR1"	"70-80"	"male"
"C6orf62"	5.28395838069009e-57	-1.52423553038604	0.478	0.832	1.22313068596214e-52	"Mig"	"C6orf62"	"70-80"	"male"
"APOE"	8.43081662381698e-56	2.02845538099009	0.485	0.114	1.95156543208116e-51	"Mig"	"APOE"	"70-80"	"male"
"SAT1"	3.8546972011791e-54	-1.41323855866807	0.64	0.906	8.92285308128939e-50	"Mig"	"SAT1"	"70-80"	"male"
"RIN2"	6.53908780836386e-54	-1.70356563982103	0.397	0.762	1.51366804588007e-49	"Mig"	"RIN2"	"70-80"	"male"
"CD14"	3.76868502250717e-50	1.98824411934492	0.384	0.06	8.72375209009959e-46	"Mig"	"CD14"	"70-80"	"male"
"B2M"	1.37690283560305e-47	1.04894026833584	0.835	0.483	3.18725468385394e-43	"Mig"	"B2M"	"70-80"	"male"
