"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"HAMP"	2.28448169591128e-47	2.01838068524719	0.32	0.031	5.28811822969543e-43	"Mig"	"HAMP"	"70-80"	"male"
"TSPYL1"	2.87151559240733e-47	-1.95597186240026	0.154	0.503	6.64698429330449e-43	"Mig"	"TSPYL1"	"70-80"	"male"
"HSPA1B"	4.26118355317708e-46	-1.29677518966213	0.745	0.925	9.86378768889431e-42	"Mig"	"HSPA1B"	"70-80"	"male"
"SRGAP2B"	1.74188969869911e-45	-1.33731405396139	0.689	0.819	4.03212627454869e-41	"Mig"	"SRGAP2B"	"70-80"	"male"
"RNASET2"	5.72542050122515e-45	1.13733220538577	0.654	0.304	1.3253203376236e-40	"Mig"	"RNASET2"	"70-80"	"male"
"DHRS3"	1.03938038736787e-44	-1.72505576540639	0.193	0.536	2.40595772067915e-40	"Mig"	"DHRS3"	"70-80"	"male"
"SRGAP2C"	2.00680215614061e-42	-1.19371358463871	0.684	0.841	4.64534563103428e-38	"Mig"	"SRGAP2C"	"70-80"	"male"
"MARCHF6"	2.78242367355796e-41	-1.7596423859891	0.125	0.438	6.44075431955198e-37	"Mig"	"MARCHF6"	"70-80"	"male"
"PER2"	1.72122432774459e-36	-2.67858861904224	0.014	0.22	3.98429007386318e-32	"Mig"	"PER2"	"70-80"	"male"
"FTH1P10"	6.636944810395e-36	1.2308212669538	0.388	0.104	1.53631998471023e-31	"Mig"	"FTH1P10"	"70-80"	"male"
"FTH1P2"	1.1789256200102e-34	0.81699507988281	0.334	0.074	2.7289770251996e-30	"Mig"	"FTH1P2"	"70-80"	"male"
"RNA5SP151"	1.77391503626925e-34	-2.1401054342822	0.093	0.347	4.10625852595607e-30	"Mig"	"RNA5SP151"	"70-80"	"male"
"SRGAP2"	2.44527610313926e-34	-0.990397676096348	0.75	0.85	5.66032512354676e-30	"Mig"	"SRGAP2"	"70-80"	"male"
"PLAC8"	3.90712295837749e-33	2.12639212860618	0.214	0.015	9.04420822405221e-29	"Mig"	"PLAC8"	"70-80"	"male"
"IFI6"	4.69526971786129e-33	0.940808086904267	0.732	0.419	1.08686103429053e-28	"Mig"	"IFI6"	"70-80"	"male"
"COX2"	7.69973461030769e-33	1.52511703113786	0.597	0.302	1.78233456759402e-28	"Mig"	"COX2"	"70-80"	"male"
"MTCO2P12"	2.24883776378504e-32	1.13596433214303	0.453	0.159	5.20560965560961e-28	"Mig"	"MTCO2P12"	"70-80"	"male"
"FCGR1A"	2.82231663371679e-32	1.56152912825322	0.367	0.105	6.53309854372762e-28	"Mig"	"FCGR1A"	"70-80"	"male"
"CYBB"	6.50695487453471e-32	-0.814121723652198	0.909	0.978	1.50622991435729e-27	"Mig"	"CYBB"	"70-80"	"male"
"C3"	8.20883275789662e-32	0.777982363319154	0.743	0.431	1.90018060679791e-27	"Mig"	"C3"	"70-80"	"male"
"MAF"	1.0386922475851e-31	-1.17452856463308	0.547	0.795	2.40436481470998e-27	"Mig"	"MAF"	"70-80"	"male"
"HSPA5"	1.42218382669217e-31	1.56068217516795	0.275	0.049	3.29207112202704e-27	"Mig"	"HSPA5"	"70-80"	"male"
"SRSF6"	3.67446462006558e-31	-1.1058337514877	0.75	0.878	8.5056507025278e-27	"Mig"	"SRSF6"	"70-80"	"male"
"PSMA3-AS1"	4.32896002630615e-31	-1.91139502238047	0.284	0.551	1.00206766688935e-26	"Mig"	"PSMA3-AS1"	"70-80"	"male"
"GOLIM4"	1.05761771313154e-30	-1.66170458752779	0.111	0.367	2.44817348235689e-26	"Mig"	"GOLIM4"	"70-80"	"male"
"BIN1"	2.09583388795202e-30	2.22318659323227	0.303	0.075	4.85143628383134e-26	"Mig"	"BIN1"	"70-80"	"male"
"FCGR1B"	2.89115954943931e-30	1.18778309839938	0.357	0.107	6.69245612504211e-26	"Mig"	"FCGR1B"	"70-80"	"male"
"MTCO2P2"	1.35603622016658e-29	0.901341752808869	0.37	0.108	3.13895264244161e-25	"Mig"	"MTCO2P2"	"70-80"	"male"
"SPP1"	2.99956780242149e-29	0.818243525102112	0.78	0.518	6.94339954904526e-25	"Mig"	"SPP1"	"70-80"	"male"
"PSMG3"	4.14848634958494e-29	-2.48022236795132	0.036	0.228	9.60291620201922e-25	"Mig"	"PSMG3"	"70-80"	"male"
"FAM157A"	4.48407089706989e-29	1.23113805145032	0.25	0.044	1.03797273125374e-24	"Mig"	"FAM157A"	"70-80"	"male"
"CDC42SE2"	6.00389291971233e-29	-1.46429687613729	0.14	0.398	1.38978113305501e-24	"Mig"	"CDC42SE2"	"70-80"	"male"
"PAN3"	7.39547076928597e-29	-1.60929557094983	0.131	0.382	1.71190357367432e-24	"Mig"	"PAN3"	"70-80"	"male"
"UBA6"	1.21126374888207e-28	-2.00344307273457	0.055	0.263	2.80383332591222e-24	"Mig"	"UBA6"	"70-80"	"male"
"ENPP1"	3.33082940313494e-28	-1.88147764872833	0.038	0.231	7.71020390237677e-24	"Mig"	"ENPP1"	"70-80"	"male"
"CNOT9"	4.69902624144512e-28	-1.70571732539387	0.083	0.308	1.08773059436972e-23	"Mig"	"CNOT9"	"70-80"	"male"
"SLC35F6"	5.29158165777292e-28	-1.92265893691421	0.065	0.275	1.22489532214128e-23	"Mig"	"SLC35F6"	"70-80"	"male"
"MTCO3P12"	1.34328560507618e-27	1.43600967735597	0.397	0.141	3.10943751863035e-23	"Mig"	"MTCO3P12"	"70-80"	"male"
"COX3"	1.35894482067017e-27	1.51309937941467	0.608	0.338	3.14568547088731e-23	"Mig"	"COX3"	"70-80"	"male"
"FCGR1CP"	7.81411102112474e-27	1.13363764881454	0.329	0.097	1.80881041916996e-22	"Mig"	"FCGR1CP"	"70-80"	"male"
"SRSF3"	1.56512851861654e-26	-1.31680011524005	0.426	0.691	3.62295949489356e-22	"Mig"	"SRSF3"	"70-80"	"male"
"PAQR7"	2.4024814821411e-26	-1.8580656233195	0.14	0.373	5.56126413486021e-22	"Mig"	"PAQR7"	"70-80"	"male"
"FCGBP"	5.10559803464629e-26	2.34462893916566	0.222	0.038	1.18184383305992e-21	"Mig"	"FCGBP"	"70-80"	"male"
"FNIP1"	5.39837987857666e-26	-1.62919237266332	0.064	0.267	1.24961697429292e-21	"Mig"	"FNIP1"	"70-80"	"male"
"COLGALT1"	6.35115076735598e-26	-1.66761945075246	0.166	0.408	1.47016437962756e-21	"Mig"	"COLGALT1"	"70-80"	"male"
"ND4"	8.93017692226673e-26	1.33943469314521	0.639	0.395	2.0671573539663e-21	"Mig"	"ND4"	"70-80"	"male"
"S100A11"	1.70825989567716e-25	0.832538454064334	0.342	0.104	3.95428000651349e-21	"Mig"	"S100A11"	"70-80"	"male"
"MKNK1"	1.83652279015979e-25	-1.78111188270159	0.206	0.451	4.25118295466187e-21	"Mig"	"MKNK1"	"70-80"	"male"
"VSIG4"	2.53748027592516e-25	1.21123945649505	0.306	0.089	5.87375934271156e-21	"Mig"	"VSIG4"	"70-80"	"male"
"R3HDM2"	3.79239112964522e-25	-1.30662286918895	0.186	0.436	8.77862698690275e-21	"Mig"	"R3HDM2"	"70-80"	"male"
"CTSB"	3.96414082549452e-25	0.926431322706312	0.65	0.404	9.17619318285472e-21	"Mig"	"CTSB"	"70-80"	"male"
"HLA-DPA1"	4.33231508240598e-25	1.20171564089065	0.351	0.123	1.00284429527534e-20	"Mig"	"HLA-DPA1"	"70-80"	"male"
"ATP8"	6.08728783485505e-25	1.7123164034749	0.373	0.148	1.40908538801225e-20	"Mig"	"ATP8"	"70-80"	"male"
"PSMB4"	1.44876777615384e-24	-1.64981915204467	0.059	0.249	3.35360764824091e-20	"Mig"	"PSMB4"	"70-80"	"male"
"LAP3"	2.19590495522898e-24	1.70895517142902	0.191	0.026	5.08308079036404e-20	"Mig"	"LAP3"	"70-80"	"male"
"FTL"	2.66694687290951e-24	0.681059771273405	0.828	0.61	6.17344862141094e-20	"Mig"	"FTL"	"70-80"	"male"
"POU2F2"	4.32135113340029e-24	1.76849112810311	0.205	0.034	1.0003063603595e-19	"Mig"	"POU2F2"	"70-80"	"male"
"MS4A6A"	5.52539736792501e-24	1.0205018740377	0.307	0.093	1.27901898272728e-19	"Mig"	"MS4A6A"	"70-80"	"male"
"LAIR1"	1.24630253158379e-23	1.55990959461724	0.241	0.056	2.88494110011016e-19	"Mig"	"LAIR1"	"70-80"	"male"
"APOC1"	1.77172497862263e-23	1.67792999257495	0.238	0.056	4.10118898051567e-19	"Mig"	"APOC1"	"70-80"	"male"
"C1QC"	9.0127744444123e-23	0.642405007018331	0.773	0.581	2.08627702839256e-18	"Mig"	"C1QC"	"70-80"	"male"
"MTATP6P1"	1.141425880655e-22	1.3491094379244	0.446	0.213	2.64217262854019e-18	"Mig"	"MTATP6P1"	"70-80"	"male"
"ARPC4"	1.22944018212559e-22	-1.28081212701198	0.356	0.594	2.84590813358431e-18	"Mig"	"ARPC4"	"70-80"	"male"
"ND5"	1.36902374900402e-22	1.61592127859261	0.387	0.163	3.1690161741945e-18	"Mig"	"ND5"	"70-80"	"male"
"PAFAH1B2"	2.00043559324593e-22	-1.65470690966204	0.067	0.249	4.63060831124569e-18	"Mig"	"PAFAH1B2"	"70-80"	"male"
"CACUL1"	5.01521671846597e-22	-1.46434744726509	0.067	0.246	1.1609223659905e-17	"Mig"	"CACUL1"	"70-80"	"male"
"PSAP"	5.6366506499487e-22	0.881492144136968	0.54	0.295	1.30477189245012e-17	"Mig"	"PSAP"	"70-80"	"male"
"TMSB10"	5.86417711338013e-22	1.10687137678114	0.348	0.135	1.35743971820523e-17	"Mig"	"TMSB10"	"70-80"	"male"
"SLC25A37"	6.73317423926464e-22	-1.01091266607418	0.273	0.521	1.55859517290498e-17	"Mig"	"SLC25A37"	"70-80"	"male"
"TRA2A"	1.34612926049407e-21	-1.34472783620647	0.496	0.699	3.11602001219168e-17	"Mig"	"TRA2A"	"70-80"	"male"
"PRXL2C"	1.94968367890237e-21	-1.48321536431772	0.077	0.26	4.5131277799232e-17	"Mig"	"PRXL2C"	"70-80"	"male"
"IL6ST"	4.30371653070348e-21	-1.54844026935202	0.292	0.512	9.96224302527241e-17	"Mig"	"IL6ST"	"70-80"	"male"
"SERF2"	7.25990028520005e-21	0.683848988075385	0.425	0.197	1.68052171801811e-16	"Mig"	"SERF2"	"70-80"	"male"
"NEDD9"	8.7033900510489e-21	-0.349914783286283	0.055	0.218	2.0146607290168e-16	"Mig"	"NEDD9"	"70-80"	"male"
"RAC1"	1.41558871868045e-20	1.15989255365417	0.332	0.129	3.27680476600151e-16	"Mig"	"RAC1"	"70-80"	"male"
"RNASE2"	3.60400819525624e-20	1.71154652789836	0.12	0.004	8.34255817037915e-16	"Mig"	"RNASE2"	"70-80"	"male"
"SERPINB9"	3.7422413745263e-20	-0.944523901101074	0.581	0.772	8.66254033375347e-16	"Mig"	"SERPINB9"	"70-80"	"male"
"FPR1"	3.97676077005296e-20	1.72684208140986	0.211	0.052	9.2054058305186e-16	"Mig"	"FPR1"	"70-80"	"male"
"ZFP36L2"	4.61147488846954e-20	-0.957187149656411	0.296	0.531	1.06746420718293e-15	"Mig"	"ZFP36L2"	"70-80"	"male"
"HSP90B1"	5.0285174451806e-20	1.08885319342966	0.337	0.137	1.16400121821041e-15	"Mig"	"HSP90B1"	"70-80"	"male"
"NPC2"	5.73368635010132e-20	1.30961617139603	0.287	0.1	1.32723371632145e-15	"Mig"	"NPC2"	"70-80"	"male"
"FMNL3"	7.09510981368656e-20	-0.910423547003021	0.638	0.77	1.64237601967216e-15	"Mig"	"FMNL3"	"70-80"	"male"
"LOC729998"	8.50889030914355e-20	0.844959250058447	0.165	0.025	1.96963792876055e-15	"Mig"	"LOC729998"	"70-80"	"male"
"EEF1A1"	9.22174877140165e-20	0.826303146691667	0.545	0.326	2.13465040560405e-15	"Mig"	"EEF1A1"	"70-80"	"male"
"ANKRD44"	1.02057140394704e-19	-1.36692073106773	0.184	0.387	2.36241868585661e-15	"Mig"	"ANKRD44"	"70-80"	"male"
"CLK1"	1.6039259235141e-19	-1.27932928280351	0.193	0.41	3.71276772775045e-15	"Mig"	"CLK1"	"70-80"	"male"
"KCNJ2"	1.62114846327933e-19	0.777680291170364	0.52	0.293	3.75263446279899e-15	"Mig"	"KCNJ2"	"70-80"	"male"
"CASP2"	2.84578262960399e-19	-1.52922003283453	0.065	0.23	6.58741763100732e-15	"Mig"	"CASP2"	"70-80"	"male"
"PPP2R5C"	3.030594166348e-19	-0.914518368467914	0.128	0.328	7.01521937626235e-15	"Mig"	"PPP2R5C"	"70-80"	"male"
"PFN1"	3.7629193065078e-19	1.03097704395755	0.309	0.118	8.71040561070426e-15	"Mig"	"PFN1"	"70-80"	"male"
"RASGEF1B"	4.72395037146925e-19	-1.39296158833452	0.051	0.205	1.0935000319877e-14	"Mig"	"RASGEF1B"	"70-80"	"male"
"MACF1"	5.05352789135059e-19	1.3462961588835	0.232	0.068	1.16979063628983e-14	"Mig"	"MACF1"	"70-80"	"male"
"AIF1"	7.81810728293937e-19	0.601203886963757	0.511	0.272	1.80973547385481e-14	"Mig"	"AIF1"	"70-80"	"male"
"ATP6"	8.83489325145372e-19	1.34710130091778	0.545	0.341	2.04510108984651e-14	"Mig"	"ATP6"	"70-80"	"male"
"CTBP1"	1.01070184002021e-18	-1.84982436844619	0.191	0.382	2.33957261927877e-14	"Mig"	"CTBP1"	"70-80"	"male"
"LOC101929823"	1.04349245982205e-18	0.779957752825268	0.175	0.034	2.41547634599609e-14	"Mig"	"LOC101929823"	"70-80"	"male"
"HNRNPDL"	1.69196932358743e-18	-1.19409751760707	0.136	0.33	3.91657059024019e-14	"Mig"	"HNRNPDL"	"70-80"	"male"
"SENP5"	4.41451054571889e-18	-1.33439869183263	0.076	0.241	1.02187090112301e-13	"Mig"	"SENP5"	"70-80"	"male"
"CHP1"	1.01312040732727e-17	-1.25112213842649	0.183	0.378	2.34517111888116e-13	"Mig"	"CHP1"	"70-80"	"male"
"CDC42"	1.02684774775595e-17	-0.897090923174008	0.461	0.688	2.37694716650547e-13	"Mig"	"CDC42"	"70-80"	"male"
"EEF1A1P25"	2.99774395946991e-17	0.333785355310562	0.261	0.09	6.93917771738094e-13	"Mig"	"EEF1A1P25"	"70-80"	"male"
"GREM1"	3.27096348108903e-17	-2.00374460963319	0.613	0.736	7.57162626602489e-13	"Mig"	"GREM1"	"70-80"	"male"
"HSP90AB1"	3.64190575627251e-17	0.961478594421801	0.274	0.103	8.43028344461961e-13	"Mig"	"HSP90AB1"	"70-80"	"male"
"SPTLC2"	3.97068187232947e-17	1.47739467383789	0.172	0.038	9.19133439806826e-13	"Mig"	"SPTLC2"	"70-80"	"male"
"ACTG1"	5.1505320250262e-17	1.18416965316923	0.325	0.142	1.19224515315306e-12	"Mig"	"ACTG1"	"70-80"	"male"
"TMED4"	1.21184393753343e-16	-1.18725481694189	0.283	0.479	2.80517634660238e-12	"Mig"	"TMED4"	"70-80"	"male"
"TMEM176B"	1.36274919832268e-16	1.32675314095594	0.159	0.031	3.15449184427735e-12	"Mig"	"TMEM176B"	"70-80"	"male"
"DENND3"	1.37441813463062e-16	1.19114501018094	0.187	0.049	3.18150309804296e-12	"Mig"	"DENND3"	"70-80"	"male"
"MSR1"	3.86999071425127e-16	-1.11351283479671	0.246	0.44	8.95825450534884e-12	"Mig"	"MSR1"	"70-80"	"male"
"CD53"	4.98138578903736e-16	0.64356973882867	0.246	0.088	1.15309118244637e-11	"Mig"	"CD53"	"70-80"	"male"
"PTMA"	9.74194332252952e-16	0.70387112369835	0.494	0.308	2.25506504029913e-11	"Mig"	"PTMA"	"70-80"	"male"
"CLEC7A"	1.07557235726632e-15	-1.05865991475332	0.38	0.58	2.48973489260008e-11	"Mig"	"CLEC7A"	"70-80"	"male"
"IRF2BPL"	1.12249576998285e-15	0.62502323992228	0.396	0.192	2.5983532083563e-11	"Mig"	"IRF2BPL"	"70-80"	"male"
"NHSL1"	1.1511704084232e-15	-1.33886219961255	0.095	0.249	2.66472926141803e-11	"Mig"	"NHSL1"	"70-80"	"male"
"WIPF3"	1.15471237705453e-15	-1.47685727700116	0.026	0.138	2.67292821040583e-11	"Mig"	"WIPF3"	"70-80"	"male"
"LAPTM5"	1.53115257601064e-15	0.912796616214859	0.444	0.259	3.54431198294943e-11	"Mig"	"LAPTM5"	"70-80"	"male"
"TLE3"	2.16508236654804e-15	-1.28629842194806	0.124	0.29	5.0117326620854e-11	"Mig"	"TLE3"	"70-80"	"male"
"GIGYF1"	2.18596907371738e-15	-1.30680973589797	0.087	0.235	5.06008121184099e-11	"Mig"	"GIGYF1"	"70-80"	"male"
"PTMAP5"	2.95605443779462e-15	0.176995268512625	0.438	0.246	6.84267481260698e-11	"Mig"	"PTMAP5"	"70-80"	"male"
"CCNL1"	4.50961033247727e-15	1.17708592987938	0.136	0.025	1.04388459976184e-10	"Mig"	"CCNL1"	"70-80"	"male"
"CD63"	4.60467774799032e-15	1.50584665313487	0.22	0.078	1.0658908051048e-10	"Mig"	"CD63"	"70-80"	"male"
"GATD3A"	4.65427991516541e-15	-1.43587326830754	0.091	0.238	1.07737271476249e-10	"Mig"	"GATD3A"	"70-80"	"male"
"SLC1A3"	4.84677180237881e-15	0.929037970321181	0.348	0.172	1.12193073681465e-10	"Mig"	"SLC1A3"	"70-80"	"male"
"FCGR3B"	5.13618960471095e-15	0.465731701567084	0.252	0.094	1.18892516969849e-10	"Mig"	"FCGR3B"	"70-80"	"male"
"PPP3CA"	5.97599848052311e-15	-0.972421088846473	0.373	0.568	1.38332412827149e-10	"Mig"	"PPP3CA"	"70-80"	"male"
"CALR"	6.33160387122013e-15	-0.97536398368725	0.607	0.64	1.46563966411004e-10	"Mig"	"CALR"	"70-80"	"male"
"RACK1"	6.78895969906493e-15	1.51958905250386	0.222	0.079	1.57150839113955e-10	"Mig"	"RACK1"	"70-80"	"male"
"RBM6"	7.08407824141405e-15	-0.955617071496056	0.515	0.702	1.63982243132252e-10	"Mig"	"RBM6"	"70-80"	"male"
"TGFBR1"	9.78154923240901e-15	0.907579443796445	0.343	0.172	2.26423301631804e-10	"Mig"	"TGFBR1"	"70-80"	"male"
"CD163"	1.16346905902526e-14	1.37043463830748	0.105	0.011	2.69319817783166e-10	"Mig"	"CD163"	"70-80"	"male"
"TLK1"	1.65834490874563e-14	-1.62301740675212	0.078	0.216	3.83873679476438e-10	"Mig"	"TLK1"	"70-80"	"male"
"APOBEC3C"	1.85155638594678e-14	-1.08850113824528	0.233	0.415	4.2859827221896e-10	"Mig"	"APOBEC3C"	"70-80"	"male"
"SSH2"	1.95017075743704e-14	1.06450203330968	0.319	0.156	4.51425526931525e-10	"Mig"	"SSH2"	"70-80"	"male"
"BMP2K"	2.42174233364729e-14	1.22466724695567	0.246	0.1	5.60584915392675e-10	"Mig"	"BMP2K"	"70-80"	"male"
"PDE6B"	3.01193517344139e-14	-1.37288091067471	0.017	0.112	6.97202753948214e-10	"Mig"	"PDE6B"	"70-80"	"male"
"EIF2S3"	3.68936302326706e-14	-1.05794873059064	0.33	0.513	8.54013752625859e-10	"Mig"	"EIF2S3"	"70-80"	"male"
"FYB1"	3.87679814937796e-14	0.90668423681761	0.364	0.192	8.9740123561801e-10	"Mig"	"FYB1"	"70-80"	"male"
"COL6A3"	4.26755044027763e-14	-1.25432700717657	0.803	0.873	9.87852575915466e-10	"Mig"	"COL6A3"	"70-80"	"male"
"HLA-DRB1"	9.45711055798099e-14	0.759712853223769	0.428	0.256	2.18913195196144e-09	"Mig"	"HLA-DRB1"	"70-80"	"male"
"TPT1"	1.01171160305456e-13	0.508396390985133	0.494	0.311	2.3419100187507e-09	"Mig"	"TPT1"	"70-80"	"male"
"SOX4"	1.05816109655643e-13	-1.82151732486184	0.044	0.157	2.44943130630882e-09	"Mig"	"SOX4"	"70-80"	"male"
"SMU1"	1.1238985366309e-13	-1.65187058464612	0.166	0.327	2.6016003325932e-09	"Mig"	"SMU1"	"70-80"	"male"
"MTRNR2L2"	1.23165980405473e-13	0.506706731490293	0.804	0.572	2.8510461144259e-09	"Mig"	"MTRNR2L2"	"70-80"	"male"
"MTRNR2L12"	1.23165980405473e-13	0.506706731490293	0.804	0.572	2.8510461144259e-09	"Mig"	"MTRNR2L12"	"70-80"	"male"
"PIP4K2A"	1.25803567992757e-13	-1.30320922684144	0.159	0.317	2.91210099189635e-09	"Mig"	"PIP4K2A"	"70-80"	"male"
"PTPN2"	1.33433368561312e-13	1.53475410017784	0.11	0.016	3.08871561545724e-09	"Mig"	"PTPN2"	"70-80"	"male"
"RHBDF2"	1.350209133905e-13	0.444656136479016	0.293	0.137	3.12546410316329e-09	"Mig"	"RHBDF2"	"70-80"	"male"
"PLEKHA1"	1.41304305441842e-13	-0.4441059357615	0.028	0.13	3.27091206236775e-09	"Mig"	"PLEKHA1"	"70-80"	"male"
"EYA3"	1.56448493481626e-13	-1.30063847245245	0.035	0.142	3.62146972711267e-09	"Mig"	"EYA3"	"70-80"	"male"
"LHFPL2"	1.74686208900681e-13	1.3055142088809	0.193	0.066	4.04363636363295e-09	"Mig"	"LHFPL2"	"70-80"	"male"
"DBI"	1.78368031587719e-13	0.782381382462807	0.12	0.022	4.12886319519253e-09	"Mig"	"DBI"	"70-80"	"male"
"MTRNR2L8"	1.94001362717908e-13	0.245607114307732	0.666	0.419	4.49074354419413e-09	"Mig"	"MTRNR2L8"	"70-80"	"male"
"MDM4"	2.20216179189076e-13	-0.923088672143659	0.37	0.54	5.09756411586872e-09	"Mig"	"MDM4"	"70-80"	"male"
"DPYSL2"	2.56932042123079e-13	-1.15863977769168	0.278	0.464	5.94746291106503e-09	"Mig"	"DPYSL2"	"70-80"	"male"
"CBWD2"	2.99090493929704e-13	0.423411397151898	0.273	0.116	6.92334675348479e-09	"Mig"	"CBWD2"	"70-80"	"male"
"MIDEAS"	3.96333293443366e-13	-1.69032622785859	0.054	0.17	9.17432307662703e-09	"Mig"	"MIDEAS"	"70-80"	"male"
"TYROBP"	8.72616796108899e-13	1.08671431148156	0.284	0.141	2.01993335963288e-08	"Mig"	"TYROBP"	"70-80"	"male"
"CD47"	9.19489785250996e-13	-1.94119217556352	0.082	0.208	2.12843495489901e-08	"Mig"	"CD47"	"70-80"	"male"
"WSB1"	1.0865071427683e-12	-0.979986261399195	0.35	0.514	2.51504673408006e-08	"Mig"	"WSB1"	"70-80"	"male"
"MTND1P23"	1.24437563232678e-12	1.16534360385003	0.265	0.12	2.88048071371004e-08	"Mig"	"MTND1P23"	"70-80"	"male"
"GTF2IP12"	1.24879582468192e-12	0.542641988885472	0.136	0.033	2.89071257497372e-08	"Mig"	"GTF2IP12"	"70-80"	"male"
"TOR1AIP2"	1.57059421383373e-12	-1.04968011915785	0.181	0.339	3.63561148618231e-08	"Mig"	"TOR1AIP2"	"70-80"	"male"
"RIT1"	1.8133694742668e-12	-1.46774522130346	0.047	0.156	4.19758765903278e-08	"Mig"	"RIT1"	"70-80"	"male"
"LINC01347"	1.83768468517044e-12	0.377056590356524	0.142	0.037	4.25387250923254e-08	"Mig"	"LINC01347"	"70-80"	"male"
"GABPB2"	1.85076250165261e-12	-1.13493524605853	0.026	0.119	4.28414503882545e-08	"Mig"	"GABPB2"	"70-80"	"male"
"ZBTB25"	1.96890150210677e-12	-1.38978932329406	0.029	0.124	4.55761319707676e-08	"Mig"	"ZBTB25"	"70-80"	"male"
"UQCR10"	2.17892705006652e-12	0.89253450998878	0.193	0.07	5.04378033549398e-08	"Mig"	"UQCR10"	"70-80"	"male"
"FCGR3A"	2.75472111374563e-12	0.62180996170913	0.398	0.227	6.37662843409838e-08	"Mig"	"FCGR3A"	"70-80"	"male"
"PICALM"	3.70223188520333e-12	0.933528006287404	0.218	0.088	8.56992636786866e-08	"Mig"	"PICALM"	"70-80"	"male"
"HCLS1"	3.81772452488788e-12	1.33111510263354	0.177	0.062	8.83726873021047e-08	"Mig"	"HCLS1"	"70-80"	"male"
"RNF149"	4.25492252247685e-12	0.547944394227459	0.274	0.129	9.84929465502941e-08	"Mig"	"RNF149"	"70-80"	"male"
"THRAP3"	5.08425046759956e-12	-1.17114769175204	0.288	0.454	1.17690229823995e-07	"Mig"	"THRAP3"	"70-80"	"male"
"H3-3A"	5.23944125960951e-12	0.877955700551895	0.17	0.056	1.21282586277441e-07	"Mig"	"H3-3A"	"70-80"	"male"
"ITPR2"	6.14752416816998e-12	0.878598485109329	0.323	0.168	1.42302889444799e-07	"Mig"	"ITPR2"	"70-80"	"male"
"YBX1"	8.26576980383831e-12	0.526401460912625	0.311	0.159	1.91336039419249e-07	"Mig"	"YBX1"	"70-80"	"male"
"CYRIB"	9.51775560917347e-12	1.18948023860691	0.156	0.049	2.20317006841148e-07	"Mig"	"CYRIB"	"70-80"	"male"
"TLR2"	9.92717233331060e-12	0.933248970463497	0.133	0.034	2.29794185171474e-07	"Mig"	"TLR2"	"70-80"	"male"
"NAPSB"	1.31433325218568e-11	1.49767958165388	0.109	0.022	3.04241861215942e-07	"Mig"	"NAPSB"	"70-80"	"male"
