"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"HAMP"	4.24399422752731e-290	-3.36718266257824	0.022	0.619	9.82399783788022e-286	"Mig"	"HAMP"	"80-90"	"female"
"FPR1"	1.6125927616518e-191	-2.77574453059443	0.065	0.6	3.73282972467158e-187	"Mig"	"FPR1"	"80-90"	"female"
"HLA-DRB5"	5.73111092684944e-141	-2.93583098217085	0.119	0.606	1.32663755734711e-136	"Mig"	"HLA-DRB5"	"80-90"	"female"
"IFITM3"	3.28080937349782e-131	-2.24041392027503	0.047	0.434	7.59441753777274e-127	"Mig"	"IFITM3"	"80-90"	"female"
"CD14"	2.08939676789039e-128	-2.19906768612146	0.148	0.649	4.83653563831268e-124	"Mig"	"CD14"	"80-90"	"female"
"NRAS"	2.46011861304394e-125	-2.55964582363504	0.011	0.296	5.69468256547411e-121	"Mig"	"NRAS"	"80-90"	"female"
"S100A8"	7.23107279568096e-120	-1.86059184860955	0.003	0.245	1.67384873074423e-115	"Mig"	"S100A8"	"80-90"	"female"
"HSPA1B"	3.6774747325829e-118	2.63356868529866	0.924	0.692	8.51261851098289e-114	"Mig"	"HSPA1B"	"80-90"	"female"
"IFITM2"	9.09618862775745e-114	-1.92827470475484	0.056	0.42	2.10558574355329e-109	"Mig"	"IFITM2"	"80-90"	"female"
"MPC2"	7.4037636423029e-110	-2.01061117547361	0.026	0.323	1.71382320792028e-105	"Mig"	"MPC2"	"80-90"	"female"
"APOC1"	2.23587620393986e-104	-1.68117057117815	0.122	0.558	5.17560623687998e-100	"Mig"	"APOC1"	"80-90"	"female"
"SLC11A1"	3.424102591327e-104	-1.67656811918456	0.058	0.41	7.92611267840373e-100	"Mig"	"SLC11A1"	"80-90"	"female"
"FCER1G"	1.77986618988295e-96	-1.79156701665547	0.195	0.657	4.12003425634106e-92	"Mig"	"FCER1G"	"80-90"	"female"
"SLC2A5"	2.59544844194268e-90	-1.59857931368287	0.172	0.606	6.00794405340891e-86	"Mig"	"SLC2A5"	"80-90"	"female"
"H2AC18"	7.92948403445575e-90	-2.12504447780763	0.09	0.452	1.83551696429582e-85	"Mig"	"H2AC18"	"80-90"	"female"
"H2AC19"	2.00685850286703e-87	-2.14268497992883	0.09	0.446	4.6454760624366e-83	"Mig"	"H2AC19"	"80-90"	"female"
"ACSL1"	1.42018020052069e-84	-0.916474308086938	0.063	0.385	3.28743312816529e-80	"Mig"	"ACSL1"	"80-90"	"female"
"LAP3"	4.20541358134453e-84	-1.79447214125474	0.059	0.367	9.73469135809632e-80	"Mig"	"LAP3"	"80-90"	"female"
"TMSB10"	1.75793839274259e-83	-1.58804670941172	0.22	0.659	4.06927579152056e-79	"Mig"	"TMSB10"	"80-90"	"female"
"CD163"	2.37327894325142e-79	-1.02518621571871	0.05	0.335	5.49366609783838e-75	"Mig"	"CD163"	"80-90"	"female"
"MS4A4A"	1.4564325720446e-72	-1.47884247200914	0.028	0.254	3.37135011776884e-68	"Mig"	"MS4A4A"	"80-90"	"female"
"ENO1"	3.9144550015455e-72	-1.81910982473758	0.092	0.41	9.06118043757752e-68	"Mig"	"ENO1"	"80-90"	"female"
"HLA-DRB1"	1.06895590658182e-70	-1.47075682955127	0.275	0.686	2.47441913255559e-66	"Mig"	"HLA-DRB1"	"80-90"	"female"
"FTH1P10"	5.8594391450964e-69	-1.33153222789853	0.292	0.682	1.35634297330692e-64	"Mig"	"FTH1P10"	"80-90"	"female"
"FCGR3A"	3.06046950769526e-68	-0.94575708665184	0.312	0.75	7.084374816413e-64	"Mig"	"FCGR3A"	"80-90"	"female"
"FCGR1A"	4.85419733751097e-68	-1.51733221082896	0.142	0.491	1.12364959968704e-63	"Mig"	"FCGR1A"	"80-90"	"female"
"PSME2"	5.9917203855493e-68	-1.28553765922154	0.046	0.294	1.38696343484695e-63	"Mig"	"PSME2"	"80-90"	"female"
