"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"
"HSP90AA1"	4.22083257713517e-176	2.6254024909812	0.78	0.373	9.7703832495525e-172	"Mig"	"HSP90AA1"	"female"
"HSPA1B"	2.15107750373294e-174	1.62104097888281	0.924	0.638	4.97931420564101e-170	"Mig"	"HSPA1B"	"female"
"HAMP"	3.52154831685348e-156	-2.62676674663962	0.022	0.34	8.15168004385244e-152	"Mig"	"HAMP"	"female"
"MTRNR2L2"	3.53566022348841e-113	1.2858840357341	0.851	0.538	8.18434628533097e-109	"Mig"	"MTRNR2L2"	"female"
"MTRNR2L12"	3.53566022348841e-113	1.2858840357341	0.851	0.538	8.18434628533097e-109	"Mig"	"MTRNR2L12"	"female"
"HSPA1A"	8.63908558090294e-107	2.60556330621126	0.554	0.188	1.99977553026741e-102	"Mig"	"HSPA1A"	"female"
"HSP90AA6P"	1.16230197092528e-95	2.363336837696	0.356	0.041	2.69049660229784e-91	"Mig"	"HSP90AA6P"	"female"
"HSPH1"	5.72024869233986e-92	2.58000213497003	0.421	0.092	1.32412316730283e-87	"Mig"	"HSPH1"	"female"
"FPR1"	4.92196156556045e-83	-2.07160184531519	0.065	0.309	1.13933566319593e-78	"Mig"	"FPR1"	"female"
"MTRNR2L8"	6.38569935782739e-66	1.07376473066574	0.698	0.409	1.47816168734988e-61	"Mig"	"MTRNR2L8"	"female"
"HLA-DRB5"	7.42426680554656e-55	-2.05298902902493	0.119	0.326	1.71856928014792e-50	"Mig"	"HLA-DRB5"	"female"
"FCGR1A"	4.76765355736637e-53	-1.72218041748513	0.142	0.364	1.10361644545917e-48	"Mig"	"FCGR1A"	"female"
"FCGR1CP"	2.48820626868295e-52	-1.76064982346746	0.109	0.314	5.75969987074729e-48	"Mig"	"FCGR1CP"	"female"
"S100A8"	1.07269211816998e-51	-1.02325301932348	0.003	0.107	2.48306771513987e-47	"Mig"	"S100A8"	"female"
"NRAS"	7.01953522376923e-51	-1.8998826267547	0.011	0.131	1.6248820135981e-46	"Mig"	"NRAS"	"female"
"CD14"	2.60692357356879e-50	-1.6149960728576	0.148	0.365	6.03450668809704e-46	"Mig"	"CD14"	"female"
"DNAJB1"	6.5427639144695e-50	2.40920901638946	0.226	0.033	1.5145189909214e-45	"Mig"	"DNAJB1"	"female"
"FMNL3"	6.65738901681602e-49	0.609678205733062	0.666	0.416	1.54105240961257e-44	"Mig"	"FMNL3"	"female"
"MPC2"	1.45224819155049e-48	-1.5242667186251	0.026	0.161	3.36166411380107e-44	"Mig"	"MPC2"	"female"
"DUSP1"	1.50933465625508e-47	1.73218365655235	0.35	0.131	3.49380786229927e-43	"Mig"	"DUSP1"	"female"
"CD163"	1.23848386144865e-46	-1.25616537489215	0.05	0.209	2.86684244248134e-42	"Mig"	"CD163"	"female"
"HSPB1"	5.42515776388939e-46	1.75052584974785	0.26	0.062	1.25581551918512e-41	"Mig"	"HSPB1"	"female"
"APOC1"	5.81446549060824e-46	-1.14496846666542	0.122	0.324	1.345932471766e-41	"Mig"	"APOC1"	"female"
"SLC11A1"	6.25643315248956e-46	-1.13959512115293	0.058	0.22	1.44823914613828e-41	"Mig"	"SLC11A1"	"female"
"FCGR1B"	1.21821906068346e-45	-1.59652850450796	0.121	0.314	2.81993348167008e-41	"Mig"	"FCGR1B"	"female"
"IFITM3"	1.57169276798461e-45	-1.29649825965865	0.047	0.199	3.63815441933077e-41	"Mig"	"IFITM3"	"female"
"SAR1A"	4.959718667841e-44	-1.12838305166613	0.129	0.332	1.14807567723184e-39	"Mig"	"SAR1A"	"female"
"FCER1G"	8.77115877289287e-43	-1.26272879291805	0.195	0.411	2.03034783274924e-38	"Mig"	"FCER1G"	"female"
"HSP90AB1"	1.20317616314551e-42	1.11990394879798	0.468	0.245	2.78511218244922e-38	"Mig"	"HSP90AB1"	"female"
"IFITM2"	1.52426875586696e-40	-1.19901260451948	0.056	0.202	3.52837731608085e-36	"Mig"	"IFITM2"	"female"
"IRF2BPL"	5.33533624393282e-40	-1.35590532843134	0.071	0.226	1.23502363374557e-35	"Mig"	"IRF2BPL"	"female"
"JAK3"	6.3146371654338e-39	-1.40343498540451	0.05	0.188	1.46171221105461e-34	"Mig"	"JAK3"	"female"
"DNAJC3"	4.40363798425138e-38	-1.24538336004396	0.191	0.399	1.01935412059451e-33	"Mig"	"DNAJC3"	"female"
"PLAC8"	1.19213657779922e-37	-0.736222827483677	0.016	0.116	2.75955775028964e-33	"Mig"	"PLAC8"	"female"
"LAP3"	7.42441879738502e-37	-1.37742368991747	0.059	0.2	1.71860446321868e-32	"Mig"	"LAP3"	"female"
"AXL"	1.09749929856769e-35	-0.845844106216231	0.421	0.666	2.54049137632449e-31	"Mig"	"AXL"	"female"
"RNF149"	4.23348726885832e-35	-1.03756239982887	0.152	0.334	9.79967632995324e-31	"Mig"	"RNF149"	"female"
"SLC2A5"	2.72241704926194e-33	-1.10531974533334	0.172	0.353	6.30185098563155e-29	"Mig"	"SLC2A5"	"female"
"MS4A4A"	3.35450704577155e-33	-1.07841890683272	0.028	0.134	7.76501290955199e-29	"Mig"	"MS4A4A"	"female"
"H2AC19"	6.01143412833778e-33	-1.35150565888995	0.09	0.24	1.39152677202763e-28	"Mig"	"H2AC19"	"female"
"H2AC18"	1.64005390008939e-32	-1.35938528631835	0.09	0.238	3.79639676792691e-28	"Mig"	"H2AC18"	"female"
"ACTB"	1.89130745883584e-32	-0.836538596746338	0.769	0.896	4.37799850571321e-28	"Mig"	"ACTB"	"female"
"SIGLEC10"	2.88559141446643e-32	-1.07289298256132	0.065	0.199	6.67956700620689e-28	"Mig"	"SIGLEC10"	"female"
"FCGR3A"	7.0463057789976e-32	-0.72715476139723	0.312	0.515	1.63107886172236e-27	"Mig"	"FCGR3A"	"female"
"B4GALT1"	5.85772828499776e-30	-0.928704645103192	0.344	0.542	1.35594694341128e-25	"Mig"	"B4GALT1"	"female"
"FGD2"	6.38788207206836e-30	-0.961422733552049	0.497	0.693	1.47866694204238e-25	"Mig"	"FGD2"	"female"
"H2BC5"	7.93811729067358e-30	-0.909210105938613	0.072	0.202	1.83751539044512e-25	"Mig"	"H2BC5"	"female"
"ZFP36L2"	4.43129391558847e-29	0.801343827901273	0.509	0.322	1.02575591558042e-24	"Mig"	"ZFP36L2"	"female"
"C1QA"	1.16166349393877e-28	-1.11869866124554	0.261	0.431	2.68901865576946e-24	"Mig"	"C1QA"	"female"
"C1orf162"	3.78403915527206e-28	-1.0033463706562	0.123	0.273	8.75929383662377e-24	"Mig"	"C1orf162"	"female"
"NEIL2"	4.87764121068883e-28	-0.850674207723621	0.031	0.128	1.12907638745025e-23	"Mig"	"NEIL2"	"female"
"CYBA"	9.07553531104566e-28	-0.865782553173794	0.212	0.389	2.10080491380085e-23	"Mig"	"CYBA"	"female"
"CHP1"	5.0212641351445e-27	-1.1242956618723	0.175	0.339	1.16232222200325e-22	"Mig"	"CHP1"	"female"
"ATM"	1.13668316138988e-26	1.09718072687261	0.334	0.166	2.6311941819853e-22	"Mig"	"ATM"	"female"
"HLA-DRB1"	2.36107998804534e-26	-1.11389396593629	0.275	0.44	5.46542795632735e-22	"Mig"	"HLA-DRB1"	"female"
"ND4"	9.91184340367816e-26	0.68240994606153	0.695	0.511	2.29439351108342e-21	"Mig"	"ND4"	"female"
"TMSB10"	1.03592023762189e-25	-0.973124302151481	0.22	0.386	2.39794816604715e-21	"Mig"	"TMSB10"	"female"
"EGR1"	3.62613774096649e-25	1.32189860396513	0.202	0.07	8.39378364278923e-21	"Mig"	"EGR1"	"female"
"SRSF6"	4.01853263763449e-25	0.413895865947459	0.736	0.587	9.30209934959631e-21	"Mig"	"SRSF6"	"female"
"PLXDC2"	6.39664839526256e-25	0.855142596606898	0.43	0.264	1.48069617053538e-20	"Mig"	"PLXDC2"	"female"
"SSR4"	1.76122885672532e-24	-0.953903835128706	0.07	0.185	4.07689255754777e-20	"Mig"	"SSR4"	"female"
"TYMP"	2.22527796119468e-24	-1.33410745959149	0.034	0.125	5.15107342457345e-20	"Mig"	"TYMP"	"female"
"VMP1"	5.70569318840571e-24	-0.84503235179234	0.113	0.246	1.32075385925215e-19	"Mig"	"VMP1"	"female"
"ACSL1"	2.26822848962799e-23	-0.0669526891336372	0.063	0.174	5.25049530779086e-19	"Mig"	"ACSL1"	"female"
"STOM"	3.61435948247261e-23	-1.1726321856595	0.115	0.246	8.36651933002761e-19	"Mig"	"STOM"	"female"
"CLK1"	4.98528336671595e-23	0.594883097621705	0.388	0.223	1.15399339372741e-18	"Mig"	"CLK1"	"female"
"REEP3"	7.61012292735568e-23	-1.04407824485972	0.053	0.152	1.76159125522429e-18	"Mig"	"REEP3"	"female"
"DOCK5"	1.03706106034684e-22	-0.92366846299108	0.128	0.26	2.40058894249086e-18	"Mig"	"DOCK5"	"female"
"LAIR1"	3.44425901946275e-22	-0.730888896132348	0.123	0.255	7.97277077825238e-18	"Mig"	"LAIR1"	"female"
