"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"
"CD300A"	3.45433611141487e-22	-0.734130889832528	0.041	0.132	7.99609723070315e-18	"Mig"	"CD300A"	"female"
"PSME2"	8.91856807645336e-22	-0.543537315796596	0.046	0.138	2.06447013833742e-17	"Mig"	"PSME2"	"female"
"ZNF302"	9.14222912310402e-22	-0.00682776290177856	0.611	0.447	2.11624319741612e-17	"Mig"	"ZNF302"	"female"
"UBC"	2.84856777218259e-21	0.850584442068181	0.352	0.204	6.59386467904826e-17	"Mig"	"UBC"	"female"
"TMEM176B"	1.02626149773315e-20	-0.788661572021633	0.057	0.152	2.37559011495271e-16	"Mig"	"TMEM176B"	"female"
"KCNJ2"	1.83961431108827e-20	-1.13421160884765	0.182	0.318	4.25833920730712e-16	"Mig"	"KCNJ2"	"female"
"ATP6"	4.00266240820112e-20	0.556824778029507	0.596	0.434	9.26536294250395e-16	"Mig"	"ATP6"	"female"
"DOCK8"	7.73248377933221e-20	1.09639231062612	0.344	0.207	1.78991534523982e-15	"Mig"	"DOCK8"	"female"
"PNISR"	7.93780067825706e-20	0.667470644925725	0.409	0.265	1.83744210100294e-15	"Mig"	"PNISR"	"female"
"HP1BP3"	9.986217258794e-20	1.02532994892088	0.376	0.229	2.31160957106563e-15	"Mig"	"HP1BP3"	"female"
"PTPN2"	2.64490724513888e-19	-0.667208636538535	0.051	0.139	6.12243129104749e-15	"Mig"	"PTPN2"	"female"
"C1QC"	4.20316592149727e-19	-0.724287594981137	0.569	0.674	9.72948847508189e-15	"Mig"	"C1QC"	"female"
"UBA52"	4.47115948114851e-19	-1.26456123644148	0.205	0.347	1.03498399669626e-14	"Mig"	"UBA52"	"female"
"LINC00339"	5.13904271447881e-19	0.524301691178083	0.124	0.032	1.18958560754756e-14	"Mig"	"LINC00339"	"female"
"SERPINA1"	6.78334743642303e-19	-0.328360032271268	0.048	0.134	1.5702092645832e-14	"Mig"	"SERPINA1"	"female"
"RGS1"	7.66987744893984e-19	1.16847073886419	0.349	0.22	1.77542323188059e-14	"Mig"	"RGS1"	"female"
"SNORD14E"	8.89471442499738e-19	1.64667080302202	0.129	0.037	2.05894849509839e-14	"Mig"	"SNORD14E"	"female"
"ATP5PO"	9.23530554843516e-19	-0.672508307544997	0.032	0.106	2.13778852835177e-14	"Mig"	"ATP5PO"	"female"
"GTF3A"	9.99876945484411e-19	-1.27549214430677	0.039	0.118	2.31451515340731e-14	"Mig"	"GTF3A"	"female"
"TIAM1"	1.23042911562102e-18	0.784504994062531	0.233	0.11	2.84819731683953e-14	"Mig"	"TIAM1"	"female"
"PLD4"	1.90732662099586e-18	0.960897125797739	0.156	0.056	4.41507966228122e-14	"Mig"	"PLD4"	"female"
"UBA6"	2.12718519804391e-18	-0.552727207542383	0.074	0.172	4.92400829643204e-14	"Mig"	"UBA6"	"female"
"ENO1"	3.23006593183853e-18	-0.862390409446202	0.092	0.197	7.47695661901983e-14	"Mig"	"ENO1"	"female"
"XBP1"	4.35276034851693e-18	-0.562175852817692	0.043	0.124	1.0075769654747e-13	"Mig"	"XBP1"	"female"
"PSME1"	8.69869548122731e-18	-0.629243363754641	0.081	0.182	2.0135740299945e-13	"Mig"	"PSME1"	"female"
"ND4L"	1.24588593113367e-17	1.0747131003086	0.259	0.138	2.88397675338821e-13	"Mig"	"ND4L"	"female"
"COX6B1"	1.55236265491271e-17	-1.30422849788879	0.044	0.124	3.59340907359195e-13	"Mig"	"COX6B1"	"female"
"PTPRE"	1.66597729225361e-17	-0.412207594333335	0.114	0.228	3.85640423610866e-13	"Mig"	"PTPRE"	"female"
"ND2"	1.99404908844187e-17	1.00169388093689	0.447	0.318	4.61582482992525e-13	"Mig"	"ND2"	"female"
"WNT5A"	2.28990703361892e-17	-1.06658210241704	0.131	0.245	5.30067680142108e-13	"Mig"	"WNT5A"	"female"
"C1QB"	2.31375540323036e-17	-0.93409888554817	0.422	0.537	5.35588100739764e-13	"Mig"	"C1QB"	"female"
"MARCHF2"	8.92570808806553e-17	-0.736300377066963	0.159	0.275	2.06612290822541e-12	"Mig"	"MARCHF2"	"female"
"GCA"	1.00409824027624e-16	-0.644034050511354	0.037	0.11	2.32428660659143e-12	"Mig"	"GCA"	"female"
"MED12L"	1.08672311176703e-16	0.496637032765745	0.298	0.171	2.51554665911833e-12	"Mig"	"MED12L"	"female"
"JUND"	1.28197813398214e-16	0.806418200709248	0.227	0.111	2.96752298454186e-12	"Mig"	"JUND"	"female"
"SAP18"	1.48890601297334e-16	-0.584028956612583	0.044	0.121	3.44651963883068e-12	"Mig"	"SAP18"	"female"
"ITGAX"	2.14271178474316e-16	0.408886937358306	0.612	0.507	4.95994923932347e-12	"Mig"	"ITGAX"	"female"
"HSP90AB3P"	2.44975169644163e-16	0.838859771770431	0.164	0.067	5.67068522692307e-12	"Mig"	"HSP90AB3P"	"female"
"SLC25A5"	2.83336194511088e-16	-0.376816729861913	0.048	0.126	6.55866623054267e-12	"Mig"	"SLC25A5"	"female"
"PSMB3"	3.19408162670913e-16	-0.199711085440155	0.044	0.119	7.3936601495063e-12	"Mig"	"PSMB3"	"female"
"FLCN"	3.38028193217686e-16	0.432056228876984	0.361	0.227	7.82467661660301e-12	"Mig"	"FLCN"	"female"
"MTHFD2"	3.42623022661423e-16	-0.819317066769437	0.035	0.104	7.93103772856662e-12	"Mig"	"MTHFD2"	"female"
"SLC2A3"	3.53328242120169e-16	-0.905298817720731	0.037	0.107	8.17884214859767e-12	"Mig"	"SLC2A3"	"female"
"CTSH"	3.56252733936578e-16	-0.994621644336418	0.088	0.186	8.24653828516391e-12	"Mig"	"CTSH"	"female"
"ATP8"	4.96259967375026e-16	0.983982431748715	0.382	0.256	1.14874257247971e-11	"Mig"	"ATP8"	"female"
"TLR2"	6.80174972784639e-16	-0.415585708558743	0.086	0.18	1.57446902700188e-11	"Mig"	"TLR2"	"female"
"TSPO"	7.99748579532223e-16	-0.366753471977607	0.074	0.165	1.85125801190119e-11	"Mig"	"TSPO"	"female"
"FAM157A"	8.33609428388033e-16	-0.58845429704864	0.057	0.136	1.92963910483262e-11	"Mig"	"FAM157A"	"female"
"KDELR2"	8.47841317685622e-16	-0.665980662349561	0.042	0.115	1.96258308217868e-11	"Mig"	"KDELR2"	"female"
"RNU4ATAC"	1.04042144257203e-15	0.73650911384669	0.113	0.034	2.40836755526573e-11	"Mig"	"RNU4ATAC"	"female"
"PRDM1"	1.13781256572672e-15	1.1521749997032	0.185	0.084	2.63380852714421e-11	"Mig"	"PRDM1"	"female"
"FCGR3B"	1.15033458049589e-15	-0.294292647307591	0.172	0.29	2.66279448693188e-11	"Mig"	"FCGR3B"	"female"
"HLA-DQB1"	1.22720402606911e-15	-0.963206179590955	0.078	0.168	2.84073187954479e-11	"Mig"	"HLA-DQB1"	"female"
"SH3BGRL3"	1.39278314827859e-15	-0.88704121921616	0.068	0.154	3.22401443163528e-11	"Mig"	"SH3BGRL3"	"female"
"CLEC7A"	1.54059930018765e-15	-0.502554248127835	0.424	0.579	3.56617926007438e-11	"Mig"	"CLEC7A"	"female"
"ARPC4"	2.40070958401141e-15	-0.50171099863381	0.244	0.394	5.55716254506961e-11	"Mig"	"ARPC4"	"female"
"HCK"	3.45092235047682e-15	-0.54881499989309	0.056	0.135	7.98819505688374e-11	"Mig"	"HCK"	"female"
"KMT2E"	3.61219294453701e-15	0.764749585981777	0.319	0.195	8.36150422801427e-11	"Mig"	"KMT2E"	"female"
"NINJ1"	4.21070200165094e-15	-0.659432095973409	0.07	0.156	9.74693299342160e-11	"Mig"	"NINJ1"	"female"
"ITGB2"	4.24890322612305e-15	-1.06809761113103	0.181	0.297	9.83536118782964e-11	"Mig"	"ITGB2"	"female"
"ITM2B"	4.24995832943715e-15	0.528946958587338	0.538	0.413	9.83780354098111e-11	"Mig"	"ITM2B"	"female"
"VSIG4"	4.56880499933195e-15	-0.695608438338805	0.176	0.296	1.05758698124536e-10	"Mig"	"VSIG4"	"female"
"HMGN2"	5.21958255977247e-15	-0.59092265387869	0.082	0.172	1.20822897093613e-10	"Mig"	"HMGN2"	"female"
"PTGES3"	1.08937570007632e-14	0.797660404138278	0.238	0.132	2.52168687053666e-10	"Mig"	"PTGES3"	"female"
"HLA-A"	1.15340006639257e-14	-0.856577976894933	0.149	0.256	2.66989047368553e-10	"Mig"	"HLA-A"	"female"
"NDUFA4"	1.26308643259408e-14	-0.930778750663157	0.051	0.125	2.92379247416878e-10	"Mig"	"NDUFA4"	"female"
"SSR3"	1.35961673281025e-14	-1.14300151167	0.059	0.136	3.14724081310916e-10	"Mig"	"SSR3"	"female"
"DDX21"	1.50726617802854e-14	-0.587718138009571	0.051	0.124	3.48901974890046e-10	"Mig"	"DDX21"	"female"
"SYNGR2"	1.84914443950457e-14	-0.75529681438948	0.078	0.166	4.28039954856518e-10	"Mig"	"SYNGR2"	"female"
"DSC2"	2.89516181646469e-14	-1.28006550582117	0.043	0.11	6.70172057275247e-10	"Mig"	"DSC2"	"female"
"ATP5F1E"	3.8587379901639e-14	-0.98854219156775	0.199	0.318	8.93220669963139e-10	"Mig"	"ATP5F1E"	"female"
"OLFML3"	4.12328462886176e-14	0.423496871537071	0.329	0.214	9.54457925888920e-10	"Mig"	"OLFML3"	"female"
"COL6A3"	4.81069950571191e-14	-0.269982737529939	0.749	0.642	1.11358072158219e-09	"Mig"	"COL6A3"	"female"
"FTH1P2"	5.98679464547645e-14	-0.795879864123076	0.24	0.344	1.38582322453489e-09	"Mig"	"FTH1P2"	"female"
"MED13L"	6.15799071539859e-14	0.221578179761535	0.151	0.063	1.42545169080047e-09	"Mig"	"MED13L"	"female"
"TMEM33"	7.34958962375515e-14	-0.751935546729276	0.15	0.255	1.70128300610684e-09	"Mig"	"TMEM33"	"female"
"CTSD"	8.25856224751568e-14	-0.530777940907916	0.101	0.198	1.91169198905493e-09	"Mig"	"CTSD"	"female"
"RBM3"	9.273819575524e-14	-0.996085938476918	0.08	0.162	2.14670375534230e-09	"Mig"	"RBM3"	"female"
"FTH1P10"	1.29726937847609e-13	-0.85525148070722	0.292	0.399	3.00291915729644e-09	"Mig"	"FTH1P10"	"female"
"RASGEF1B"	1.3503760719806e-13	0.683711337664529	0.195	0.097	3.1258505314207e-09	"Mig"	"RASGEF1B"	"female"
"RNF144B"	1.48601860479376e-13	-0.187054130262806	0.041	0.106	3.43983586637659e-09	"Mig"	"RNF144B"	"female"
"COX7C"	1.54326593039518e-13	-0.947679978217553	0.054	0.126	3.57235197567876e-09	"Mig"	"COX7C"	"female"
"SPATA6"	1.6935973010109e-13	-0.646930462091085	0.039	0.101	3.92033903238002e-09	"Mig"	"SPATA6"	"female"
"DENND3"	2.313646160507e-13	-0.588513098663767	0.098	0.189	5.35562813234161e-09	"Mig"	"DENND3"	"female"
"ALOX5AP"	2.39032486935829e-13	-0.47183887343343	0.206	0.325	5.53312400759057e-09	"Mig"	"ALOX5AP"	"female"
"IL6ST"	2.43189254655893e-13	0.359868247446539	0.467	0.348	5.62934486677462e-09	"Mig"	"IL6ST"	"female"
"CD63"	2.45361773864337e-13	-0.627358333155257	0.151	0.255	5.67963434141168e-09	"Mig"	"CD63"	"female"
"MTATP6P1"	2.73015889546449e-13	0.518865273132526	0.467	0.349	6.3197718112212e-09	"Mig"	"MTATP6P1"	"female"
"MTND2P28"	3.18225247186867e-13	1.12139934129603	0.323	0.221	7.36627802188159e-09	"Mig"	"MTND2P28"	"female"
"CDC42"	3.25872519792702e-13	-0.63271691352519	0.33	0.461	7.54329708816147e-09	"Mig"	"CDC42"	"female"
"NDUFB1"	3.75741574098997e-13	-0.813565703423975	0.045	0.111	8.69766595724358e-09	"Mig"	"NDUFB1"	"female"
"ZFHX3"	4.76907985329258e-13	0.31075264942419	0.326	0.21	1.10394660444017e-08	"Mig"	"ZFHX3"	"female"
"SLC25A37"	5.30859484000647e-13	-0.477297580186136	0.379	0.507	1.2288335335647e-08	"Mig"	"SLC25A37"	"female"
"TRA2A"	7.09928767108605e-13	0.149497879943713	0.625	0.526	1.643343110103e-08	"Mig"	"TRA2A"	"female"
"HLA-DPB1"	7.36255440827971e-13	-0.763424221793783	0.151	0.253	1.70428409442859e-08	"Mig"	"HLA-DPB1"	"female"
"ZFP36L1"	8.5149128842503e-13	0.165359542474473	0.55	0.452	1.97103203444626e-08	"Mig"	"ZFP36L1"	"female"
"VAMP8"	8.71975915238623e-13	-0.591897064862149	0.049	0.116	2.01844984859436e-08	"Mig"	"VAMP8"	"female"
"HLA-B"	1.22751767622104e-12	-0.697592389370074	0.267	0.389	2.84145791691645e-08	"Mig"	"HLA-B"	"female"
"PFN1"	1.63696853102336e-12	-0.331078032425957	0.215	0.334	3.78925475561288e-08	"Mig"	"PFN1"	"female"
"ALDOA"	1.67675767089509e-12	-0.433625711021093	0.073	0.151	3.88135865658796e-08	"Mig"	"ALDOA"	"female"
"ZC3HAV1"	1.90156358106422e-12	0.956825346374227	0.161	0.077	4.40173937744746e-08	"Mig"	"ZC3HAV1"	"female"
"H2AC20"	2.12828285083935e-12	-0.80347833078619	0.057	0.125	4.92654914312293e-08	"Mig"	"H2AC20"	"female"
"FAU"	3.69547843602883e-12	-0.695490850743183	0.113	0.203	8.55429348371953e-08	"Mig"	"FAU"	"female"
"CXCR4"	3.89477120691919e-12	1.28807150068898	0.101	0.035	9.01561638977654e-08	"Mig"	"CXCR4"	"female"
"CAPZA1"	4.02471489683809e-12	-0.995873027309881	0.388	0.502	9.31641004320081e-08	"Mig"	"CAPZA1"	"female"
"LDHA"	4.12408194606806e-12	-0.684174596645595	0.046	0.108	9.54642488875835e-08	"Mig"	"LDHA"	"female"
"COX3"	4.16804990729989e-12	0.455347521046183	0.584	0.473	9.64820192541777e-08	"Mig"	"COX3"	"female"
"TPI1"	5.96665700956351e-12	-0.826305107862058	0.081	0.159	1.38116176457376e-07	"Mig"	"TPI1"	"female"
"FOXP1"	6.15736680502965e-12	1.08303979039625	0.163	0.082	1.42530726802826e-07	"Mig"	"FOXP1"	"female"
"CTSC"	6.56841593499096e-12	-0.53867556242384	0.145	0.241	1.52045692063171e-07	"Mig"	"CTSC"	"female"
"HSPA5"	8.87081733763004e-12	-0.88391517505147	0.121	0.21	2.0534167973146e-07	"Mig"	"HSPA5"	"female"
"PRPF38B"	1.02180048474212e-11	1.09139358013179	0.252	0.156	2.36526376208105e-07	"Mig"	"PRPF38B"	"female"
"NDUFA1"	1.16733150487502e-11	-0.480706866212548	0.051	0.116	2.70213896748469e-07	"Mig"	"NDUFA1"	"female"
"PSMB6"	1.28381170402827e-11	-0.291765227079167	0.047	0.11	2.97176733248465e-07	"Mig"	"PSMB6"	"female"
"IFNGR1"	1.34428290679069e-11	0.175865846171018	0.593	0.501	3.11174607263909e-07	"Mig"	"IFNGR1"	"female"
"MDM2"	1.37212880415139e-11	0.622700349116498	0.23	0.133	3.17620375584964e-07	"Mig"	"MDM2"	"female"
"ZMAT3"	1.68360359940161e-11	1.11185542049167	0.107	0.041	3.89720561189484e-07	"Mig"	"ZMAT3"	"female"
"B2M"	2.12288024244279e-11	-0.662298165818314	0.629	0.716	4.91404318520658e-07	"Mig"	"B2M"	"female"
"CIRBP"	2.15183292091982e-11	-0.746813805301547	0.054	0.119	4.9810628453452e-07	"Mig"	"CIRBP"	"female"
"ACTG1"	2.30653031589454e-11	-0.625106298951809	0.162	0.26	5.33915637523268e-07	"Mig"	"ACTG1"	"female"
"GRB2"	2.35012998801531e-11	-0.588759274481538	0.14	0.232	5.44008089625784e-07	"Mig"	"GRB2"	"female"
"NPIPB13"	2.61683326013115e-11	0.590728243981525	0.191	0.105	6.05744563055158e-07	"Mig"	"NPIPB13"	"female"
"ND3"	3.31403409510174e-11	0.520481811944124	0.203	0.114	7.6713261233415e-07	"Mig"	"ND3"	"female"
"FGFR1OP2"	3.44025073828351e-11	0.966094147814479	0.181	0.101	7.96349240897867e-07	"Mig"	"FGFR1OP2"	"female"
"CASP4"	3.7255304775054e-11	-0.638100805132019	0.051	0.113	8.6238579493295e-07	"Mig"	"CASP4"	"female"
"HLA-DQA1"	4.05301663666941e-11	-0.80041673451469	0.115	0.2	9.38192291056234e-07	"Mig"	"HLA-DQA1"	"female"
"SSR1"	4.10741493584364e-11	-0.629217607783252	0.191	0.293	9.50784409349086e-07	"Mig"	"SSR1"	"female"
"GSN"	7.28668787764982e-11	0.297791764809395	0.573	0.471	1.68672250991838e-06	"Mig"	"GSN"	"female"
"COX2"	7.51333790332585e-11	0.493693080343451	0.529	0.423	1.73918745786187e-06	"Mig"	"COX2"	"female"
"RBPJ"	8.01275771876236e-11	-0.188578110130772	0.052	0.113	1.85479315673911e-06	"Mig"	"RBPJ"	"female"
"ARF1"	8.26362244538319e-11	-0.0297069711451667	0.048	0.108	1.9128633236573e-06	"Mig"	"ARF1"	"female"
"P4HA1"	9.24198929742717e-11	0.938497469122449	0.166	0.088	2.13933568256844e-06	"Mig"	"P4HA1"	"female"
"GREM1"	9.25772334197249e-11	-0.845594928407412	0.697	0.572	2.14297779919979e-06	"Mig"	"GREM1"	"female"
"NPIPB5"	9.42020493339157e-11	0.544743415443835	0.236	0.145	2.18058903798148e-06	"Mig"	"NPIPB5"	"female"
"AIF1"	9.84395645702463e-11	-0.583511213512942	0.37	0.492	2.27867904067206e-06	"Mig"	"AIF1"	"female"
"TMED4"	1.03644665625196e-10	-0.613857790007403	0.186	0.285	2.39916671989203e-06	"Mig"	"TMED4"	"female"
"MIDEAS"	1.24142381382925e-10	0.444813059314435	0.173	0.094	2.87364784425196e-06	"Mig"	"MIDEAS"	"female"
"SRSF2"	1.29632576601459e-10	-0.814092977180566	0.125	0.208	3.00073488317057e-06	"Mig"	"SRSF2"	"female"
"PRRG3"	1.72397131844405e-10	0.413052433632857	0.251	0.161	3.99064880793428e-06	"Mig"	"PRRG3"	"female"
"NDUFC1"	1.83034010864964e-10	-0.112896484126582	0.051	0.111	4.23687128350218e-06	"Mig"	"NDUFC1"	"female"
"SRGAP2B"	1.84306615684729e-10	0.128160602291901	0.771	0.695	4.26632953987012e-06	"Mig"	"SRGAP2B"	"female"
"LYZ"	2.07954041435161e-10	0.732535297581895	0.109	0.047	4.8137201511411e-06	"Mig"	"LYZ"	"female"
"NPIPB11"	2.10406995690496e-10	0.586384303486103	0.174	0.095	4.8705011362436e-06	"Mig"	"NPIPB11"	"female"
"ZNF292"	2.31124095635293e-10	0.708150785574003	0.167	0.089	5.35006056576577e-06	"Mig"	"ZNF292"	"female"
"CPED1"	2.37417305146048e-10	1.22587106607326	0.126	0.059	5.49573577952072e-06	"Mig"	"CPED1"	"female"
