"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"SYNGR2"	3.62272700515641e-20	0.984298139596506	0.166	0.04	8.38588847153607e-16	"Mig"	"SYNGR2"	"N"
"H2AC20"	6.15245982943982e-20	1.09776500998199	0.125	0.019	1.42417140131873e-15	"Mig"	"H2AC20"	"N"
"TSPYL1"	7.76236303397134e-20	-0.970601827885686	0.222	0.396	1.79683179510369e-15	"Mig"	"TSPYL1"	"N"
"TYMP"	8.18025563199169e-20	1.58196404828902	0.125	0.019	1.89356557369344e-15	"Mig"	"TYMP"	"N"
"PER2"	1.04090388291646e-19	-1.38395020191369	0.048	0.166	2.40948430817502e-15	"Mig"	"PER2"	"N"
"ALDOA"	1.19133383383783e-19	0.856973822815668	0.151	0.034	2.7576995585678e-15	"Mig"	"ALDOA"	"N"
"EIF5AL1"	1.26094397611136e-19	-1.51273937553238	0.265	0.401	2.91883311590258e-15	"Mig"	"EIF5AL1"	"N"
"MPC2"	1.27420615774464e-19	1.27020270635357	0.161	0.041	2.94953241394729e-15	"Mig"	"MPC2"	"N"
"DENND3"	1.38302406858426e-19	1.0996068218604	0.189	0.056	3.20142411395884e-15	"Mig"	"DENND3"	"N"
"ENO1"	1.56779674273006e-19	1.17695723236388	0.197	0.062	3.62913590007155e-15	"Mig"	"ENO1"	"N"
"XBP1"	4.0115592792067e-19	0.971564177459667	0.124	0.02	9.28595741950767e-15	"Mig"	"XBP1"	"N"
"EIF1P5"	4.0653180025597e-19	0.679476228330605	0.126	0.021	9.4103981123252e-15	"Mig"	"EIF1P5"	"N"
"PSME1"	4.14795147236304e-19	0.768586152077784	0.182	0.053	9.60167806822596e-15	"Mig"	"PSME1"	"N"
"SRSF3"	5.32175863753337e-19	-1.01754595761413	0.444	0.61	1.23188068941622e-14	"Mig"	"SRSF3"	"N"
"CD300A"	5.59656476890555e-19	0.72574884458311	0.132	0.025	1.29549281270626e-14	"Mig"	"CD300A"	"N"
"GPX1"	6.72052462656316e-19	0.796419977132971	0.247	0.096	1.55566704055684e-14	"Mig"	"GPX1"	"N"
"PSMB3"	6.96220994703538e-19	0.835686408950134	0.119	0.018	1.61161235853975e-14	"Mig"	"PSMB3"	"N"
"MDM2"	8.42043036312093e-19	-1.08744852867344	0.133	0.289	1.94916122045523e-14	"Mig"	"MDM2"	"N"
"TNFRSF13C"	8.51018135778272e-19	-1.28204418141176	0.18	0.34	1.96993678069954e-14	"Mig"	"TNFRSF13C"	"N"
"MS4A4A"	8.68535838024015e-19	0.825468515195048	0.134	0.027	2.01048675785799e-14	"Mig"	"MS4A4A"	"N"
"PDZD8"	8.71744422600104e-19	-1.50448651301187	0.068	0.189	2.01791398943472e-14	"Mig"	"PDZD8"	"N"
"ATXN7"	9.03723829792205e-19	-0.986661628196692	0.174	0.333	2.091939921203e-14	"Mig"	"ATXN7"	"N"
"HLA-A"	1.04459025287097e-18	0.863683298559875	0.256	0.106	2.41801751734572e-14	"Mig"	"HLA-A"	"N"
"C6orf62"	1.09904296062373e-18	-0.595417939964443	0.588	0.73	2.5440646452518e-14	"Mig"	"C6orf62"	"N"
"SIGLEC10"	1.14892728934112e-18	0.895171986630696	0.199	0.066	2.65953688936683e-14	"Mig"	"SIGLEC10"	"N"
"ND5"	1.33331750743055e-18	0.738722244293192	0.325	0.156	3.08636336620023e-14	"Mig"	"ND5"	"N"
"LOC729998"	2.08380466384946e-18	1.43882650108023	0.141	0.032	4.82359103587873e-14	"Mig"	"LOC729998"	"N"
"PRPF39"	2.64838056323179e-18	-0.915347134901759	0.199	0.354	6.13047132776896e-14	"Mig"	"PRPF39"	"N"
"ITGB2"	3.97687468054935e-18	0.972358028276632	0.297	0.135	9.20566951053564e-14	"Mig"	"ITGB2"	"N"
"DDX5"	4.01440544937087e-18	0.508143382867756	0.394	0.214	9.2925457342037e-14	"Mig"	"DDX5"	"N"
"GREM1"	4.61998189312491e-18	-0.834006119625754	0.572	0.707	1.06943340862056e-13	"Mig"	"GREM1"	"N"
"ZC3HAV1"	5.09050736774649e-18	-1.48183151104537	0.077	0.203	1.17835064548596e-13	"Mig"	"ZC3HAV1"	"N"
"CCNL1"	5.31293729949406e-18	0.904413294799558	0.144	0.034	1.22983872608688e-13	"Mig"	"CCNL1"	"N"
"SAP18"	6.83396753427106e-18	0.829065410171917	0.121	0.021	1.58192680483307e-13	"Mig"	"SAP18"	"N"
"H2BC5"	7.30015375267867e-18	0.786170346485167	0.202	0.07	1.68983959067006e-13	"Mig"	"H2BC5"	"N"
"PSME2"	1.14569025499481e-17	0.920015134490357	0.138	0.032	2.65204380226199e-13	"Mig"	"PSME2"	"N"
"DOCK8"	1.52346132630103e-17	-1.54680959883363	0.207	0.353	3.52650827812163e-13	"Mig"	"DOCK8"	"N"
"MTA2"	1.64679966956201e-17	-1.2413209342305	0.266	0.412	3.81201187510215e-13	"Mig"	"MTA2"	"N"
"NINJ1"	1.67433507025031e-17	0.955524477285832	0.156	0.042	3.87575082061541e-13	"Mig"	"NINJ1"	"N"
"AIF1"	1.94413550132483e-17	0.548716864337268	0.492	0.301	4.50028485846672e-13	"Mig"	"AIF1"	"N"
"EEF1B2"	2.04840648131493e-17	0.940849692753718	0.169	0.05	4.7416513229478e-13	"Mig"	"EEF1B2"	"N"
"RBM6"	2.45271183102574e-17	-0.882456937338637	0.504	0.659	5.67753734645837e-13	"Mig"	"RBM6"	"N"
"GTF3A"	4.92547005200498e-17	1.76323471493138	0.118	0.023	1.14014780763811e-12	"Mig"	"GTF3A"	"N"
"COX7C"	5.08196585853895e-17	1.31597683236397	0.126	0.027	1.1763734569346e-12	"Mig"	"COX7C"	"N"
"REEP3"	6.47814103865727e-17	1.20908287701985	0.152	0.042	1.49956008762839e-12	"Mig"	"REEP3"	"N"
"RIT1"	6.54806020356329e-17	-1.49729666923386	0.032	0.126	1.51574497592083e-12	"Mig"	"RIT1"	"N"
"PPIA"	8.24071927380253e-17	0.644092836201477	0.181	0.059	1.90756169749981e-12	"Mig"	"PPIA"	"N"
"GOLIM4"	9.30929599275734e-17	-0.617150279484497	0.184	0.339	2.15491583640347e-12	"Mig"	"GOLIM4"	"N"
"HSPA5"	9.72732416151974e-17	1.03297407349528	0.21	0.08	2.25168099690859e-12	"Mig"	"HSPA5"	"N"
"POU2F2"	9.94374845800242e-17	1.18896501978024	0.145	0.038	2.3017788930584e-12	"Mig"	"POU2F2"	"N"
"FNIP1"	1.03032936750928e-16	-1.09287099507256	0.106	0.237	2.38500641991049e-12	"Mig"	"FNIP1"	"N"
"TXNIP"	1.16794784967937e-16	0.757664769108883	0.225	0.088	2.7035656824378e-12	"Mig"	"TXNIP"	"N"
"EEF1A1P25"	1.20497986867866e-16	0.804887775645215	0.252	0.107	2.78928740001736e-12	"Mig"	"EEF1A1P25"	"N"
"LAPTM5"	1.25773285067247e-16	0.876282282828853	0.419	0.252	2.91140000273664e-12	"Mig"	"LAPTM5"	"N"
"ALOX5"	1.42410824107536e-16	0.353801342866545	0.109	0.018	3.29652575644124e-12	"Mig"	"ALOX5"	"N"
"COX1"	1.48292420394632e-16	0.520472932946203	0.533	0.34	3.43267294729495e-12	"Mig"	"COX1"	"N"
"PLAC8"	1.51067697367168e-16	0.725832212432218	0.116	0.023	3.4969150586552e-12	"Mig"	"PLAC8"	"N"
"MERTK"	1.8501587217168e-16	1.10559117473075	0.14	0.036	4.28274740903006e-12	"Mig"	"MERTK"	"N"
"SRGAP2"	2.32093057409446e-16	-0.438256798556249	0.755	0.828	5.37249009291385e-12	"Mig"	"SRGAP2"	"N"
"MTND4P12"	2.49307601133378e-16	0.7406439522794	0.191	0.07	5.77097235103543e-12	"Mig"	"MTND4P12"	"N"
"RACK1"	2.70599117434331e-16	1.25306994444325	0.213	0.084	6.26382837036989e-12	"Mig"	"RACK1"	"N"
"DAAM1"	3.53982523675574e-16	-1.40896601980376	0.031	0.122	8.19398745804218e-12	"Mig"	"DAAM1"	"N"
"NDUFB1"	4.61815830217416e-16	1.12932644170811	0.111	0.02	1.06901128378727e-11	"Mig"	"NDUFB1"	"N"
"NPM1"	5.57594041236248e-16	0.882764834223051	0.154	0.045	1.29071868665367e-11	"Mig"	"NPM1"	"N"
"PAN3"	7.66486813953961e-16	-1.03350052544206	0.174	0.314	1.77426367694063e-11	"Mig"	"PAN3"	"N"
"MYL6"	7.96939021868453e-16	1.07590094451463	0.254	0.113	1.84475444782109e-11	"Mig"	"MYL6"	"N"
"PTMA"	1.04962958826166e-15	0.732883294703922	0.473	0.313	2.42968257090809e-11	"Mig"	"PTMA"	"N"
"UQCR10"	1.10288941627097e-15	0.874664237779996	0.195	0.073	2.55296842078403e-11	"Mig"	"UQCR10"	"N"
"UBA52"	1.24038197700933e-15	1.11534244422514	0.347	0.188	2.87123620038119e-11	"Mig"	"UBA52"	"N"
"ARF1"	1.42083744683262e-15	0.206897097740164	0.108	0.02	3.28895452192815e-11	"Mig"	"ARF1"	"N"
"ARPC4"	1.42259888261942e-15	-0.994252874303836	0.394	0.52	3.29303189348744e-11	"Mig"	"ARPC4"	"N"
"SERPINA1"	1.42583578526189e-15	0.61358920066086	0.134	0.036	3.30052467572423e-11	"Mig"	"SERPINA1"	"N"
"PFDN5"	1.72869098588736e-15	1.36437444847849	0.169	0.057	4.00157389413207e-11	"Mig"	"PFDN5"	"N"
"SERF2"	2.04165490478871e-15	0.559788700714623	0.335	0.179	4.72602277360491e-11	"Mig"	"SERF2"	"N"
"PSMA3-AS1"	2.09687659502972e-15	-1.01720290232858	0.312	0.451	4.85384994217479e-11	"Mig"	"PSMA3-AS1"	"N"
"CTNNB1"	2.49080789074739e-15	-0.703662983439141	0.659	0.774	5.76572210550206e-11	"Mig"	"CTNNB1"	"N"
"DHRS3"	2.79575202833512e-15	-0.640895007362981	0.297	0.45	6.47160679519014e-11	"Mig"	"DHRS3"	"N"
"ATP5PO"	2.93197798364128e-15	0.853200356593148	0.106	0.02	6.78694263653283e-11	"Mig"	"ATP5PO"	"N"
"ID2"	2.982646115546e-15	0.92064946699	0.125	0.031	6.90422922826588e-11	"Mig"	"ID2"	"N"
"ALOX5AP"	3.93617527686274e-15	0.57662553695967	0.325	0.17	9.11145853088187e-11	"Mig"	"ALOX5AP"	"N"
"HLA-E"	4.54403499180267e-15	0.617585287014041	0.354	0.202	1.05185321990248e-10	"Mig"	"HLA-E"	"N"
"FCGR2A"	4.73529259098368e-15	0.590345481193674	0.32	0.167	1.0961255289609e-10	"Mig"	"FCGR2A"	"N"
"NDUFA1"	5.00759669652071e-15	0.257197879855976	0.116	0.026	1.15915848331061e-10	"Mig"	"NDUFA1"	"N"
"NEDD9"	5.06648426619033e-15	-0.123656239220882	0.069	0.175	1.17278977793774e-10	"Mig"	"NEDD9"	"N"
"TMEM176B"	6.1551784137447e-15	0.630378789850816	0.152	0.047	1.42480069921362e-10	"Mig"	"TMEM176B"	"N"
"EEF1A1"	6.4219879470575e-15	0.828205370444107	0.507	0.34	1.48656176998487e-10	"Mig"	"EEF1A1"	"N"
"HSBP1"	6.88902874305889e-15	0.628738749462814	0.126	0.032	1.59467237344327e-10	"Mig"	"HSBP1"	"N"
"LINC00339"	7.17644062160313e-15	-1.30565836047269	0.032	0.117	1.66120247508869e-10	"Mig"	"LINC00339"	"N"
"ANKRD44"	8.29999469163047e-15	-0.746041773907024	0.191	0.332	1.92128277121862e-10	"Mig"	"ANKRD44"	"N"
"HLA-DQB1"	8.83443717385817e-15	0.604019438113018	0.168	0.058	2.04499551700469e-10	"Mig"	"HLA-DQB1"	"N"
"TNRC6B"	1.01532879751669e-14	-0.877308171357732	0.354	0.502	2.35028310049164e-10	"Mig"	"TNRC6B"	"N"
"YWHAH"	1.18498795795134e-14	-0.609610848352159	0.444	0.585	2.74301012506575e-10	"Mig"	"YWHAH"	"N"
"EIF5A"	1.18680480327081e-14	-1.06500369388696	0.429	0.534	2.74721575861127e-10	"Mig"	"EIF5A"	"N"
"HCK"	1.21796680267324e-14	0.590196667305927	0.135	0.038	2.81934955482803e-10	"Mig"	"HCK"	"N"
"STOM"	1.48772859768581e-14	0.748495584704243	0.246	0.113	3.44379415792312e-10	"Mig"	"STOM"	"N"
"NDUFC1"	1.54521285216725e-14	0.564214596971345	0.111	0.025	3.57685871019676e-10	"Mig"	"NDUFC1"	"N"
"IFI6"	3.03587799189531e-14	-0.893982569069313	0.222	0.356	7.02745037563926e-10	"Mig"	"IFI6"	"N"
"ETS2"	3.24923151059991e-14	0.973545241836255	0.121	0.032	7.52132110073668e-10	"Mig"	"ETS2"	"N"
"RASSF4"	3.34388590121031e-14	0.965016888390337	0.16	0.055	7.74042708412163e-10	"Mig"	"RASSF4"	"N"
"CEBPB"	3.40423418037932e-14	0.446396251177347	0.163	0.056	7.88012128074205e-10	"Mig"	"CEBPB"	"N"
"JAK3"	3.42785191175159e-14	0.788838169400083	0.188	0.075	7.93479160532257e-10	"Mig"	"JAK3"	"N"
"BRD4"	4.32995910905486e-14	-0.985933037992642	0.181	0.306	1.00229893456402e-09	"Mig"	"BRD4"	"N"
"ND1"	4.37970065975924e-14	0.781843012732893	0.303	0.163	1.01381310872107e-09	"Mig"	"ND1"	"N"
"PSMA7"	4.81645729984004e-14	0.759936233904314	0.205	0.085	1.11491353576697e-09	"Mig"	"PSMA7"	"N"
"H3-3B"	5.35645688982944e-14	0.505543316043888	0.343	0.191	1.23991264085772e-09	"Mig"	"H3-3B"	"N"
"HLA-DPB1"	5.47321556810247e-14	0.886433623129975	0.253	0.124	1.26693993970436e-09	"Mig"	"HLA-DPB1"	"N"
"DDX21"	6.1840942849819e-14	0.519416535435873	0.124	0.034	1.43149414508761e-09	"Mig"	"DDX21"	"N"
"ATP5ME"	6.74685463108436e-14	0.740920969065947	0.151	0.05	1.56176191000341e-09	"Mig"	"ATP5ME"	"N"
"TMED4"	7.85345806875865e-14	-1.06305946333626	0.285	0.422	1.81791847375625e-09	"Mig"	"TMED4"	"N"
"NEAT1"	7.90898687621489e-14	0.299689730254801	0.7	0.531	1.83077228210622e-09	"Mig"	"NEAT1"	"N"
"FAM157A"	7.91810073669765e-14	0.365130519793846	0.136	0.041	1.83288195853077e-09	"Mig"	"FAM157A"	"N"
"SAR1A"	8.04991538746496e-14	0.593204975524283	0.332	0.178	1.86339441389039e-09	"Mig"	"SAR1A"	"N"
"DHRS7"	8.44081022801998e-14	0.457697531307819	0.117	0.03	1.95387875158206e-09	"Mig"	"DHRS7"	"N"
"MYL12B"	1.01536581038674e-13	0.803661658820224	0.116	0.03	2.35036877788323e-09	"Mig"	"MYL12B"	"N"
"COTL1"	1.0575153084252e-13	0.576951814235123	0.171	0.064	2.44793643594265e-09	"Mig"	"COTL1"	"N"
"WTAP"	1.09987299903978e-13	-0.738939532732325	0.395	0.522	2.54598601817729e-09	"Mig"	"WTAP"	"N"
"PRRG3"	1.2873468304401e-13	-1.01066702762049	0.161	0.288	2.97995044310274e-09	"Mig"	"PRRG3"	"N"
"CYRIB"	1.34123112491779e-13	0.425516885824941	0.161	0.057	3.1046818079597e-09	"Mig"	"CYRIB"	"N"
"ATP5MC2"	1.40469758024903e-13	0.911552449119749	0.126	0.036	3.25159395876045e-09	"Mig"	"ATP5MC2"	"N"
