"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"HSPA1B"	1.46395519739262e-132	-1.6887631257084	0.638	0.942	3.38876349092445e-128	"Mig"	"HSPA1B"	"N"
"ITGAX"	1.16306839421498e-76	-1.60122115555294	0.507	0.811	2.69227071892884e-72	"Mig"	"ITGAX"	"N"
"FMNL3"	6.96484188125334e-74	-1.5169570415503	0.416	0.741	1.61222159867252e-69	"Mig"	"FMNL3"	"N"
"SRSF6"	2.99454340612254e-68	-1.28122040877783	0.587	0.833	6.93176907649247e-64	"Mig"	"SRSF6"	"N"
"HAMP"	6.09299973326009e-66	2.06971875663085	0.34	0.038	1.41040757825505e-61	"Mig"	"HAMP"	"N"
"CYBB"	8.16595710647177e-62	-0.731545421435992	0.811	0.969	1.89025575100609e-57	"Mig"	"CYBB"	"N"
"CD14"	8.29384388685829e-62	2.29801990215912	0.365	0.062	1.91985898292996e-57	"Mig"	"CD14"	"N"
"COL6A3"	5.32983305678358e-58	-1.1672326475961	0.642	0.86	1.23374975598426e-53	"Mig"	"COL6A3"	"N"
"FPR1"	8.43270671759345e-51	2.15288597080996	0.309	0.053	1.95200295098853e-46	"Mig"	"FPR1"	"N"
"APOC1"	8.10118004191371e-50	1.81710004341959	0.324	0.063	1.87526115610218e-45	"Mig"	"APOC1"	"N"
"SLC1A3"	2.06971165954349e-47	1.40598920227875	0.495	0.188	4.79096854951127e-43	"Mig"	"SLC1A3"	"N"
"CD163"	2.80851937529598e-45	2.3027519116985	0.209	0.01	6.50116064993514e-41	"Mig"	"CD163"	"N"
"FTH1P10"	7.75358706727655e-45	1.3540471628186	0.399	0.124	1.79480033433318e-40	"Mig"	"FTH1P10"	"N"
"SLC11A1"	2.65205817455504e-43	2.21699675973732	0.22	0.02	6.13898426246e-39	"Mig"	"SLC11A1"	"N"
"FTH1P2"	3.58228494788257e-43	1.04699574554014	0.344	0.091	8.29227319735856e-39	"Mig"	"FTH1P2"	"N"
"TMSB10"	7.41130781171092e-43	1.48830617275546	0.386	0.121	1.71556953225484e-38	"Mig"	"TMSB10"	"N"
"CYBA"	2.88251255952087e-41	1.33604121925113	0.389	0.129	6.67244007277892e-37	"Mig"	"CYBA"	"N"
"HNRNPH1"	3.01443760412258e-41	-0.747969290607181	0.937	0.968	6.97782016602295e-37	"Mig"	"HNRNPH1"	"N"
"C1QA"	1.77159788171841e-40	1.35813367029286	0.431	0.169	4.10089477660178e-36	"Mig"	"C1QA"	"N"
"SLC2A5"	1.10695714150304e-37	1.39950079206977	0.353	0.113	2.56238439115123e-33	"Mig"	"SLC2A5"	"N"
"RIN2"	3.061763249256e-37	-1.1157337523477	0.468	0.702	7.08736956937779e-33	"Mig"	"RIN2"	"N"
"FCER1G"	3.15090150856323e-37	1.27624659185097	0.411	0.155	7.29370681202216e-33	"Mig"	"FCER1G"	"N"
"HCLS1"	9.56904626618291e-37	1.62413788334013	0.274	0.062	2.21504282969602e-32	"Mig"	"HCLS1"	"N"
"MAF"	3.06168360096641e-36	-0.532586630560183	0.507	0.733	7.08718519951705e-32	"Mig"	"MAF"	"N"
"H2AC18"	5.74722297499129e-36	1.76359895312543	0.238	0.044	1.33036717425098e-31	"Mig"	"H2AC18"	"N"
"PFN1"	2.27554421431133e-35	0.962285905291311	0.334	0.102	5.26742974728787e-31	"Mig"	"PFN1"	"N"
"HLA-DRB5"	3.53022920483094e-35	0.657838349216651	0.326	0.102	8.17177456334267e-31	"Mig"	"HLA-DRB5"	"N"
"IFITM3"	5.59637885823142e-35	1.84559949603517	0.199	0.026	1.29544977810341e-30	"Mig"	"IFITM3"	"N"
"H2AC19"	8.9770911648106e-34	1.70428168185504	0.24	0.05	2.07801706283036e-29	"Mig"	"H2AC19"	"N"
"FCGR1A"	1.13964237664692e-33	1.30844347197496	0.364	0.131	2.63804417346229e-29	"Mig"	"FCGR1A"	"N"
"C1orf162"	1.37978868533496e-33	1.59381629523861	0.273	0.072	3.19393484881337e-29	"Mig"	"C1orf162"	"N"
"EIF5AP2"	8.71304457738448e-33	-0.567016137257716	0.058	0.227	2.01689555877296e-28	"Mig"	"EIF5AP2"	"N"
"FTL"	9.02092324559337e-33	1.18561413995524	0.748	0.601	2.08816331288995e-28	"Mig"	"FTL"	"N"
"LAIR1"	5.19296767041909e-32	1.3874226573583	0.255	0.063	1.20206815634861e-27	"Mig"	"LAIR1"	"N"
"SRGAP2B"	7.53877922455373e-32	-0.842726913643237	0.695	0.802	1.7450766148997e-27	"Mig"	"SRGAP2B"	"N"
"CDC42SE2"	2.71903614907798e-31	-1.4045490498258	0.12	0.324	6.29402487788571e-27	"Mig"	"CDC42SE2"	"N"
"HNRNPL"	2.91290282535794e-31	-0.74379775721195	0.564	0.726	6.74278746013856e-27	"Mig"	"HNRNPL"	"N"
"SRGAP2C"	4.36607798226085e-31	-0.809314960189973	0.677	0.817	1.01065973133374e-26	"Mig"	"SRGAP2C"	"N"
"FLCN"	5.66931469092979e-31	-1.31190231670915	0.227	0.45	1.31233296465643e-26	"Mig"	"FLCN"	"N"
"APOE"	6.38100999143e-31	1.43188584494266	0.364	0.147	1.47707619281622e-26	"Mig"	"APOE"	"N"
"B2M"	1.57407066625215e-30	0.966780156758206	0.716	0.476	3.64365877824047e-26	"Mig"	"B2M"	"N"
"FCGR3A"	1.70162668506631e-30	0.721163669099311	0.515	0.261	3.9389254505915e-26	"Mig"	"FCGR3A"	"N"
"FKBP5"	6.00332273736346e-30	1.48302904383225	0.25	0.066	1.38964914724489e-25	"Mig"	"FKBP5"	"N"
"AMFR"	1.76126657812286e-29	-1.28928772083801	0.237	0.451	4.0769798750388e-25	"Mig"	"AMFR"	"N"
"ATP5F1E"	2.68356852271084e-29	1.5298134521548	0.318	0.114	6.21192441637104e-25	"Mig"	"ATP5F1E"	"N"
"ACSL1"	3.70073992906486e-29	1.09165602461794	0.174	0.024	8.56647278779933e-25	"Mig"	"ACSL1"	"N"
"NRAS"	3.84922171645424e-29	2.09419797167158	0.131	0.004	8.91017842924827e-25	"Mig"	"NRAS"	"N"
"EGR1"	8.83836947235912e-29	-1.52076727261645	0.07	0.236	2.04590576546169e-24	"Mig"	"EGR1"	"N"
"OAZ1"	1.20933115597296e-28	1.24724039587199	0.316	0.116	2.79935975984621e-24	"Mig"	"OAZ1"	"N"
"RGS1"	2.14841224022221e-28	1.07312714918264	0.22	0.049	4.97314465366637e-24	"Mig"	"RGS1"	"N"
"IFITM2"	2.35150501971465e-28	1.11494844649855	0.202	0.041	5.44326381963547e-24	"Mig"	"IFITM2"	"N"
"FCGR1CP"	6.13040802523792e-28	1.21359545563491	0.314	0.115	1.41906684968207e-23	"Mig"	"FCGR1CP"	"N"
"DNMT3A"	8.21936834577809e-28	-1.02527102196367	0.703	0.846	1.90261938468071e-23	"Mig"	"DNMT3A"	"N"
"TSPO"	2.6075486668171e-27	1.19689169560446	0.165	0.023	6.03595365394823e-23	"Mig"	"TSPO"	"N"
"APOBEC3C"	3.29522408712882e-27	-1.28434142541829	0.161	0.357	7.62778471688579e-23	"Mig"	"APOBEC3C"	"N"
"CD63"	1.94793602604663e-26	1.48659325537961	0.255	0.08	4.50908231309273e-22	"Mig"	"CD63"	"N"
"BIN1"	3.30957569003036e-26	1.2883512619931	0.253	0.078	7.66100580728227e-22	"Mig"	"BIN1"	"N"
"CTSD"	3.60613615500762e-26	1.02550499628143	0.198	0.042	8.34748397161164e-22	"Mig"	"CTSD"	"N"
"LAP3"	5.4259071023119e-26	1.26537109662289	0.2	0.045	1.25598897604316e-21	"Mig"	"LAP3"	"N"
"SPP1"	5.67583920537825e-26	0.785550677765887	0.755	0.601	1.31384325926096e-21	"Mig"	"SPP1"	"N"
"FAU"	7.39109724920183e-26	1.15339448273624	0.203	0.046	1.71089119124524e-21	"Mig"	"FAU"	"N"
"MARCKS"	1.781077824864e-25	-0.588421610661024	0.657	0.797	4.12283894899518e-21	"Mig"	"MARCKS"	"N"
"FCGR1B"	2.97646954757179e-25	1.21262959095298	0.314	0.128	6.88993170871919e-21	"Mig"	"FCGR1B"	"N"
"VSIG4"	4.17561156903063e-25	0.933159295055112	0.296	0.108	9.66570565999211e-21	"Mig"	"VSIG4"	"N"
"SH3BGRL3"	5.02632013524544e-25	1.36489446827255	0.154	0.023	1.16349258490661e-20	"Mig"	"SH3BGRL3"	"N"
"SIGLEC14"	5.49890454724948e-25	-1.68156915262715	0.213	0.399	1.27288642459731e-20	"Mig"	"SIGLEC14"	"N"
"S100A8"	9.54106622932386e-25	1.09797119651043	0.107	0.002	2.20856601076389e-20	"Mig"	"S100A8"	"N"
"PTPRE"	1.1402769340423e-24	1.12560895047591	0.228	0.066	2.63951304692111e-20	"Mig"	"PTPRE"	"N"
"RAB12"	1.60354567143948e-24	-0.932057837910545	0.562	0.691	3.71188752024811e-20	"Mig"	"RAB12"	"N"
"FTH1"	3.71622098543243e-24	0.353013759526926	0.157	0.026	8.602308337079e-20	"Mig"	"FTH1"	"N"
"FGD2"	3.94400633708803e-24	-0.971374372318782	0.693	0.755	9.12958586909137e-20	"Mig"	"FGD2"	"N"
"FCGR3B"	6.98368673981788e-24	0.443703980243358	0.29	0.107	1.61658380653304e-19	"Mig"	"FCGR3B"	"N"
"PPP3CA"	8.4418890546465e-24	-1.22473256122206	0.318	0.513	1.95412847836957e-19	"Mig"	"PPP3CA"	"N"
"OLFML3"	1.96471474421752e-23	-1.0856159591845	0.214	0.395	4.54792168991471e-19	"Mig"	"OLFML3"	"N"
"SSR4"	2.80923197089538e-23	1.38261114561489	0.185	0.044	6.50281016622862e-19	"Mig"	"SSR4"	"N"
"CTSB"	3.60514673649813e-23	0.912636738932431	0.621	0.43	8.34519366564586e-19	"Mig"	"CTSB"	"N"
"HLA-DPA1"	4.92218343649844e-23	0.797156018466635	0.344	0.154	1.13938702188066e-18	"Mig"	"HLA-DPA1"	"N"
"LCP1"	6.52139950100259e-23	1.24038039892296	0.188	0.046	1.50957355649208e-18	"Mig"	"LCP1"	"N"
"TLR2"	1.51052273244291e-22	0.841889874816558	0.18	0.042	3.49655802105886e-18	"Mig"	"TLR2"	"N"
"HLA-DRB6"	1.80724018482674e-22	0.655152964176629	0.22	0.068	4.18339957983693e-18	"Mig"	"HLA-DRB6"	"N"
"TRA2A"	9.5568174229842e-22	-0.7967094369714	0.526	0.679	2.21221209707238e-17	"Mig"	"TRA2A"	"N"
"TPT1"	1.15367946412765e-21	0.990207615297467	0.549	0.343	2.67053722356268e-17	"Mig"	"TPT1"	"N"
"PTPN2"	1.21882709879927e-21	1.16859034629334	0.139	0.023	2.82134096830054e-17	"Mig"	"PTPN2"	"N"
"GOLGA4"	1.42551032490424e-21	1.43542728227827	0.227	0.075	3.29977130008834e-17	"Mig"	"GOLGA4"	"N"
"CALR"	2.16440296265747e-21	-0.830051801214017	0.508	0.603	5.01015997795952e-17	"Mig"	"CALR"	"N"
"CEBPD"	2.63975091493605e-21	1.18280869962551	0.209	0.063	6.11049541789398e-17	"Mig"	"CEBPD"	"N"
"RNF149"	5.07930725978123e-21	0.678303920502724	0.334	0.153	1.17575804449416e-16	"Mig"	"RNF149"	"N"
"CYTB"	7.54125050467969e-21	0.424911587917287	0.484	0.279	1.74564866682325e-16	"Mig"	"CYTB"	"N"
"MS4A6A"	7.74577115438699e-21	0.406674827868215	0.276	0.105	1.7929911068175e-16	"Mig"	"MS4A6A"	"N"
"C1QB"	8.07173290558192e-21	0.899969464734613	0.537	0.347	1.8684447329841e-16	"Mig"	"C1QB"	"N"
"ZNF302"	1.13315762257083e-20	-0.384544550256667	0.447	0.624	2.62303326472695e-16	"Mig"	"ZNF302"	"N"
"PAQR7"	1.26995245542011e-20	-1.14479310538445	0.145	0.309	2.93968594380647e-16	"Mig"	"PAQR7"	"N"
"RAC1"	1.91555512029744e-20	0.97843417933597	0.294	0.126	4.4341269924645e-16	"Mig"	"RAC1"	"N"
"GSTP1"	2.13766190230642e-20	1.50867428075056	0.127	0.019	4.94825977145891e-16	"Mig"	"GSTP1"	"N"
"GLDN"	2.40249091477826e-20	1.1752320808042	0.324	0.148	5.56128596952873e-16	"Mig"	"GLDN"	"N"
"S100A11"	2.5997258740483e-20	0.573639044381807	0.285	0.113	6.017845453247e-16	"Mig"	"S100A11"	"N"
"HLA-DRB1"	3.15368353267955e-20	0.93273573462931	0.44	0.259	7.30014664144662e-16	"Mig"	"HLA-DRB1"	"N"
