"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"RP11-484O2.1"	8.60094749398525e-23	-0.422643790684676	0.171	0.276	2.81577819058089e-18	"Mig"	"RP11-484O2.1"	"Temporal lobe"
"EGR3"	1.52669923631113e-22	0.697797611607015	0.32	0.214	4.99810795983536e-18	"Mig"	"EGR3"	"Temporal lobe"
"CCL3L3"	1.17741068893258e-21	0.636032296984522	0.308	0.202	3.85460711342749e-17	"Mig"	"CCL3L3"	"Temporal lobe"
"POU2F2"	1.39598323573519e-21	0.442212382178295	0.541	0.438	4.57016991714987e-17	"Mig"	"POU2F2"	"Temporal lobe"
"RGS16"	1.56893236134976e-21	0.744587182041983	0.163	0.082	5.13637076458685e-17	"Mig"	"RGS16"	"Temporal lobe"
"HELLPAR"	1.84263744079703e-21	-0.528738273660057	0.772	0.801	6.03242645368132e-17	"Mig"	"HELLPAR"	"Temporal lobe"
"RP11-256I9.2"	3.15051577676354e-21	-0.421889172236571	0.083	0.164	1.03141585499685e-16	"Mig"	"RP11-256I9.2"	"Temporal lobe"
"KIAA1328"	3.23709604272739e-21	-0.514976449144086	0.554	0.634	1.05976050246809e-16	"Mig"	"KIAA1328"	"Temporal lobe"
"PADI2"	4.76388558370298e-21	0.52061202387515	0.28	0.183	1.55960086239268e-16	"Mig"	"PADI2"	"Temporal lobe"
"BHLHE41"	5.75238817034228e-21	0.286462849221762	0.862	0.835	1.88321683920666e-16	"Mig"	"BHLHE41"	"Temporal lobe"
"CD83"	7.96538806249308e-21	0.651690142814755	0.296	0.196	2.60770874389898e-16	"Mig"	"CD83"	"Temporal lobe"
"RNVU1-19"	1.08553415561619e-20	0.389766982812453	0.149	0.073	3.55382171865627e-16	"Mig"	"RNVU1-19"	"Temporal lobe"
"EGR2"	2.57349264235692e-20	0.581268041059598	0.271	0.172	8.42510021254809e-16	"Mig"	"EGR2"	"Temporal lobe"
"NAP1L1"	5.24927421295064e-20	0.445431701689785	0.511	0.417	1.71850739183578e-15	"Mig"	"NAP1L1"	"Temporal lobe"
"CCDC92"	8.62844476324521e-20	-0.240726319931334	0.043	0.106	2.82478024659122e-15	"Mig"	"CCDC92"	"Temporal lobe"
"TMEM212"	8.66293686221356e-20	-0.389544946012866	0.374	0.477	2.83607226995148e-15	"Mig"	"TMEM212"	"Temporal lobe"
"FCGRT"	3.37883384754527e-19	-0.333119966469536	0.476	0.573	1.10616262500937e-14	"Mig"	"FCGRT"	"Temporal lobe"
"BCL6"	5.22649202592437e-19	0.389938073567144	0.143	0.072	1.71104895944712e-14	"Mig"	"BCL6"	"Temporal lobe"
"RP11-306O13.1"	7.39834401786291e-19	-0.43419290351498	0.22	0.317	2.42206986456796e-14	"Mig"	"RP11-306O13.1"	"Temporal lobe"
"LINC00996"	7.53357832295532e-19	-0.322326155286192	0.084	0.16	2.46634287136911e-14	"Mig"	"LINC00996"	"Temporal lobe"
"IER2"	1.80300702599856e-18	0.494321833493748	0.552	0.464	5.9026844017141e-14	"Mig"	"IER2"	"Temporal lobe"
"SLC1A3"	7.07495510692443e-18	0.319637330187638	0.63	0.545	2.31619880290492e-13	"Mig"	"SLC1A3"	"Temporal lobe"
"C4orf32"	1.00581173795831e-17	-0.548924047895106	0.43	0.514	3.29282646772792e-13	"Mig"	"C4orf32"	"Temporal lobe"
"FCGR1B"	1.16130667856034e-17	0.462072365651515	0.39	0.301	3.80188580427083e-13	"Mig"	"FCGR1B"	"Temporal lobe"
"MT-CO3"	2.23938559053758e-17	-0.193401815781812	0.981	0.987	7.33130054630192e-13	"Mig"	"MT-CO3"	"Temporal lobe"
"CCL4"	2.41669926175856e-17	0.765511414621456	0.458	0.361	7.91179004314518e-13	"Mig"	"CCL4"	"Temporal lobe"
"SELENBP1"	6.16660487083914e-17	-0.345219195625321	0.121	0.201	2.01882310261532e-12	"Mig"	"SELENBP1"	"Temporal lobe"
"ASTN2"	1.70628108075746e-16	-0.379562556470727	0.198	0.289	5.58602300218377e-12	"Mig"	"ASTN2"	"Temporal lobe"
"ROR1-AS1"	3.85578746839675e-16	-0.291862801850979	0.113	0.188	1.26230770140373e-11	"Mig"	"ROR1-AS1"	"Temporal lobe"
"CPVL"	4.0831401200611e-16	0.357613820559793	0.275	0.189	1.3367384125056e-11	"Mig"	"CPVL"	"Temporal lobe"
"IPCEF1"	5.57863491789643e-16	0.354567921311138	0.536	0.445	1.82633349942093e-11	"Mig"	"IPCEF1"	"Temporal lobe"
"SOCS6"	9.07408469563219e-16	0.39925916971201	0.642	0.578	2.97067384765607e-11	"Mig"	"SOCS6"	"Temporal lobe"
"AP000432.3"	1.20263003179348e-15	-0.207053591261863	0.054	0.112	3.93717019808551e-11	"Mig"	"AP000432.3"	"Temporal lobe"
"DBI"	1.2178759130172e-15	0.445300560547899	0.253	0.173	3.98708216403571e-11	"Mig"	"DBI"	"Temporal lobe"
"ITM2C"	1.29524430656106e-15	-0.315631370424301	0.343	0.442	4.24037081081961e-11	"Mig"	"ITM2C"	"Temporal lobe"
"PIM1"	1.3000043792651e-15	0.412520925504549	0.101	0.047	4.25595433683809e-11	"Mig"	"PIM1"	"Temporal lobe"
"HSPA1A"	1.37798917913972e-15	-0.0795927060684303	0.463	0.56	4.51126097466762e-11	"Mig"	"HSPA1A"	"Temporal lobe"
