"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"MAB21L3"	9.49193729148271e-126	-2.73776696063487	0.904	0.978	3.10747043048561e-121	"Mig"	"MAB21L3"	"12-20"
"RP11-382B18.1"	2.98673206136308e-122	-3.15779350722835	0.516	0.932	9.77796342249046e-118	"Mig"	"RP11-382B18.1"	"12-20"
"RP11-346D14.1"	6.88985522857593e-118	-2.94628538901403	0.705	0.95	2.25560080473119e-113	"Mig"	"RP11-346D14.1"	"12-20"
"AC092669.3"	4.13159736585725e-107	-2.89803058104754	0.633	0.93	1.35260234563435e-102	"Mig"	"AC092669.3"	"12-20"
"RP3-323A16.1"	1.96957002891209e-104	-2.51991756496662	0.829	0.958	6.44797836065239e-100	"Mig"	"RP3-323A16.1"	"12-20"
"BLOC1S6"	1.50498606983235e-102	-2.56649308953057	0.671	0.952	4.92702339541714e-98	"Mig"	"BLOC1S6"	"12-20"
"LINC00504"	7.25732593138093e-101	-2.58812761319834	0.732	0.934	2.37590336341549e-96	"Mig"	"LINC00504"	"12-20"
"RP11-624A21.1"	4.07294656289015e-100	-2.81183227213892	0.478	0.891	1.33340124575898e-95	"Mig"	"RP11-624A21.1"	"12-20"
"KCNQ1OT1"	2.59303471474414e-97	-2.34873694272016	0.854	0.956	8.48907704912935e-93	"Mig"	"KCNQ1OT1"	"12-20"
"RP11-609N14.4"	6.80020176490892e-94	-2.40292973270331	0.323	0.836	2.22625005379588e-89	"Mig"	"RP11-609N14.4"	"12-20"
"RP11-703G6.1"	8.49186298062786e-87	-2.31924191561686	0.562	0.899	2.78006610259795e-82	"Mig"	"RP11-703G6.1"	"12-20"
"RPAP2"	3.55979871059957e-84	-2.18883763859552	0.5	0.873	1.16540690187609e-79	"Mig"	"RPAP2"	"12-20"
"AC006548.28"	1.01070571332887e-82	-2.17718773804446	0.677	0.917	3.30884836429607e-78	"Mig"	"AC006548.28"	"12-20"
"LINC00506"	6.89853057703384e-81	-2.16143242292816	0.236	0.751	2.25844094030934e-76	"Mig"	"LINC00506"	"12-20"
"RP11-17A4.2"	1.00084152124561e-80	-2.34771245220073	0.149	0.663	3.27655497225387e-76	"Mig"	"RP11-17A4.2"	"12-20"
"RP11-259O2.3"	6.69915013416643e-80	-2.22462185399912	0.448	0.851	2.19316777092341e-75	"Mig"	"RP11-259O2.3"	"12-20"
"RP11-142G1.3"	2.26527601448653e-79	-2.28919526666274	0.279	0.759	7.416060616226e-75	"Mig"	"RP11-142G1.3"	"12-20"
"XIST"	4.74959640696106e-79	2.28489896824564	0.553	0.002	1.55492287171091e-74	"Mig"	"XIST"	"12-20"
"SPP1"	1.01048908659361e-77	2.10421853892979	0.835	0.346	3.30813917169015e-73	"Mig"	"SPP1"	"12-20"
"UGDH-AS1"	2.54801574957085e-77	-2.20687380317929	0.683	0.899	8.34169396094506e-73	"Mig"	"UGDH-AS1"	"12-20"
"KIAA1328"	1.16851025805832e-76	-2.04944804980668	0.503	0.869	3.82546888283134e-72	"Mig"	"KIAA1328"	"12-20"
"HELLPAR"	3.37312050956894e-76	-2.02897933051907	0.77	0.943	1.10429219242268e-71	"Mig"	"HELLPAR"	"12-20"
"XXbac-BPG154L12.4"	2.73310954203609e-75	-2.24857870907496	0.351	0.788	8.94765401871776e-71	"Mig"	"XXbac-BPG154L12.4"	"12-20"
"RASEF"	4.40777425609958e-75	-2.31400675216804	0.217	0.711	1.44301713596188e-70	"Mig"	"RASEF"	"12-20"
"ESRG"	6.370326463011e-75	-2.09673588523447	0.069	0.547	2.08551747746054e-70	"Mig"	"ESRG"	"12-20"
"RP11-54H7.4"	2.03943843176793e-74	-2.32885539072263	0.145	0.646	6.67671353792185e-70	"Mig"	"RP11-54H7.4"	"12-20"
"RP4-598P13.1"	6.27416831096062e-73	-2.21327124542311	0.429	0.821	2.05403722164229e-68	"Mig"	"RP4-598P13.1"	"12-20"
"TBC1D8B"	7.93381727598108e-73	-2.08318495407211	0.515	0.867	2.59737309981068e-68	"Mig"	"TBC1D8B"	"12-20"
"MT-RNR2"	3.36721095230027e-70	0.851847365219617	1	1	1.10235752156406e-65	"Mig"	"MT-RNR2"	"12-20"
"C4orf32"	3.59066227571646e-61	-1.98281418569664	0.397	0.775	1.17551101582405e-56	"Mig"	"C4orf32"	"12-20"
"RP3-467D16.3"	5.23236577871315e-61	-1.83331046171924	0.112	0.547	1.71297190863511e-56	"Mig"	"RP3-467D16.3"	"12-20"
"ATP9B"	2.71197852927135e-60	-1.90083018870031	0.33	0.724	8.87847530912855e-56	"Mig"	"ATP9B"	"12-20"
"WDPCP"	8.6636500643751e-60	-1.91152015762436	0.305	0.718	2.83630575807512e-55	"Mig"	"WDPCP"	"12-20"
