"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"
"XIST"	0	1.9033898887488	0.418	0.01	0	"Mig"	"XIST"
"HLA-DRB5"	2.69282553750608e-107	-1.44471089460871	0.146	0.373	8.81577224468739e-103	"Mig"	"HLA-DRB5"
"MAB21L3"	4.23771198420931e-88	-0.845232870677685	0.912	0.95	1.38734214939045e-83	"Mig"	"MAB21L3"
"RP11-346D14.1"	4.7501868347938e-77	-0.769041638838869	0.746	0.85	1.55511616597479e-72	"Mig"	"RP11-346D14.1"
"MALAT1"	4.8961337303337e-76	0.387025177735127	0.985	0.981	1.60289626063665e-71	"Mig"	"MALAT1"
"SPP1"	1.06269410099356e-66	0.903571155282048	0.813	0.7	3.47904794783273e-62	"Mig"	"SPP1"
"LINC00504"	4.63831950044071e-66	-0.691056920852958	0.771	0.861	1.51849303805428e-61	"Mig"	"LINC00504"
"AC092669.3"	7.51158248716345e-63	-0.869896252044466	0.681	0.8	2.45914187464757e-58	"Mig"	"AC092669.3"
"RP3-323A16.1"	2.92174730769194e-61	-0.78182275474408	0.832	0.881	9.56521633592189e-57	"Mig"	"RP3-323A16.1"
"KCNQ1OT1"	6.51125382988508e-55	-0.651939668109514	0.848	0.89	2.13165427882778e-50	"Mig"	"KCNQ1OT1"
"RP11-624A21.1"	2.72340123564285e-54	-0.859943953876238	0.521	0.671	8.91587096524757e-50	"Mig"	"RP11-624A21.1"
"RP11-382B18.1"	8.05563628046256e-50	-0.799159706501782	0.573	0.7	2.63725420549783e-45	"Mig"	"RP11-382B18.1"
"DDX3Y"	1.04604479164175e-47	-0.528294391066677	0.04	0.15	3.42454143887676e-43	"Mig"	"DDX3Y"
"RASEF"	1.31697112813081e-47	-0.724394791986708	0.29	0.457	4.31150007927465e-43	"Mig"	"RASEF"
"RP11-609N14.4"	7.98058561655496e-47	-0.654815656014275	0.394	0.548	2.61268411914776e-42	"Mig"	"RP11-609N14.4"
