"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"
"FAM66D"	5.55563061400433e-16	-0.585328641224704	0.072	0.228	1.63013313476115e-11	"Ast"	"FAM66D"
"ATP5D"	6.33342990781275e-16	0.616145202688299	0.149	0.06	1.85835500355042e-11	"Ast"	"ATP5D"
"HYDIN"	1.13173960742818e-15	-0.513101511210861	0.162	0.356	3.32075035611576e-11	"Ast"	"HYDIN"
"VEGFA"	1.80001809521197e-15	0.912549799908479	0.266	0.154	5.28161309497096e-11	"Ast"	"VEGFA"
"MT-CYB"	2.00675017191086e-15	-0.653010765534513	0.183	0.378	5.88820635442085e-11	"Ast"	"MT-CYB"
"NDRG2"	9.22951024198084e-15	0.461878356354299	0.802	0.787	2.70812289520202e-10	"Ast"	"NDRG2"
"ARL17B"	1.7758712877984e-14	-0.488198715190016	0.243	0.448	5.21076153265806e-10	"Ast"	"ARL17B"
"NEBL"	2.57584715295939e-14	-0.378637938333986	0.644	0.832	7.55805071621344e-10	"Ast"	"NEBL"
"ATP2B2"	3.14948298187146e-14	-0.555948459333961	0.245	0.443	9.24121296540724e-10	"Ast"	"ATP2B2"
"ACADVL"	5.07572199749524e-14	0.560496704575553	0.59	0.531	1.48931834850505e-09	"Ast"	"ACADVL"
"FAM182B"	5.44365468281152e-14	-0.487113448006455	0.255	0.462	1.59727715703056e-09	"Ast"	"FAM182B"
"LINC01094"	6.70171718370611e-14	-0.52960881985965	0.198	0.385	1.96641785604305e-09	"Ast"	"LINC01094"
"PDZD2"	1.11444131687714e-13	-0.429313470821827	0.408	0.627	3.26999371198091e-09	"Ast"	"PDZD2"
"FAM19A5"	1.55527643764934e-13	-0.463274626875295	0.205	0.398	4.56349212335069e-09	"Ast"	"FAM19A5"
"WWOX"	1.76688648420307e-13	-0.344243477845254	0.804	0.911	5.18439832194865e-09	"Ast"	"WWOX"
"DGKI"	2.04113851282723e-13	-0.545937851009126	0.192	0.373	5.98910862433765e-09	"Ast"	"DGKI"
"ACOT11"	2.22083063774275e-13	-0.468605601094684	0.417	0.623	6.51636125726479e-09	"Ast"	"ACOT11"
"CD82"	2.61889270212616e-13	-0.528364971672945	0.034	0.15	7.68435496657857e-09	"Ast"	"CD82"
"AQP4-AS1"	2.99974982629439e-13	-0.460342420592065	0.291	0.495	8.80186594031299e-09	"Ast"	"AQP4-AS1"
"KANTR"	3.68538609347444e-13	-0.462391376656473	0.104	0.258	1.08136598754727e-08	"Ast"	"KANTR"
"CLEC16A"	3.74181070475184e-13	-0.433316273315535	0.318	0.538	1.09792209698829e-08	"Ast"	"CLEC16A"
"SORBS1"	4.03707718969531e-13	-0.340067820726922	0.727	0.872	1.1845591890004e-08	"Ast"	"SORBS1"
"RP11-26J3.1"	4.38422773741291e-13	-0.552331628725537	0.086	0.227	1.2864201027117e-08	"Ast"	"RP11-26J3.1"
"HEPN1"	4.63810714175765e-13	0.592624484653646	0.487	0.404	1.36091339753453e-08	"Ast"	"HEPN1"
"SERPINI2"	5.56650279102569e-13	-0.489823079056086	0.191	0.371	1.63332324894276e-08	"Ast"	"SERPINI2"
"JUN"	7.84785586543186e-13	0.734185094576806	0.412	0.31	2.30271786803502e-08	"Ast"	"JUN"
"NME3"	8.08753865969751e-13	0.664235165152754	0.243	0.142	2.37304559352844e-08	"Ast"	"NME3"
"DNAH7"	8.36167869137686e-13	-0.470226895083532	0.205	0.389	2.4534837616238e-08	"Ast"	"DNAH7"
"HIVEP3"	1.17847049675735e-12	-0.506408019945989	0.171	0.341	3.45786813158541e-08	"Ast"	"HIVEP3"
"GRM5"	1.24133926018259e-12	-0.484134759629916	0.146	0.311	3.64233765722776e-08	"Ast"	"GRM5"
"HDAC10"	1.39315539868349e-12	0.513218721878615	0.101	0.037	4.08779657081711e-08	"Ast"	"HDAC10"
"PRKCA"	1.45906096048313e-12	-0.320266505724515	0.622	0.81	4.28117667024961e-08	"Ast"	"PRKCA"
"TTTY10"	1.86978745125822e-12	-0.482798860158368	0.009	0.1	5.48633033948188e-08	"Ast"	"TTTY10"
"VWA3A"	2.1546382520424e-12	-0.53174453555217	0.04	0.152	6.3221395591428e-08	"Ast"	"VWA3A"
"TMEM108"	2.3199515335942e-12	-0.484452371126287	0.205	0.385	6.80720178987209e-08	"Ast"	"TMEM108"
"FKBP5"	2.40746473727789e-12	-0.432071208679248	0.212	0.401	7.06398303212079e-08	"Ast"	"FKBP5"
"ARNT2"	2.49642555569423e-12	-0.476921663969844	0.304	0.502	7.32501186551801e-08	"Ast"	"ARNT2"
"MIR219A2"	4.92618113705268e-12	0.577376156591756	0.167	0.082	1.445440069234e-07	"Ast"	"MIR219A2"
"GABPB1-AS1"	5.27687545353897e-12	-0.424358617318051	0.147	0.312	1.54834079557741e-07	"Ast"	"GABPB1-AS1"
"CCDC148"	5.28345322337811e-12	-0.483312537715644	0.036	0.144	1.55027084480361e-07	"Ast"	"CCDC148"
"ARMC3"	5.33593747521075e-12	-0.519941221265593	0.018	0.113	1.56567077397634e-07	"Ast"	"ARMC3"
"FRMPD2"	5.92260551175702e-12	-0.414554551926429	0.183	0.36	1.73781090925975e-07	"Ast"	"FRMPD2"
"LGR6"	7.52349767078513e-12	-0.515153682915818	0.135	0.284	2.20754468656177e-07	"Ast"	"LGR6"
"MT-CO1"	8.95804451329226e-12	-0.524147237662052	0.18	0.348	2.62846942109022e-07	"Ast"	"MT-CO1"
"COL27A1"	9.3480679068841e-12	-0.436840109350531	0.191	0.364	2.74291008523793e-07	"Ast"	"COL27A1"
"GFAP"	1.2189428193528e-11	-0.256154601910914	0.621	0.795	3.57662202054498e-07	"Ast"	"GFAP"
"ACSBG1"	1.22864705547805e-11	-0.431013909944702	0.527	0.714	3.60509619018368e-07	"Ast"	"ACSBG1"
"SNRNP70"	1.27473473638972e-11	0.531977582785021	0.527	0.462	3.74032666351473e-07	"Ast"	"SNRNP70"
"C1orf56"	1.6085897467262e-11	0.571411127190545	0.151	0.073	4.71992403484401e-07	"Ast"	"C1orf56"
"CKB"	1.7566665124219e-11	0.546969635764402	0.665	0.653	5.15441088074835e-07	"Ast"	"CKB"
"SLC20A2"	1.90067685541649e-11	-0.401480087658281	0.284	0.48	5.57696602916308e-07	"Ast"	"SLC20A2"
"HNRNPA2B1"	1.90109681535515e-11	0.530101118422892	0.511	0.451	5.57819827561507e-07	"Ast"	"HNRNPA2B1"
"DST"	2.0150095430879e-11	-0.266546965049582	0.919	0.969	5.91244100132851e-07	"Ast"	"DST"
"GMDS-AS1"	2.19173748126463e-11	-0.381995379788502	0.23	0.418	6.43099611752669e-07	"Ast"	"GMDS-AS1"
"TRPM3"	4.3604706322679e-11	-0.198274701769494	0.987	0.994	1.27944929292005e-06	"Ast"	"TRPM3"
"LMCD1-AS1"	5.04177199879897e-11	-0.408256107940916	0.396	0.592	1.47935673988759e-06	"Ast"	"LMCD1-AS1"
"SLC14A1"	5.11659183523249e-11	-0.340604474583864	0.694	0.823	1.50131037629392e-06	"Ast"	"SLC14A1"
"DANT2"	6.37844875328308e-11	-0.331581212769592	0.252	0.441	1.87156443318832e-06	"Ast"	"DANT2"
"RP11-156K13.1"	7.17652689872924e-11	-0.394470914465733	0.338	0.529	2.10573652262514e-06	"Ast"	"RP11-156K13.1"
"CNTNAP3B"	7.92405766184212e-11	-0.410864270856482	0.124	0.264	2.32507699913771e-06	"Ast"	"CNTNAP3B"
"SLC24A4"	8.07466867594501e-11	-0.407471978272468	0.263	0.444	2.36926928289579e-06	"Ast"	"SLC24A4"
"C5orf17"	9.01620731007702e-11	-0.545992335999113	0.041	0.141	2.6455355489228e-06	"Ast"	"C5orf17"
"CACNA2D3"	9.27340828292404e-11	-0.418200506199265	0.441	0.623	2.72100345837557e-06	"Ast"	"CACNA2D3"
"FOS"	9.28289361891436e-11	0.955101635902319	0.371	0.287	2.72378664566185e-06	"Ast"	"FOS"
"SLC1A4"	1.08679421777119e-10	-0.432646915724494	0.153	0.306	3.18887159378423e-06	"Ast"	"SLC1A4"
"AGBL4"	1.09968851970985e-10	-0.442536765907133	0.263	0.439	3.22670605453264e-06	"Ast"	"AGBL4"
"INO80D"	1.11542394295288e-10	0.328246407396908	0.897	0.923	3.27287693341234e-06	"Ast"	"INO80D"
"UBA6-AS1"	1.27935655816982e-10	-0.336617769124479	0.171	0.33	3.75388801298189e-06	"Ast"	"UBA6-AS1"
"RP11-317N12.1"	1.35110979014333e-10	-0.477676072951581	0.067	0.179	3.96442634623856e-06	"Ast"	"RP11-317N12.1"
"ATP2B4"	1.40620903241605e-10	-0.387260080162204	0.36	0.561	4.12609854291518e-06	"Ast"	"ATP2B4"
"PPFIA2"	1.58109700246625e-10	-0.455449737112925	0.131	0.269	4.63925482463646e-06	"Ast"	"PPFIA2"
"SNED1"	1.98483892841957e-10	-0.484226389840901	0.101	0.225	5.82391438376869e-06	"Ast"	"SNED1"
"ADAMTS9-AS2"	1.99908393367322e-10	-0.45428454571073	0.117	0.251	5.86571207818396e-06	"Ast"	"ADAMTS9-AS2"
"AC159540.1"	2.22961690577072e-10	-0.439734575337209	0.027	0.117	6.54214192491244e-06	"Ast"	"AC159540.1"
"PTCHD1-AS"	2.28079780097986e-10	-0.38863769547652	0.568	0.733	6.6923169076351e-06	"Ast"	"PTCHD1-AS"
"C10orf11"	2.36730029045157e-10	-0.333337274256782	0.448	0.652	6.946132512243e-06	"Ast"	"C10orf11"
"KCNMA1"	2.92192179934471e-10	-0.387813092690133	0.381	0.575	8.57350294363725e-06	"Ast"	"KCNMA1"
"ADCY2"	3.01486301543285e-10	-0.280176630083434	0.732	0.859	8.84621105988307e-06	"Ast"	"ADCY2"
"TRDN"	3.10776449546849e-10	-0.523649211004629	0.083	0.197	9.11880258260365e-06	"Ast"	"TRDN"
"ANKS1B"	3.46750549713184e-10	-0.337186545582254	0.241	0.416	1.01743546296843e-05	"Ast"	"ANKS1B"
"RP11-319G6.1"	3.49853595532689e-10	-0.369967514935857	0.158	0.31	1.02654042001202e-05	"Ast"	"RP11-319G6.1"
"FAM118A"	3.8664580489223e-10	0.521571545465702	0.117	0.053	1.13449612071478e-05	"Ast"	"FAM118A"
"ARMC2"	4.62106602170965e-10	-0.399985585418432	0.095	0.219	1.35591319209005e-05	"Ast"	"ARMC2"
"KCNN3"	4.88305095513327e-10	-0.325804433168956	0.478	0.676	1.4327848112552e-05	"Ast"	"KCNN3"
"LINC00685"	5.45086382421885e-10	-0.357427352430945	0.101	0.226	1.5993924633023e-05	"Ast"	"LINC00685"
"MRVI1"	6.01518858767695e-10	-0.381903325667144	0.131	0.268	1.76497663539617e-05	"Ast"	"MRVI1"
"CFAP54"	6.43589599345605e-10	-0.420293389898016	0.097	0.22	1.88842060239987e-05	"Ast"	"CFAP54"
"ARID1A"	6.74111604600324e-10	-0.364840512118062	0.18	0.339	1.97797827021827e-05	"Ast"	"ARID1A"
"SPDYE2"	7.18171072922863e-10	0.642305636875617	0.261	0.178	2.10725756217027e-05	"Ast"	"SPDYE2"
"NTM"	7.19810173143818e-10	-0.196515901928898	0.962	0.981	2.11206701003859e-05	"Ast"	"NTM"
"COL19A1"	7.44834005751582e-10	-0.366689321545318	0.104	0.231	2.18549193967629e-05	"Ast"	"COL19A1"
"CTSH"	7.70130440616819e-10	-0.491897921625886	0.076	0.185	2.25971673885787e-05	"Ast"	"CTSH"
"MT-ND5"	7.94245444098239e-10	-0.422835416929402	0.068	0.177	2.33047498207305e-05	"Ast"	"MT-ND5"
"C2orf72"	8.19356381019773e-10	0.572997008040015	0.478	0.413	2.40415549318822e-05	"Ast"	"C2orf72"
"HES5"	8.8115044270281e-10	0.799263940935534	0.203	0.119	2.58547162897858e-05	"Ast"	"HES5"
"ZMYND8"	9.04302409642788e-10	-0.35312867439628	0.198	0.358	2.65340413037387e-05	"Ast"	"ZMYND8"
"FAP"	9.56926528516976e-10	-0.353106018040047	0.112	0.239	2.80781381997451e-05	"Ast"	"FAP"
"BCAR3"	1.01521693904212e-09	-0.363018892654667	0.236	0.41	2.9788495425374e-05	"Ast"	"BCAR3"
"LNX2"	1.08935350170741e-09	0.615857529291972	0.246	0.155	3.19638104470988e-05	"Ast"	"LNX2"
"ITM2B"	1.15693076025107e-09	0.621122754900649	0.34	0.259	3.3946662367287e-05	"Ast"	"ITM2B"
"GPR37L1"	1.22832429563399e-09	-0.404643459163867	0.281	0.455	3.60414914824926e-05	"Ast"	"GPR37L1"
"WDR11-AS1"	1.25300796005952e-09	-0.4006570710217	0.128	0.259	3.67657595640665e-05	"Ast"	"WDR11-AS1"
"DLC1"	1.27026657879304e-09	0.578315152667079	0.556	0.508	3.72721619549455e-05	"Ast"	"DLC1"
"RFX2"	1.29890296254145e-09	-0.332195003028525	0.216	0.385	3.81124107268912e-05	"Ast"	"RFX2"
"ZFAND5"	1.48150985371006e-09	0.688383392798801	0.27	0.191	4.34704621275606e-05	"Ast"	"ZFAND5"
"MAPK10"	1.87729116684557e-09	-0.267941287550497	0.761	0.889	5.50834774175829e-05	"Ast"	"MAPK10"
"SLC39A11"	1.90126080430955e-09	-0.360494609052051	0.554	0.711	5.57867945200509e-05	"Ast"	"SLC39A11"
"HSPA5"	1.97120315652036e-09	-0.374555121590758	0.094	0.211	5.78390430186204e-05	"Ast"	"HSPA5"
"ARHGEF4"	2.06953962752177e-09	-0.265222485059252	0.437	0.642	6.07244317507439e-05	"Ast"	"ARHGEF4"
"CEBPD"	2.14571386690977e-09	0.723749087662253	0.137	0.07	6.29595362828664e-05	"Ast"	"CEBPD"
"MSI2"	2.41571218594391e-09	-0.291809707648984	0.73	0.855	7.08818269599661e-05	"Ast"	"MSI2"
