"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"
"XIST"	1.34319889428148e-77	3.85518597854064	0.65	0.008	4.51193940578092e-73	"Ast"	"XIST"
"MALAT1"	1.08418876164737e-50	-0.991242910491374	0.998	0.997	3.64189846924967e-46	"Ast"	"MALAT1"
"C10orf10"	2.83018628868896e-26	-1.88378626061455	0.053	0.328	9.5068787623351e-22	"Ast"	"C10orf10"
"COL5A3"	1.94334844787979e-21	2.09129738777107	0.508	0.255	6.527901771273e-17	"Ast"	"COL5A3"
"MT-ND2"	7.4892099378857e-19	1.09122898859021	0.828	0.713	2.51570051023519e-14	"Ast"	"MT-ND2"
"GLUL"	1.08959602204823e-17	1.36895150678728	0.765	0.656	3.66006199766221e-13	"Ast"	"GLUL"
"RP11-347P5.1"	3.9211712745148e-15	-1.38938953764613	0.022	0.173	1.31716064282227e-10	"Ast"	"RP11-347P5.1"
"DST"	4.11796725599801e-15	-0.641149103873226	0.496	0.805	1.38326638096229e-10	"Ast"	"DST"
"NUPR1"	5.26661999204379e-15	-1.11048881176771	0.089	0.298	1.76911032152743e-10	"Ast"	"NUPR1"
"CNTNAP3B"	1.40291308816219e-14	-1.10561233973161	0.069	0.26	4.71252535444563e-10	"Ast"	"CNTNAP3B"
"MT1G"	1.37445232245152e-13	-0.90558207423645	0.164	0.396	4.6169227963469e-09	"Ast"	"MT1G"
"MT-CO1"	1.68878522950182e-13	0.890380580457582	0.822	0.756	5.67279846441956e-09	"Ast"	"MT-CO1"
"MT-CO3"	1.01323059675058e-12	0.731608559055777	0.885	0.856	3.40354289754487e-08	"Ast"	"MT-CO3"
"MT-CO2"	1.05470911439221e-12	0.82049211761179	0.877	0.827	3.54287338615487e-08	"Ast"	"MT-CO2"
"SLC14A1"	4.06537493754846e-12	-0.795232977341485	0.188	0.42	1.3656000952719e-07	"Ast"	"SLC14A1"
"CRYAB"	2.96332692009488e-11	-0.902664035919063	0.217	0.434	9.95411145729073e-07	"Ast"	"CRYAB"
"CP"	3.1180873652038e-11	-1.01892772895531	0.022	0.141	1.04739672684561e-06	"Ast"	"CP"
"MT-ATP6"	3.18632133347906e-11	0.835835216386347	0.787	0.751	1.07031719912895e-06	"Ast"	"MT-ATP6"
"SON"	3.55236059457327e-11	-0.599245861472085	0.346	0.604	1.19327344732311e-06	"Ast"	"SON"
"MT-ND1"	1.06851381409509e-10	0.813642528880731	0.739	0.664	3.5892447529268e-06	"Ast"	"MT-ND1"
"MT2A"	3.01120695509787e-10	-0.325499527869812	0.623	0.84	1.01149452828693e-05	"Ast"	"MT2A"
"SDC4"	5.8454321380478e-10	1.42480536041458	0.403	0.244	1.96353910949164e-05	"Ast"	"SDC4"
"PPM1K"	6.60315490196516e-10	-0.680884695014224	0.148	0.331	2.21806576311912e-05	"Ast"	"PPM1K"
"MT-ND3"	7.5082316249699e-10	0.971436943735883	0.785	0.78	2.52209008514364e-05	"Ast"	"MT-ND3"
"COL21A1"	7.80580062679830e-10	-1.03415521834308	0.018	0.119	2.62204648854782e-05	"Ast"	"COL21A1"
"MT1F"	2.03694437370013e-09	-0.79756491872772	0.138	0.314	6.8422998456961e-05	"Ast"	"MT1F"
"CKB"	2.20405700732637e-09	0.716719627817084	0.706	0.626	7.40364789331001e-05	"Ast"	"CKB"
"MT1E"	2.78759109271058e-09	-0.464404024173414	0.31	0.547	9.36379723952411e-05	"Ast"	"MT1E"
"AKAP9"	3.78186522685397e-09	-0.620642555374685	0.186	0.371	0.000127036634835252	"Ast"	"AKAP9"
"MT-ND4"	4.61133600574007e-09	0.648435988969182	0.907	0.873	0.000154899387768815	"Ast"	"MT-ND4"
"LINC00685"	6.19600726895373e-09	-0.631861270227417	0.061	0.192	0.000208130080171425	"Ast"	"LINC00685"
"SLC1A3"	8.86611754323584e-09	0.844905684771462	0.771	0.762	0.000297821754394835	"Ast"	"SLC1A3"
"EWSR1"	9.72330174312248e-09	-0.600786774574497	0.095	0.244	0.000326615428853227	"Ast"	"EWSR1"
"SLC1A2"	1.327799399256e-08	0.855037539957509	0.711	0.672	0.000446021096204083	"Ast"	"SLC1A2"
"IQCA1"	1.37489109188957e-08	-0.804466502737195	0.136	0.293	0.000461839666676626	"Ast"	"IQCA1"
"SLC5A3"	1.58208079432086e-08	-0.46637227058294	0.176	0.363	0.000531436759620321	"Ast"	"SLC5A3"
"ADCY2"	1.70007919333197e-08	-0.584070215804474	0.194	0.382	0.000571073601832142	"Ast"	"ADCY2"
"SLC16A9"	2.26608701547293e-08	-0.776533344472909	0.049	0.165	0.000761201289367514	"Ast"	"SLC16A9"
"RSF1"	4.30460650661284e-08	-0.606170259763113	0.093	0.23	0.00144596037163632	"Ast"	"RSF1"
"ID3"	4.7187549743815e-08	-0.616631298127068	0.061	0.184	0.00158507698344449	"Ast"	"ID3"
"SQSTM1"	5.57522111332551e-08	-0.571080845776989	0.148	0.312	0.00187277252417717	"Ast"	"SQSTM1"
"LINC01094"	7.35562854802364e-08	-0.966457278184712	0.028	0.122	0.00247082918556662	"Ast"	"LINC01094"
"ANGPTL4"	9.75741691667232e-08	1.33798634743353	0.249	0.117	0.0032776139164794	"Ast"	"ANGPTL4"
"NQO1"	1.0372631287988e-07	-0.723432091806061	0.03	0.125	0.00348427057594804	"Ast"	"NQO1"
"CAPS"	1.1681302531693e-07	-0.550443433931625	0.034	0.133	0.00392386633342099	"Ast"	"CAPS"
"BAZ2B"	1.60014812560607e-07	-0.400881544461903	0.211	0.39	0.00537505756872335	"Ast"	"BAZ2B"
"UPF2"	1.94264882070082e-07	-0.630507737324662	0.109	0.247	0.00652555165361612	"Ast"	"UPF2"
"COL16A1"	2.04117529886525e-07	1.42338230413756	0.235	0.111	0.00685651194641825	"Ast"	"COL16A1"
"MGST1"	2.40348067402468e-07	-0.526051096761285	0.194	0.366	0.0080735319321163	"Ast"	"MGST1"
"FTL"	2.48777316243939e-07	0.478343490264683	0.65	0.829	0.00835667882995017	"Ast"	"FTL"
"PNPLA2"	5.74787429639701e-07	-0.507175658009868	0.028	0.114	0.0193076845490272	"Ast"	"PNPLA2"
"PLEKHA5"	8.32815696727784e-07	-0.536153424790882	0.059	0.163	0.027975112068783	"Ast"	"PLEKHA5"
"REV3L"	9.36318917162263e-07	-0.454757092726122	0.132	0.271	0.0314518887463976	"Ast"	"REV3L"
"ITGB4"	1.14626410258579e-06	-0.529924865210703	0.209	0.374	0.0385041574699594	"Ast"	"ITGB4"
"RFX4"	1.24808382339957e-06	-0.674265389015159	0.144	0.282	0.041924383711815	"Ast"	"RFX4"
"MT-CYB"	1.34280915543567e-06	0.521341512809997	0.814	0.797	0.0451063023402396	"Ast"	"MT-CYB"
"EEF1A1"	1.6649720340072e-06	1.45625708575589	0.377	0.266	0.0559280755943357	"Ast"	"EEF1A1"
"AC004951.6"	1.94425037414112e-06	-0.500713125564965	0.051	0.146	0.0653093143177743	"Ast"	"AC004951.6"
"NCOA1"	2.17466773542491e-06	-0.513384769878367	0.123	0.252	0.073049263900658	"Ast"	"NCOA1"
"NOVA1"	2.32483550260081e-06	-0.426576926515289	0.229	0.393	0.0780935493678639	"Ast"	"NOVA1"
"RAPGEF3"	2.34717059572786e-06	1.29237587777639	0.318	0.206	0.0788438074810946	"Ast"	"RAPGEF3"
"FYN"	2.3711818522937e-06	-0.512947958176828	0.211	0.366	0.0796503696003977	"Ast"	"FYN"
"SLC25A18"	2.7597705314904e-06	1.13545106395269	0.322	0.206	0.092703451923294	"Ast"	"SLC25A18"
"SYNE1"	2.80849524891428e-06	-0.538403584410535	0.296	0.458	0.0943401639062797	"Ast"	"SYNE1"
"SEMA3B"	3.01890324994548e-06	-0.600465517180859	0.089	0.203	0.101407979068919	"Ast"	"SEMA3B"
"ABLIM1"	3.09100515559497e-06	-0.588983393340978	0.142	0.274	0.103829954181591	"Ast"	"ABLIM1"
"LGI4"	4.09155391884757e-06	-0.38538330279833	0.273	0.455	0.137439387688009	"Ast"	"LGI4"
"ANKRD11"	4.81266300961567e-06	-0.476057164945151	0.109	0.228	0.161662163156	"Ast"	"ANKRD11"
"CANX"	4.90886084330805e-06	-0.418803223457169	0.14	0.268	0.164893544587561	"Ast"	"CANX"
"NFE2L1"	4.92861247222469e-06	-0.327302776954779	0.126	0.255	0.1655570215545	"Ast"	"NFE2L1"
"SCARA3"	5.26872625166175e-06	-0.492537056169453	0.087	0.198	0.17698178351957	"Ast"	"SCARA3"
"CCL2"	5.7115671734012e-06	-0.780478512084307	0.028	0.103	0.19185725292172	"Ast"	"CCL2"
"HLA-C"	5.89011868618088e-06	0.808154842209098	0.103	0.024	0.197854976787502	"Ast"	"HLA-C"
"RP11-161M6.2"	6.09071793406091e-06	1.14248643694961	0.267	0.16	0.20459330612304	"Ast"	"RP11-161M6.2"
"ATP1B2"	6.44635798626462e-06	0.876926630389037	0.545	0.491	0.216539611116615	"Ast"	"ATP1B2"
"DAAM1"	6.61397486424141e-06	-0.421014787750533	0.225	0.379	0.222170029664733	"Ast"	"DAAM1"
"OTUD7B"	6.62210093731651e-06	-0.548981364660636	0.057	0.149	0.222442992585399	"Ast"	"OTUD7B"
"FBXO2"	7.94657633124041e-06	-0.356959804562916	0.16	0.301	0.266933445542697	"Ast"	"FBXO2"
"SCARB2"	8.77252579086766e-06	-0.413549685512189	0.067	0.165	0.294677913841035	"Ast"	"SCARB2"
"NSUN6"	1.00057191994147e-05	-0.462602643947967	0.061	0.154	0.336102113627539	"Ast"	"NSUN6"
"SYTL4"	1.01690179427402e-05	-0.638438308275689	0.028	0.1	0.341587481714586	"Ast"	"SYTL4"
"KIAA1109"	1.05200801480185e-05	-0.608228016258513	0.119	0.233	0.353380012252091	"Ast"	"KIAA1109"
"RBFOX2"	1.16160787489331e-05	-0.518769848660662	0.095	0.201	0.39019570125541	"Ast"	"RBFOX2"
"MRVI1"	1.4314670191854e-05	0.973996591748765	0.211	0.106	0.480844086414568	"Ast"	"MRVI1"
"ZMYND8"	1.48083272188896e-05	-0.373751069812965	0.107	0.222	0.497426519609719	"Ast"	"ZMYND8"
"RHOB"	1.4839951264414e-05	-0.261511083074031	0.215	0.371	0.498488802922931	"Ast"	"RHOB"
"PPP2R1B"	1.54478032863313e-05	-0.599426526513398	0.051	0.136	0.518907160191154	"Ast"	"PPP2R1B"
"ITSN1"	1.623644951633e-05	-0.363363399985325	0.105	0.217	0.545398575703041	"Ast"	"ITSN1"
"SOX9"	1.82009329846136e-05	-0.357422320233286	0.3	0.474	0.611387539886156	"Ast"	"SOX9"
"MYCBP2"	2.09615918433026e-05	-0.420934633793927	0.164	0.293	0.704120831608377	"Ast"	"MYCBP2"
"CHD2"	2.16461060293853e-05	-0.508764378078791	0.095	0.198	0.727114347633082	"Ast"	"CHD2"
"CX3CL1"	2.17840952375171e-05	-0.695835105695188	0.085	0.182	0.731749543123438	"Ast"	"CX3CL1"
"BSG"	2.31886727726558e-05	0.840447178106889	0.494	0.428	0.77893070710628	"Ast"	"BSG"
"SAT2"	2.34860582542245e-05	-0.5495209726937	0.113	0.22	0.788920182817656	"Ast"	"SAT2"
"HAP1"	2.62516391458763e-05	-0.536878718115629	0.04	0.117	0.881818810549132	"Ast"	"HAP1"
"CCND3"	2.63496990723791e-05	-0.489915682507684	0.051	0.133	0.885112741540286	"Ast"	"CCND3"
"MT1M"	2.81083285910969e-05	-0.389784798264668	0.15	0.276	0.944186865703536	"Ast"	"MT1M"
