"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"XIST"	2.35253558277725e-38	3.65479520983828	0.597	0.004	7.90240227610706e-34	"Ast"	"XIST"	"80-90"
"MYL9"	1.15599012520025e-11	4.70282603352044	0.224	0.012	3.88308642956017e-07	"Ast"	"MYL9"	"80-90"
"CTSD"	1.89003242179147e-10	-1.78333951072944	0.179	0.643	6.34880790803973e-06	"Ast"	"CTSD"	"80-90"
"MYH11"	7.568343519771e-10	3.40734422574924	0.179	0.008	2.54228227172628e-05	"Ast"	"MYH11"	"80-90"
"COX6B1"	2.4117555132967e-09	1.74323541368255	0.418	0.122	8.10132794471493e-05	"Ast"	"COX6B1"	"80-90"
"CNN1"	3.14920867469412e-09	2.22324363523788	0.134	0	0.00010578506859165	"Ast"	"CNN1"	"80-90"
"ACTA2"	3.7603608374133e-09	3.73245893917885	0.194	0.016	0.00012631428088955	"Ast"	"ACTA2"	"80-90"
"C10orf10"	5.01350102114717e-09	-2.06653428948899	0.06	0.467	0.000168408512801355	"Ast"	"C10orf10"	"80-90"
"RGS5"	5.9144425774462e-09	2.41182879761829	0.179	0.012	0.000198672040618995	"Ast"	"RGS5"	"80-90"
"DTNA"	1.25738306751175e-08	-1.60349761370668	0.328	0.702	0.000422367546207872	"Ast"	"DTNA"	"80-90"
"TMSB4X"	5.42816197087289e-08	1.93519313218818	0.672	0.427	0.00182337388763591	"Ast"	"TMSB4X"	"80-90"
"MT1G"	9.468709094823e-08	-1.93790415815595	0.149	0.506	0.00318063407204199	"Ast"	"MT1G"	"80-90"
"EPAS1"	1.78087821111178e-07	1.70934492323451	0.179	0.02	0.00598214799894557	"Ast"	"EPAS1"	"80-90"
"TMSB10"	2.28660011385887e-07	1.78916884640141	0.582	0.294	0.00768091844246333	"Ast"	"TMSB10"	"80-90"
"COX7C"	2.69903583853939e-07	1.71382043320511	0.463	0.196	0.00906633128523767	"Ast"	"COX7C"	"80-90"
"LGI4"	4.09290266427119e-07	-1.44467436701859	0.164	0.522	0.0137484693395534	"Ast"	"LGI4"	"80-90"
"TAGLN"	6.87071218033999e-07	5.10653085728665	0.194	0.031	0.02307940928498	"Ast"	"TAGLN"	"80-90"
"B2M"	7.82902715962293e-07	2.27984929802359	0.358	0.125	0.0262984851318894	"Ast"	"B2M"	"80-90"
