"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"XIST"	3.24490566571739e-07	3.90436246083485	1	0	0.0108490176027595	"Ast"	"XIST"	"N"
"CCL2"	6.30746127632211e-05	3.80045864248616	0.667	0	1	"Ast"	"CCL2"	"N"
"SLC17A9"	0.00068608278187514	1.17163435702507	0.667	0.045	1	"Ast"	"SLC17A9"	"N"
"C2orf69"	0.0007038707722159	1.52279806487569	0.5	0	1	"Ast"	"C2orf69"	"N"
"ZNF621"	0.0007038707722159	1.03882674702106	0.5	0	1	"Ast"	"ZNF621"	"N"
"TPD52"	0.0007038707722159	1.21760378004146	0.5	0	1	"Ast"	"TPD52"	"N"
"ZNF532"	0.0007038707722159	1.10960354627748	0.5	0	1	"Ast"	"ZNF532"	"N"
"CACNA1A"	0.0007038707722159	1.10573523745333	0.5	0	1	"Ast"	"CACNA1A"	"N"
"ZNF493"	0.000928795519172399	1.41001986903988	0.667	0.045	1	"Ast"	"ZNF493"	"N"
"SLC11A1"	0.00197302008751894	-1.89566388587799	0.167	0.955	1	"Ast"	"SLC11A1"	"N"
"OGFR"	0.00206458251467986	1.21998967313572	0.667	0.091	1	"Ast"	"OGFR"	"N"
"PLXNB2"	0.00217353023678546	1.23735127940204	1	0.545	1	"Ast"	"PLXNB2"	"N"
"CDKN1A"	0.00262853791501179	0.975286657508271	1	0.545	1	"Ast"	"CDKN1A"	"N"
"SGPP1"	0.00267519762885269	1.44888254256747	0.667	0.091	1	"Ast"	"SGPP1"	"N"
"DERL2"	0.00267519762885269	1.15582572198477	0.667	0.091	1	"Ast"	"DERL2"	"N"
"ERP29"	0.00336794650574865	-1.61036357515049	0.167	0.818	1	"Ast"	"ERP29"	"N"
"CYFIP1"	0.00353844194106542	-1.93587633385306	0	0.773	1	"Ast"	"CYFIP1"	"N"
"SKP1"	0.00422936231310857	1.4321218541146	1	0.636	1	"Ast"	"SKP1"	"N"
"GBP1"	0.00435423265971454	2.11119063130991	0.5	0.045	1	"Ast"	"GBP1"	"N"
"AC091271.1"	0.00435423265971454	1.85869256016249	0.5	0.045	1	"Ast"	"AC091271.1"	"N"
"ZNF397"	0.00441613907170267	1.2488111080934	0.667	0.091	1	"Ast"	"ZNF397"	"N"
"CTSS"	0.00505824186098809	-1.63436643945841	0.5	0.955	1	"Ast"	"CTSS"	"N"
"ANXA2"	0.00560379313353955	-1.70773304909552	0	0.727	1	"Ast"	"ANXA2"	"N"
"GBP4"	0.00579231560911943	1.50916808977873	0.5	0.045	1	"Ast"	"GBP4"	"N"
"DESI2"	0.00579231560911943	0.680566670826237	0.5	0.045	1	"Ast"	"DESI2"	"N"
"GGCX"	0.00579231560911943	1.11677226408901	0.5	0.045	1	"Ast"	"GGCX"	"N"
"MAGEF1"	0.00579231560911943	0.683562596720942	0.5	0.045	1	"Ast"	"MAGEF1"	"N"
"HIBADH"	0.00579231560911943	0.984392926014077	0.5	0.045	1	"Ast"	"HIBADH"	"N"
"PRPF39"	0.00579231560911943	1.15162784586928	0.5	0.045	1	"Ast"	"PRPF39"	"N"
"GRN"	0.00647036417191692	-1.53477937767868	0.5	0.909	1	"Ast"	"GRN"	"N"
"AZIN2"	0.0070382265273267	0.941782556026351	0.333	0	1	"Ast"	"AZIN2"	"N"
"PIK3R3"	0.0070382265273267	0.667274025791337	0.333	0	1	"Ast"	"PIK3R3"	"N"
"NIT1"	0.0070382265273267	0.42109284233273	0.333	0	1	"Ast"	"NIT1"	"N"
"ARV1"	0.0070382265273267	0.528319958934934	0.333	0	1	"Ast"	"ARV1"	"N"
"MTA3"	0.0070382265273267	0.528319958934934	0.333	0	1	"Ast"	"MTA3"	"N"
"C2orf49"	0.0070382265273267	0.888064372795039	0.333	0	1	"Ast"	"C2orf49"	"N"
"RABL2A"	0.0070382265273267	0.679480892155653	0.333	0	1	"Ast"	"RABL2A"	"N"
"POLR2H"	0.0070382265273267	0.746641980920755	0.333	0	1	"Ast"	"POLR2H"	"N"
"PAQR3"	0.0070382265273267	0.679480892155653	0.333	0	1	"Ast"	"PAQR3"	"N"
"ERAP1"	0.0070382265273267	1.01735716084045	0.333	0	1	"Ast"	"ERAP1"	"N"
"YTHDC2"	0.0070382265273267	0.938437202403642	0.333	0	1	"Ast"	"YTHDC2"	"N"
"PDE6A"	0.0070382265273267	1.14915851167602	0.333	0	1	"Ast"	"PDE6A"	"N"
"HIST1H2BG"	0.0070382265273267	1.06096431074627	0.333	0	1	"Ast"	"HIST1H2BG"	"N"
"TNFRSF21"	0.0070382265273267	0.922381655587068	0.333	0	1	"Ast"	"TNFRSF21"	"N"
"RNGTT"	0.0070382265273267	0.938437202403642	0.333	0	1	"Ast"	"RNGTT"	"N"
"HBS1L"	0.0070382265273267	0.888064372795039	0.333	0	1	"Ast"	"HBS1L"	"N"
"FBXO30"	0.0070382265273267	0.42109284233273	0.333	0	1	"Ast"	"FBXO30"	"N"
"AC072061.1"	0.0070382265273267	0.528319958934934	0.333	0	1	"Ast"	"AC072061.1"	"N"
"ZNF92"	0.0070382265273267	0.42109284233273	0.333	0	1	"Ast"	"ZNF92"	"N"
"LSMEM1"	0.0070382265273267	0.802104297098789	0.333	0	1	"Ast"	"LSMEM1"	"N"
