"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"AC072061.1"	1.31124860808684e-08	-0.528319958934934	0	0.333	0.000438402859627754	"Ast"	"AC072061.1"	"40-60"	"female"
"AC020765.2"	1.31124860808684e-08	-0.42109284233273	0	0.333	0.000438402859627754	"Ast"	"AC020765.2"	"40-60"	"female"
"MROH1"	1.2012825265798e-07	-1.31964799835351	0.021	0.5	0.00401636799936691	"Ast"	"MROH1"	"40-60"	"female"
"NBEA"	3.08225286190579e-06	-0.902774517719585	0.031	0.5	0.103052042184958	"Ast"	"NBEA"	"40-60"	"female"
"AC097534.2"	4.9345185131202e-06	-1.02870484927411	0.01	0.333	0.164980691967661	"Ast"	"AC097534.2"	"40-60"	"female"
"PAXIP1-AS1"	4.9345185131202e-06	-0.837322915020618	0.01	0.333	0.164980691967661	"Ast"	"PAXIP1-AS1"	"40-60"	"female"
"AL391069.2"	6.20682486886127e-06	-0.410151462055076	0.01	0.333	0.207518982665508	"Ast"	"AL391069.2"	"40-60"	"female"
"RABL2A"	6.20682486886127e-06	-0.655543699094071	0.01	0.333	0.207518982665508	"Ast"	"RABL2A"	"40-60"	"female"
"PDE6A"	6.20682486886127e-06	-1.12522131861444	0.01	0.333	0.207518982665508	"Ast"	"PDE6A"	"40-60"	"female"
"ARMCX4"	6.20682486886127e-06	-0.900121180302951	0.01	0.333	0.207518982665508	"Ast"	"ARMCX4"	"40-60"	"female"
"SLC25A25-AS1"	6.20682486886127e-06	-0.837301556759637	0.01	0.333	0.207518982665508	"Ast"	"SLC25A25-AS1"	"40-60"	"female"
"AC124319.2"	6.20682486886127e-06	-0.836637822628853	0.01	0.333	0.207518982665508	"Ast"	"AC124319.2"	"40-60"	"female"
"ZNF397"	3.16930382602629e-05	-1.58483728875418	0.093	0.667	1	"Ast"	"ZNF397"	"40-60"	"female"
"SLC17A9"	3.16930382602629e-05	-1.07621049806076	0.093	0.667	1	"Ast"	"SLC17A9"	"40-60"	"female"
"CDKN1A"	3.23743979490414e-05	-1.35057124881989	0.278	1	1	"Ast"	"CDKN1A"	"40-60"	"female"
"MED11"	5.62803883424707e-05	-1.04343857600806	0.113	0.667	1	"Ast"	"MED11"	"40-60"	"female"
"ZNF493"	6.16736405995304e-05	-1.43943788882146	0.103	0.667	1	"Ast"	"ZNF493"	"40-60"	"female"
"C1QTNF12"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"C1QTNF12"	"40-60"	"female"
"CAMTA1-DT"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"CAMTA1-DT"	"40-60"	"female"
"CAMK2N1"	6.91103306385566e-05	-1.26887828037673	0	0.167	1	"Ast"	"CAMK2N1"	"40-60"	"female"
"LINC01635"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"LINC01635"	"40-60"	"female"
"SLC30A2"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"SLC30A2"	"40-60"	"female"
"TMEM200B"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"TMEM200B"	"40-60"	"female"
