"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"MATN1-AS1"	6.91103306385566e-05	-0.583284251211386	0	0.167	1	"Ast"	"MATN1-AS1"	"40-60"	"female"
"AC104506.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC104506.1"	"40-60"	"female"
"SRGAP2-AS1"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"SRGAP2-AS1"	"40-60"	"female"
"LINC01731"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"LINC01731"	"40-60"	"female"
"HIST2H4B"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"HIST2H4B"	"40-60"	"female"
"RPTN"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"RPTN"	"40-60"	"female"
"NOS1AP"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"NOS1AP"	"40-60"	"female"
"AL021068.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AL021068.1"	"40-60"	"female"
"PDC"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"PDC"	"40-60"	"female"
"AL356512.1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"AL356512.1"	"40-60"	"female"
"TDRD15"	6.91103306385566e-05	-0.344192325294519	0	0.167	1	"Ast"	"TDRD15"	"40-60"	"female"
"TOGARAM2"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"TOGARAM2"	"40-60"	"female"
"AC016907.2"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"AC016907.2"	"40-60"	"female"
"CYP1B1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"CYP1B1"	"40-60"	"female"
"ST3GAL5-AS1"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"ST3GAL5-AS1"	"40-60"	"female"
"TBC1D8-AS1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"TBC1D8-AS1"	"40-60"	"female"
"GULP1"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"GULP1"	"40-60"	"female"
"CTLA4"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"CTLA4"	"40-60"	"female"
"PID1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"PID1"	"40-60"	"female"
"HTR2B"	6.91103306385566e-05	-0.44281451252201	0	0.167	1	"Ast"	"HTR2B"	"40-60"	"female"
"NPPC"	6.91103306385566e-05	-0.53512414163479	0	0.167	1	"Ast"	"NPPC"	"40-60"	"female"
"SAG"	6.91103306385566e-05	-1.42870380015352	0	0.167	1	"Ast"	"SAG"	"40-60"	"female"
"XYLB"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"XYLB"	"40-60"	"female"
"AC104184.1"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"AC104184.1"	"40-60"	"female"
"ZNF502"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"ZNF502"	"40-60"	"female"
"GNAT1"	6.91103306385566e-05	-1.42870380015352	0	0.167	1	"Ast"	"GNAT1"	"40-60"	"female"
"AC096887.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC096887.1"	"40-60"	"female"
"FAM107A"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"FAM107A"	"40-60"	"female"
"LINC00877"	6.91103306385566e-05	-0.781155680046484	0	0.167	1	"Ast"	"LINC00877"	"40-60"	"female"
"AC074044.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC074044.1"	"40-60"	"female"
"ZBTB20-AS2"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"ZBTB20-AS2"	"40-60"	"female"
"RAB43"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"RAB43"	"40-60"	"female"
"TF"	6.91103306385566e-05	-1.08951956391142	0	0.167	1	"Ast"	"TF"	"40-60"	"female"
"CHST2"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"CHST2"	"40-60"	"female"
"AC117395.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC117395.1"	"40-60"	"female"
"AC069224.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC069224.1"	"40-60"	"female"
"ZDHHC19"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"ZDHHC19"	"40-60"	"female"
"SLC51A"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"SLC51A"	"40-60"	"female"
"AC019077.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC019077.1"	"40-60"	"female"
"ELOVL6"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"ELOVL6"	"40-60"	"female"
"SLC9A3"	6.91103306385566e-05	-0.238330425836252	0	0.167	1	"Ast"	"SLC9A3"	"40-60"	"female"
"AC122710.3"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC122710.3"	"40-60"	"female"
"LINC02104"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"LINC02104"	"40-60"	"female"
"AC025171.3"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"AC025171.3"	"40-60"	"female"
"HCN1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"HCN1"	"40-60"	"female"
"SERF1B"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"SERF1B"	"40-60"	"female"
"SERF1A"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"SERF1A"	"40-60"	"female"
"LVRN"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"LVRN"	"40-60"	"female"
"MIR3142HG"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"MIR3142HG"	"40-60"	"female"
"AL138885.3"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"AL138885.3"	"40-60"	"female"
"CARMIL1"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"CARMIL1"	"40-60"	"female"
"HIST1H1A"	6.91103306385566e-05	-0.741378219270241	0	0.167	1	"Ast"	"HIST1H1A"	"40-60"	"female"
"HIST1H2BD"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"HIST1H2BD"	"40-60"	"female"
"HIST1H2AE"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"HIST1H2AE"	"40-60"	"female"
"HIST1H2BN"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"HIST1H2BN"	"40-60"	"female"
"LINC00243"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"LINC00243"	"40-60"	"female"
"LY6G5B"	6.91103306385566e-05	-0.741378219270241	0	0.167	1	"Ast"	"LY6G5B"	"40-60"	"female"
"FANCE"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"FANCE"	"40-60"	"female"
"ADGRF5"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"ADGRF5"	"40-60"	"female"
"ELOVL4"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"ELOVL4"	"40-60"	"female"
"AL078590.2"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AL078590.2"	"40-60"	"female"
"AC005550.2"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"AC005550.2"	"40-60"	"female"
"AC004130.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC004130.1"	"40-60"	"female"
"EPDR1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"EPDR1"	"40-60"	"female"
"C7orf25"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"C7orf25"	"40-60"	"female"
"GNGT1"	6.91103306385566e-05	-1.08951956391142	0	0.167	1	"Ast"	"GNGT1"	"40-60"	"female"
"MUC12"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"MUC12"	"40-60"	"female"
"AC005046.1"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"AC005046.1"	"40-60"	"female"
"ZNF783"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"ZNF783"	"40-60"	"female"
"KRBA1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"KRBA1"	"40-60"	"female"
"AC073111.5"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"AC073111.5"	"40-60"	"female"
"LINC00996"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"LINC00996"	"40-60"	"female"
"XRCC2"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"XRCC2"	"40-60"	"female"
"ASMTL-AS1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"ASMTL-AS1"	"40-60"	"female"
"AC107419.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC107419.1"	"40-60"	"female"
"AF196972.1"	6.91103306385566e-05	-0.583284251211386	0	0.167	1	"Ast"	"AF196972.1"	"40-60"	"female"
"NLGN3"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"NLGN3"	"40-60"	"female"
"MTCP1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"MTCP1"	"40-60"	"female"
"ARHGEF10"	6.91103306385566e-05	-0.741378219270241	0	0.167	1	"Ast"	"ARHGEF10"	"40-60"	"female"
"AC107959.1"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"AC107959.1"	"40-60"	"female"
"LETM2"	6.91103306385566e-05	-0.53512414163479	0	0.167	1	"Ast"	"LETM2"	"40-60"	"female"
"AC083973.1"	6.91103306385566e-05	-0.805196813890195	0	0.167	1	"Ast"	"AC083973.1"	"40-60"	"female"
"MIR124-2HG"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"MIR124-2HG"	"40-60"	"female"
"AC022893.1"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"AC022893.1"	"40-60"	"female"
"ZHX1-C8orf76"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"ZHX1-C8orf76"	"40-60"	"female"
"AC083843.2"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC083843.2"	"40-60"	"female"
"LRRC24"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"LRRC24"	"40-60"	"female"
"KCNV2"	6.91103306385566e-05	-1.08951956391142	0	0.167	1	"Ast"	"KCNV2"	"40-60"	"female"
"AL391834.2"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AL391834.2"	"40-60"	"female"
"MLLT3"	6.91103306385566e-05	-1.28168604155496	0	0.167	1	"Ast"	"MLLT3"	"40-60"	"female"
"AL590399.1"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"AL590399.1"	"40-60"	"female"
"AL583839.1"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"AL583839.1"	"40-60"	"female"
"TRIM32"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"TRIM32"	"40-60"	"female"
"TRAF1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"TRAF1"	"40-60"	"female"
"AL590708.1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"AL590708.1"	"40-60"	"female"
"GFI1B"	6.91103306385566e-05	-0.741378219270241	0	0.167	1	"Ast"	"GFI1B"	"40-60"	"female"
"SLC2A6"	6.91103306385566e-05	-0.583284251211386	0	0.167	1	"Ast"	"SLC2A6"	"40-60"	"female"
"KRTAP5-AS1"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"KRTAP5-AS1"	"40-60"	"female"
"TUB"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"TUB"	"40-60"	"female"
"TMEM9B-AS1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"TMEM9B-AS1"	"40-60"	"female"
"SBF2-AS1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"SBF2-AS1"	"40-60"	"female"
"KCNC1"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"KCNC1"	"40-60"	"female"
"AC131571.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC131571.1"	"40-60"	"female"
"CHST1"	6.91103306385566e-05	-0.583284251211386	0	0.167	1	"Ast"	"CHST1"	"40-60"	"female"
"BSCL2"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"BSCL2"	"40-60"	"female"
"AP001160.1"	6.91103306385566e-05	-0.583284251211386	0	0.167	1	"Ast"	"AP001160.1"	"40-60"	"female"
"BATF2"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"BATF2"	"40-60"	"female"
"AP000769.3"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"AP000769.3"	"40-60"	"female"
"AQP11"	6.91103306385566e-05	-0.741378219270241	0	0.167	1	"Ast"	"AQP11"	"40-60"	"female"
"AP001528.1"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"AP001528.1"	"40-60"	"female"
"C11orf65"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"C11orf65"	"40-60"	"female"
"AP000866.1"	6.91103306385566e-05	-0.741378219270241	0	0.167	1	"Ast"	"AP000866.1"	"40-60"	"female"
"AL512598.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AL512598.1"	"40-60"	"female"
"BAMBI"	6.91103306385566e-05	-0.344192325294519	0	0.167	1	"Ast"	"BAMBI"	"40-60"	"female"
"SFTPD"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"SFTPD"	"40-60"	"female"
"AL162274.1"	6.91103306385566e-05	-0.238330425836252	0	0.167	1	"Ast"	"AL162274.1"	"40-60"	"female"
"AC024940.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC024940.1"	"40-60"	"female"
"AC135279.3"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC135279.3"	"40-60"	"female"
"CSRP2"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"CSRP2"	"40-60"	"female"
"AC127070.1"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"AC127070.1"	"40-60"	"female"
"DCLK1"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"DCLK1"	"40-60"	"female"
"AL135744.1"	6.91103306385566e-05	-0.238330425836252	0	0.167	1	"Ast"	"AL135744.1"	"40-60"	"female"
"ZFHX2"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"ZFHX2"	"40-60"	"female"
"SLC25A21-AS1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"SLC25A21-AS1"	"40-60"	"female"
"RDH12"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"RDH12"	"40-60"	"female"
"ESRRB"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"ESRRB"	"40-60"	"female"
"AC007262.2"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"AC007262.2"	"40-60"	"female"
"FBLN5"	6.91103306385566e-05	-0.238330425836252	0	0.167	1	"Ast"	"FBLN5"	"40-60"	"female"
"HHIPL1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"HHIPL1"	"40-60"	"female"
"LINC02323"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"LINC02323"	"40-60"	"female"
"CKMT1B"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"CKMT1B"	"40-60"	"female"
"HOMER2"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"HOMER2"	"40-60"	"female"
"HAPLN3"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"HAPLN3"	"40-60"	"female"
"AC092117.1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"AC092117.1"	"40-60"	"female"
"ADCY9"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"ADCY9"	"40-60"	"female"
"SEPT12"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"SEPT12"	"40-60"	"female"
"AC145285.6"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC145285.6"	"40-60"	"female"
"STX1B"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"STX1B"	"40-60"	"female"
"ITFG1-AS1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"ITFG1-AS1"	"40-60"	"female"
"HSF4"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"HSF4"	"40-60"	"female"
"DPH1"	6.91103306385566e-05	-0.238330425836252	0	0.167	1	"Ast"	"DPH1"	"40-60"	"female"
"OR3A2"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"OR3A2"	"40-60"	"female"
"AIPL1"	6.91103306385566e-05	-1.08951956391142	0	0.167	1	"Ast"	"AIPL1"	"40-60"	"female"
"KCNAB3"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"KCNAB3"	"40-60"	"female"
"RCVRN"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"RCVRN"	"40-60"	"female"
"AC005863.1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"AC005863.1"	"40-60"	"female"
"AC002553.2"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"AC002553.2"	"40-60"	"female"
"CENPV"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"CENPV"	"40-60"	"female"
"TRIM16L"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"TRIM16L"	"40-60"	"female"
"AC005899.5"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"AC005899.5"	"40-60"	"female"
"TMEM98"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"TMEM98"	"40-60"	"female"
"RARA-AS1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"RARA-AS1"	"40-60"	"female"
"SP2-AS1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"SP2-AS1"	"40-60"	"female"
"MYCBPAP"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"MYCBPAP"	"40-60"	"female"
"AC007114.1"	6.91103306385566e-05	-0.344192325294519	0	0.167	1	"Ast"	"AC007114.1"	"40-60"	"female"
"SLC16A5"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"SLC16A5"	"40-60"	"female"
"PDE6G"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"PDE6G"	"40-60"	"female"
"RAC3"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"RAC3"	"40-60"	"female"
"AP005671.1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"AP005671.1"	"40-60"	"female"
"LINC00907"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"LINC00907"	"40-60"	"female"
"HMSD"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"HMSD"	"40-60"	"female"
"AC009802.1"	6.91103306385566e-05	-0.435559607704419	0	0.167	1	"Ast"	"AC009802.1"	"40-60"	"female"
"AC015819.2"	6.91103306385566e-05	-0.741378219270241	0	0.167	1	"Ast"	"AC015819.2"	"40-60"	"female"
"ZNF133"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"ZNF133"	"40-60"	"female"
"AL035252.3"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AL035252.3"	"40-60"	"female"
"COX4I2"	6.91103306385566e-05	-0.778725593630209	0	0.167	1	"Ast"	"COX4I2"	"40-60"	"female"
"ASIP"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"ASIP"	"40-60"	"female"
"TP53TG5"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"TP53TG5"	"40-60"	"female"
"TSHZ2"	6.91103306385566e-05	-1.28168604155496	0	0.167	1	"Ast"	"TSHZ2"	"40-60"	"female"
"LINC01441"	6.91103306385566e-05	-0.741378219270241	0	0.167	1	"Ast"	"LINC01441"	"40-60"	"female"
"STX16-NPEPL1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"STX16-NPEPL1"	"40-60"	"female"
"AL121832.2"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"AL121832.2"	"40-60"	"female"
"FGF22"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"FGF22"	"40-60"	"female"
"ICAM5"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"ICAM5"	"40-60"	"female"
"RTBDN"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"RTBDN"	"40-60"	"female"
"AC010618.3"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AC010618.3"	"40-60"	"female"
"ZNF93"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"ZNF93"	"40-60"	"female"
"TTYH1"	6.91103306385566e-05	-0.64525508014079	0	0.167	1	"Ast"	"TTYH1"	"40-60"	"female"
"ZNF671"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"ZNF671"	"40-60"	"female"
"ZNF417"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"ZNF417"	"40-60"	"female"
"ZNF329"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"ZNF329"	"40-60"	"female"
"TMEM191C"	6.91103306385566e-05	-0.741378219270241	0	0.167	1	"Ast"	"TMEM191C"	"40-60"	"female"
"RTL6"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"RTL6"	"40-60"	"female"
"BACH1-IT2"	6.91103306385566e-05	-0.320921379471322	0	0.167	1	"Ast"	"BACH1-IT2"	"40-60"	"female"
"AF064858.1"	6.91103306385566e-05	-0.124081092459217	0	0.167	1	"Ast"	"AF064858.1"	"40-60"	"female"
"PLXNB2"	7.42262646316221e-05	-1.38138895600516	0.299	1	1	"Ast"	"PLXNB2"	"40-60"	"female"
"ZNF66"	9.98501898724149e-05	-1.21162658276743	0.021	0.333	1	"Ast"	"ZNF66"	"40-60"	"female"
"C11orf49"	0.000118653665549756	-0.903813273348799	0.021	0.333	1	"Ast"	"C11orf49"	"40-60"	"female"
"SYVN1"	0.000118653665549756	-0.906726769980987	0.021	0.333	1	"Ast"	"SYVN1"	"40-60"	"female"
"FBXL19-AS1"	0.000118653665549756	-0.930927041224266	0.021	0.333	1	"Ast"	"FBXL19-AS1"	"40-60"	"female"
"AC003102.1"	0.000118653665549756	-0.8926938164081	0.021	0.333	1	"Ast"	"AC003102.1"	"40-60"	"female"
"NRROS"	0.000140761214084737	-0.66934646913142	0.021	0.333	1	"Ast"	"NRROS"	"40-60"	"female"
"C15orf41"	0.000140761214084737	-0.820102376175081	0.021	0.333	1	"Ast"	"C15orf41"	"40-60"	"female"
"DECR2"	0.000140761214084737	-0.814265058367892	0.021	0.333	1	"Ast"	"DECR2"	"40-60"	"female"
"KIAA0319L"	0.000166015518607407	-0.922478786146453	0.062	0.5	1	"Ast"	"KIAA0319L"	"40-60"	"female"
"GPR162"	0.00016670747067734	-0.455670327329817	0.021	0.333	1	"Ast"	"GPR162"	"40-60"	"female"
"LINS1"	0.00016670747067734	-0.379415314544344	0.021	0.333	1	"Ast"	"LINS1"	"40-60"	"female"
"ZNF738"	0.00016670747067734	-0.474655629322954	0.021	0.333	1	"Ast"	"ZNF738"	"40-60"	"female"
"TPD52"	0.000186188116955814	-1.07349023755017	0.062	0.5	1	"Ast"	"TPD52"	"40-60"	"female"
"OCRL"	0.000197105154770003	-0.331639464828527	0.021	0.333	1	"Ast"	"OCRL"	"40-60"	"female"
"PRPF39"	0.000208648327331786	-1.05242397334625	0.062	0.5	1	"Ast"	"PRPF39"	"40-60"	"female"
