"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"SEMA4A"	0.000461551743411906	-0.240260166969111	0.021	0.208	1	"Ast"	"SEMA4A"	"40-60"
"AL359921.2"	0.000466851278170995	-0.74005713576288	0	0.125	1	"Ast"	"AL359921.2"	"40-60"
"CHST2"	0.000466851278170995	-0.775092864876323	0	0.125	1	"Ast"	"CHST2"	"40-60"
"RARRES1"	0.000466851278170995	-0.123382008879179	0	0.125	1	"Ast"	"RARRES1"	"40-60"
"IGF2BP2"	0.000466851278170995	-0.137688025229133	0	0.125	1	"Ast"	"IGF2BP2"	"40-60"
"NOCT"	0.000466851278170995	-0.13462825242255	0	0.125	1	"Ast"	"NOCT"	"40-60"
"HIST1H4D"	0.000466851278170995	-0.185527180778313	0	0.125	1	"Ast"	"HIST1H4D"	"40-60"
"AC073335.2"	0.000466851278170995	-0.117821423668559	0	0.125	1	"Ast"	"AC073335.2"	"40-60"
"AC009630.2"	0.000466851278170995	-0.247439681930487	0	0.125	1	"Ast"	"AC009630.2"	"40-60"
"AC124798.1"	0.000466851278170995	-0.283126771789206	0	0.125	1	"Ast"	"AC124798.1"	"40-60"
"ABTB2"	0.000466851278170995	-0.681652772858251	0	0.125	1	"Ast"	"ABTB2"	"40-60"
"IGHG3"	0.000466851278170995	-0.260806165622256	0	0.125	1	"Ast"	"IGHG3"	"40-60"
"AC099489.1"	0.000466851278170995	-0.171618622495622	0	0.125	1	"Ast"	"AC099489.1"	"40-60"
"IL27"	0.000466851278170995	-0.133695158632499	0	0.125	1	"Ast"	"IL27"	"40-60"
"ICAM5"	0.000466851278170995	-0.149050114957046	0	0.125	1	"Ast"	"ICAM5"	"40-60"
"TTTY15"	0.000466851278170995	-0.112826377571241	0	0.125	1	"Ast"	"TTTY15"	"40-60"
"UTY"	0.000466851278170995	-0.26453209211545	0	0.125	1	"Ast"	"UTY"	"40-60"
"AF127936.1"	0.000466851278170995	-0.136603324254298	0	0.125	1	"Ast"	"AF127936.1"	"40-60"
"VENTX"	0.000490178797188431	-0.679528822987516	0.021	0.208	1	"Ast"	"VENTX"	"40-60"
"ENPP2"	0.00052045475870463	-0.31045058796034	0.021	0.208	1	"Ast"	"ENPP2"	"40-60"
"SYVN1"	0.00052045475870463	-0.1755637717486	0.021	0.208	1	"Ast"	"SYVN1"	"40-60"
"CYBB"	0.000536537968584342	1.12128996815399	0.856	0.583	1	"Ast"	"CYBB"	"40-60"
"HSPA1B"	0.000551282339086359	1.89085353278135	0.814	0.625	1	"Ast"	"HSPA1B"	"40-60"
"LINC01001"	0.000552466342046655	-0.331606068426579	0.021	0.208	1	"Ast"	"LINC01001"	"40-60"
"WBP1L"	0.000578230437785638	-0.386367919709351	0.103	0.417	1	"Ast"	"WBP1L"	"40-60"
"PTTG1"	0.000581785191743727	-0.181183005264371	0.01	0.167	1	"Ast"	"PTTG1"	"40-60"
"ACE"	0.000581785191743727	-0.164662636060759	0.01	0.167	1	"Ast"	"ACE"	"40-60"
"VPS37B"	0.000644777739702484	-0.73817284562244	0.072	0.333	1	"Ast"	"VPS37B"	"40-60"
"SLC2A3"	0.00066584912122785	-1.15891949890016	0.289	0.625	1	"Ast"	"SLC2A3"	"40-60"
"ZFAND4"	0.000668288977864171	-0.202449942680628	0.01	0.167	1	"Ast"	"ZFAND4"	"40-60"
"RUNX1"	0.000680819788510236	-1.09179799275699	0.371	0.708	1	"Ast"	"RUNX1"	"40-60"
"IL1R2"	0.000698738234274978	-0.190483378820091	0.052	0.292	1	"Ast"	"IL1R2"	"40-60"
"ZC3H3"	0.000715891743077279	-0.174279679054888	0.01	0.167	1	"Ast"	"ZC3H3"	"40-60"
"ZDHHC13"	0.000715891743077279	-0.10759532228603	0.01	0.167	1	"Ast"	"ZDHHC13"	"40-60"
"PER3"	0.000721347691400546	-0.216721704964738	0.103	0.417	1	"Ast"	"PER3"	"40-60"
"DDX23"	0.000735792045014671	-0.819874174516887	0.093	0.375	1	"Ast"	"DDX23"	"40-60"
"GK"	0.000741890196658699	-0.679366404219898	0.165	0.5	1	"Ast"	"GK"	"40-60"
"NFKB2"	0.000764567670586858	-0.560493419306387	0.134	0.458	1	"Ast"	"NFKB2"	"40-60"
"CFLAR"	0.000780703520380786	-1.0668985451241	0.66	0.875	1	"Ast"	"CFLAR"	"40-60"
"AZI2"	0.00079098215133368	-1.2104776086103	0.206	0.542	1	"Ast"	"AZI2"	"40-60"
"AC023157.3"	0.000792339505631594	-0.236052607737545	0.041	0.25	1	"Ast"	"AC023157.3"	"40-60"
"TESK1"	0.000876570951065918	-0.164290514717565	0.052	0.292	1	"Ast"	"TESK1"	"40-60"
"CNOT3"	0.000917678233649273	-0.288315616884811	0.041	0.25	1	"Ast"	"CNOT3"	"40-60"
"UPP1"	0.00096319114075854	-1.1379539560675	0.227	0.583	1	"Ast"	"UPP1"	"40-60"
"CSRNP1"	0.000969213583704743	-0.987134550993765	0.268	0.625	1	"Ast"	"CSRNP1"	"40-60"
