"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"disease"
"OAZ1"	0.0323898334642597	-1.275452083618	0.667	0.875	1	"Ast"	"OAZ1"	"40-60"	"N"
"PCBP1"	0.0326096789304168	-1.72498337258902	0.167	0.75	1	"Ast"	"PCBP1"	"40-60"	"N"
"RNF7"	0.0326096789304168	-1.31973865943628	0.167	0.75	1	"Ast"	"RNF7"	"40-60"	"N"
"AHR"	0.0326096789304168	-1.46828248829224	0.167	0.75	1	"Ast"	"AHR"	"40-60"	"N"
"EVI2A"	0.0326096789304168	-2.04838547867714	0.167	0.75	1	"Ast"	"EVI2A"	"40-60"	"N"
"S100A11"	0.0329669536024435	-1.01774925224227	0.667	1	1	"Ast"	"S100A11"	"40-60"	"N"
"PFDN5"	0.0367373432595621	-1.322136676573	0.5	0.875	1	"Ast"	"PFDN5"	"40-60"	"N"
"VAMP3"	0.0388448028444557	0.903812244565101	0.5	0	1	"Ast"	"VAMP3"	"40-60"	"N"
"PITHD1"	0.0388448028444557	1.20394294912001	0.5	0	1	"Ast"	"PITHD1"	"40-60"	"N"
"PSMB2"	0.0388448028444557	0.75819805039378	0.5	0	1	"Ast"	"PSMB2"	"40-60"	"N"
"GBP1"	0.0388448028444557	2.18882201087745	0.5	0	1	"Ast"	"GBP1"	"40-60"	"N"
"GBP4"	0.0388448028444557	1.57979938291845	0.5	0	1	"Ast"	"GBP4"	"40-60"	"N"
"DESI2"	0.0388448028444557	0.75819805039378	0.5	0	1	"Ast"	"DESI2"	"40-60"	"N"
"NRBP1"	0.0388448028444557	1.07075127689676	0.5	0	1	"Ast"	"NRBP1"	"40-60"	"N"
"SERTAD2"	0.0388448028444557	1.212368930684	0.5	0	1	"Ast"	"SERTAD2"	"40-60"	"N"
"TET3"	0.0388448028444557	1.30871047681976	0.5	0	1	"Ast"	"TET3"	"40-60"	"N"
"UXS1"	0.0388448028444557	1.10960354627748	0.5	0	1	"Ast"	"UXS1"	"40-60"	"N"
"SPOPL"	0.0388448028444557	1.26077686893061	0.5	0	1	"Ast"	"SPOPL"	"40-60"	"N"
"C2orf69"	0.0388448028444557	1.52279806487569	0.5	0	1	"Ast"	"C2orf69"	"40-60"	"N"
"OGG1"	0.0388448028444557	0.75819805039378	0.5	0	1	"Ast"	"OGG1"	"40-60"	"N"
"ZNF621"	0.0388448028444557	1.03882674702106	0.5	0	1	"Ast"	"ZNF621"	"40-60"	"N"
"UBA7"	0.0388448028444557	1.39619557441416	0.5	0	1	"Ast"	"UBA7"	"40-60"	"N"
"HACD2"	0.0388448028444557	0.75819805039378	0.5	0	1	"Ast"	"HACD2"	"40-60"	"N"
"MAGEF1"	0.0388448028444557	0.75819805039378	0.5	0	1	"Ast"	"MAGEF1"	"40-60"	"N"
"CAMK2D"	0.0388448028444557	0.928243123035795	0.5	0	1	"Ast"	"CAMK2D"	"40-60"	"N"
"MTMR12"	0.0388448028444557	1.56720054673773	0.5	0	1	"Ast"	"MTMR12"	"40-60"	"N"
"SLC35A4"	0.0388448028444557	0.75819805039378	0.5	0	1	"Ast"	"SLC35A4"	"40-60"	"N"
"WDR55"	0.0388448028444557	1.11475291750329	0.5	0	1	"Ast"	"WDR55"	"40-60"	"N"
"HLA-DQA2"	0.0388448028444557	1.43889703040445	0.5	0	1	"Ast"	"HLA-DQA2"	"40-60"	"N"
"YIPF3"	0.0388448028444557	0.75819805039378	0.5	0	1	"Ast"	"YIPF3"	"40-60"	"N"
"MORF4L2"	0.0388448028444557	1.55169503174492	0.5	0	1	"Ast"	"MORF4L2"	"40-60"	"N"
"TPD52"	0.0388448028444557	1.21760378004146	0.5	0	1	"Ast"	"TPD52"	"40-60"	"N"
"OTUD6B-AS1"	0.0388448028444557	1.51600718367783	0.5	0	1	"Ast"	"OTUD6B-AS1"	"40-60"	"N"
"GANAB"	0.0388448028444557	0.832841510917509	0.5	0	1	"Ast"	"GANAB"	"40-60"	"N"
"RARRES3"	0.0388448028444557	1.07075127689676	0.5	0	1	"Ast"	"RARRES3"	"40-60"	"N"
"RBM4"	0.0388448028444557	1.24454848723454	0.5	0	1	"Ast"	"RBM4"	"40-60"	"N"
