"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"TCHH"	7.86733273631168e-11	-1.24642617589437	0.186	0.528	2.63036402705845e-06	"Ast"	"TCHH"	"GBM"
"MT-CO3"	8.11147029278493e-11	-0.634623180120904	1	0.995	2.71198897768971e-06	"Ast"	"MT-CO3"	"GBM"
"PIR"	1.06427215161632e-10	0.30423672928348	0.124	0.024	3.55828751171402e-06	"Ast"	"PIR"	"GBM"
"ITM2B"	1.79154283245214e-10	-0.455884936529361	0.887	0.974	5.98984430602048e-06	"Ast"	"ITM2B"	"GBM"
"HLA-DQB1"	1.89539132603529e-10	-0.623619614206302	0.763	0.956	6.33705135946639e-06	"Ast"	"HLA-DQB1"	"GBM"
"ZFY"	2.14890045089608e-10	-0.638402044233452	0	0.303	7.18463376752597e-06	"Ast"	"ZFY"	"GBM"
"PKIB"	5.25329050049299e-10	-0.597969177138759	0.144	0.477	1.75638514593483e-05	"Ast"	"PKIB"	"GBM"
"IL1B"	5.80176173343314e-10	-0.817243623252589	0.732	0.949	1.93976101795604e-05	"Ast"	"IL1B"	"GBM"
"MT-CO2"	8.4140464509853e-10	-0.465248768066227	0.979	0.993	2.81315229042243e-05	"Ast"	"MT-CO2"	"GBM"
"FCGR2B"	9.38450677333617e-10	-0.673031939378465	0.299	0.659	3.13761599459722e-05	"Ast"	"FCGR2B"	"GBM"
"PLD4"	1.17145860688579e-09	-0.652911072272226	0.299	0.676	3.91665470626194e-05	"Ast"	"PLD4"	"GBM"
"KCTD12"	1.30362185772653e-09	-0.556385894929498	0.794	0.932	4.35852931912288e-05	"Ast"	"KCTD12"	"GBM"
"JUN"	1.31687149265121e-09	0.966433039271708	0.928	0.938	4.40282814853006e-05	"Ast"	"JUN"	"GBM"
"EIF1AY"	1.69368931084705e-09	-0.501822756754246	0	0.28	5.66268084188604e-05	"Ast"	"EIF1AY"	"GBM"
"DDX5"	1.71219641485764e-09	-0.469699938932028	0.938	0.978	5.72455749343502e-05	"Ast"	"DDX5"	"GBM"
"F13A1"	1.72977646778812e-09	0.973571196016497	0.577	0.358	5.78333464240281e-05	"Ast"	"F13A1"	"GBM"
"NUDT16"	1.96320962918908e-09	-0.599544064456602	0.361	0.69	6.56379507423077e-05	"Ast"	"NUDT16"	"GBM"
