"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"
"AC072061.1"	1.31124860808684e-08	-0.528319958934934	0	0.333333333333333	0.000438402859627754	"Ast"	"AC072061.1"	"female"
"AC020765.2"	1.31124860808684e-08	-0.42109284233273	0	0.333333333333333	0.000438402859627754	"Ast"	"AC020765.2"	"female"
"MROH1"	1.2012825265798e-07	-1.31964799835351	0.0206185567010309	0.5	0.00401636799936691	"Ast"	"MROH1"	"female"
"NBEA"	3.08225286190579e-06	-0.902774517719585	0.0309278350515464	0.5	0.103052042184958	"Ast"	"NBEA"	"female"
"AC097534.2"	4.9345185131202e-06	-1.02870484927411	0.0103092783505155	0.333333333333333	0.164980691967661	"Ast"	"AC097534.2"	"female"
"PAXIP1-AS1"	4.9345185131202e-06	-0.837322915020618	0.0103092783505155	0.333333333333333	0.164980691967661	"Ast"	"PAXIP1-AS1"	"female"
"AL391069.2"	6.20682486886127e-06	-0.410151462055076	0.0103092783505155	0.333333333333333	0.207518982665508	"Ast"	"AL391069.2"	"female"
"RABL2A"	6.20682486886127e-06	-0.655543699094071	0.0103092783505155	0.333333333333333	0.207518982665508	"Ast"	"RABL2A"	"female"
"PDE6A"	6.20682486886127e-06	-1.12522131861444	0.0103092783505155	0.333333333333333	0.207518982665508	"Ast"	"PDE6A"	"female"
"ARMCX4"	6.20682486886127e-06	-0.900121180302951	0.0103092783505155	0.333333333333333	0.207518982665508	"Ast"	"ARMCX4"	"female"
"SLC25A25-AS1"	6.20682486886127e-06	-0.837301556759637	0.0103092783505155	0.333333333333333	0.207518982665508	"Ast"	"SLC25A25-AS1"	"female"
"AC124319.2"	6.20682486886127e-06	-0.836637822628853	0.0103092783505155	0.333333333333333	0.207518982665508	"Ast"	"AC124319.2"	"female"
"ZNF397"	3.16930382602629e-05	-1.58483728875418	0.0927835051546392	0.666666666666667	1	"Ast"	"ZNF397"	"female"
"SLC17A9"	3.16930382602629e-05	-1.07621049806076	0.0927835051546392	0.666666666666667	1	"Ast"	"SLC17A9"	"female"
"CDKN1A"	3.23743979490414e-05	-1.35057124881989	0.278350515463918	1	1	"Ast"	"CDKN1A"	"female"
"MED11"	5.62803883424707e-05	-1.04343857600806	0.11340206185567	0.666666666666667	1	"Ast"	"MED11"	"female"
"ZNF493"	6.16736405995304e-05	-1.43943788882146	0.103092783505155	0.666666666666667	1	"Ast"	"ZNF493"	"female"
"C1QTNF12"	6.91103306385566e-05	-0.778725593630209	0	0.166666666666667	1	"Ast"	"C1QTNF12"	"female"
"CAMTA1-DT"	6.91103306385566e-05	-0.64525508014079	0	0.166666666666667	1	"Ast"	"CAMTA1-DT"	"female"
"CAMK2N1"	6.91103306385566e-05	-1.26887828037673	0	0.166666666666667	1	"Ast"	"CAMK2N1"	"female"
"LINC01635"	6.91103306385566e-05	-0.124081092459217	0	0.166666666666667	1	"Ast"	"LINC01635"	"female"
"SLC30A2"	6.91103306385566e-05	-0.124081092459217	0	0.166666666666667	1	"Ast"	"SLC30A2"	"female"
"TMEM200B"	6.91103306385566e-05	-0.124081092459217	0	0.166666666666667	1	"Ast"	"TMEM200B"	"female"
"MATN1-AS1"	6.91103306385566e-05	-0.583284251211386	0	0.166666666666667	1	"Ast"	"MATN1-AS1"	"female"
"AC104506.1"	6.91103306385566e-05	-0.124081092459217	0	0.166666666666667	1	"Ast"	"AC104506.1"	"female"
"SRGAP2-AS1"	6.91103306385566e-05	-0.435559607704419	0	0.166666666666667	1	"Ast"	"SRGAP2-AS1"	"female"
"LINC01731"	6.91103306385566e-05	-0.64525508014079	0	0.166666666666667	1	"Ast"	"LINC01731"	"female"
"HIST2H4B"	6.91103306385566e-05	-0.320921379471322	0	0.166666666666667	1	"Ast"	"HIST2H4B"	"female"
"RPTN"	6.91103306385566e-05	-0.320921379471322	0	0.166666666666667	1	"Ast"	"RPTN"	"female"
"NOS1AP"	6.91103306385566e-05	-0.64525508014079	0	0.166666666666667	1	"Ast"	"NOS1AP"	"female"
"AL021068.1"	6.91103306385566e-05	-0.124081092459217	0	0.166666666666667	1	"Ast"	"AL021068.1"	"female"
"PDC"	6.91103306385566e-05	-0.64525508014079	0	0.166666666666667	1	"Ast"	"PDC"	"female"
"AL356512.1"	6.91103306385566e-05	-0.64525508014079	0	0.166666666666667	1	"Ast"	"AL356512.1"	"female"
"TDRD15"	6.91103306385566e-05	-0.344192325294519	0	0.166666666666667	1	"Ast"	"TDRD15"	"female"
"TOGARAM2"	6.91103306385566e-05	-0.124081092459217	0	0.166666666666667	1	"Ast"	"TOGARAM2"	"female"
