"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"RAPH1"	3.28325892330508e-33	1.37442669527527	0.232	0.009	1.10287950492741e-28	"Mig"	"RAPH1"	"70-80"	"male"
"MYO6"	3.4827023163361e-33	0.829810258676662	0.309	0.049	1.16987453508046e-28	"Mig"	"MYO6"	"70-80"	"male"
"SPARCL1"	3.67784487137679e-33	0.615442603619793	0.58	0.215	1.23542487074418e-28	"Mig"	"SPARCL1"	"70-80"	"male"
"PAMR1"	5.24393528694921e-33	0.888887410909615	0.392	0.1	1.76149030223911e-28	"Mig"	"PAMR1"	"70-80"	"male"
"CLYBL"	7.97631830075476e-33	0.932061025348957	0.266	0.027	2.67932508040653e-28	"Mig"	"CLYBL"	"70-80"	"male"
"MGAT4C"	1.60284188017223e-31	0.652638671882118	0.451	0.138	5.38410615968654e-27	"Mig"	"MGAT4C"	"70-80"	"male"
"PARK2"	2.67329595507652e-31	0.553268849033433	0.404	0.107	8.97986844269754e-27	"Mig"	"PARK2"	"70-80"	"male"
"FUT9"	6.94471993653734e-31	0.481102037849626	0.415	0.115	2.33280087388226e-26	"Mig"	"FUT9"	"70-80"	"male"
"FMNL2"	1.28855026804438e-30	0.435578407882006	0.466	0.147	4.32836920538787e-26	"Mig"	"FMNL2"	"70-80"	"male"
"RP13-143G15.4"	2.49585601457253e-30	1.37258863813239	0.209	0.005	8.38382993855058e-26	"Mig"	"RP13-143G15.4"	"70-80"	"male"
"LINGO1"	5.44242062244721e-30	-0.617473598528752	0.831	0.82	1.82816351128624e-25	"Mig"	"LINGO1"	"70-80"	"male"
"PDE4DIP"	7.42369748947107e-30	0.426713136478145	0.42	0.122	2.49369422368823e-25	"Mig"	"PDE4DIP"	"70-80"	"male"
"NBPF19"	8.1666351973595e-30	1.07903607640339	0.234	0.02	2.74325442914503e-25	"Mig"	"NBPF19"	"70-80"	"male"
"RNF219-AS1"	9.32779202117452e-30	0.540664698167429	0.568	0.22	3.13329861783273e-25	"Mig"	"RNF219-AS1"	"70-80"	"male"
"GPR75-ASB3"	2.8270572386725e-29	0.657654148587937	0.306	0.06	9.49636797042478e-25	"Mig"	"GPR75-ASB3"	"70-80"	"male"
"SLC7A11"	3.43402211359985e-29	0.941788844170923	0.255	0.033	1.15352236817932e-24	"Mig"	"SLC7A11"	"70-80"	"male"
"CHD9"	4.7546707211583e-29	0.433209661574644	0.4	0.113	1.59714144194429e-24	"Mig"	"CHD9"	"70-80"	"male"
"SRSF5"	4.7614952960609e-29	0.711527327384021	0.278	0.045	1.59943388489982e-24	"Mig"	"SRSF5"	"70-80"	"male"
"SUMF1"	5.06445638974366e-29	1.21038441487204	0.222	0.016	1.70120154587879e-24	"Mig"	"SUMF1"	"70-80"	"male"
"SOX6"	5.73070965826556e-29	0.572897731373112	0.334	0.076	1.92500268130798e-24	"Mig"	"SOX6"	"70-80"	"male"
"CEP85L"	7.89919652404008e-29	0.886935863335589	0.246	0.029	2.6534191043903e-24	"Mig"	"CEP85L"	"70-80"	"male"
"NFIB"	3.12147749040168e-28	0.323439825798104	0.448	0.142	1.04853550380083e-23	"Mig"	"NFIB"	"70-80"	"male"
"PHLPP1"	6.93064892771411e-28	0.459999668336596	0.376	0.104	2.32807428130845e-23	"Mig"	"PHLPP1"	"70-80"	"male"
"MALRD1"	7.14621244121844e-28	0.935757632139285	0.219	0.018	2.40048422112969e-23	"Mig"	"MALRD1"	"70-80"	"male"
"SOX2"	1.65100737820246e-27	0.792784658902749	0.245	0.033	5.54589888411989e-23	"Mig"	"SOX2"	"70-80"	"male"
"PRKCA-AS1"	4.19255011544691e-27	1.36471736402923	0.182	0.002	1.40831950927977e-22	"Mig"	"PRKCA-AS1"	"70-80"	"male"
"KIF1B"	5.89997309427148e-27	0.396350673116685	0.431	0.138	1.98185996209673e-22	"Mig"	"KIF1B"	"70-80"	"male"
"A2ML1-AS1"	7.96538595288824e-27	1.25197339356911	0.181	0.002	2.67565279543469e-22	"Mig"	"A2ML1-AS1"	"70-80"	"male"
"P2RY14"	9.1815365562528e-27	1.28522713301349	0.187	0.005	3.08416994461088e-22	"Mig"	"P2RY14"	"70-80"	"male"
"ZNRF3"	1.62993383324409e-26	0.36390120409585	0.443	0.147	5.47511073925022e-22	"Mig"	"ZNRF3"	"70-80"	"male"
