"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"GLI3"	1.50947624256128e-06	0.592445076026155	0.263	0.148	0.0464797924609469	"Ast"	"GLI3"	"20-40"
"SPARCL1"	2.14494115710713e-06	-0.401178322869757	0.731	0.775	0.0660470281096428	"Ast"	"SPARCL1"	"20-40"
"RP11-692D12.1"	2.46425157498671e-06	0.589022550036057	0.153	0.066	0.0758792344969909	"Ast"	"RP11-692D12.1"	"20-40"
"ARHGAP24"	2.53931956906986e-06	0.472362651857198	0.402	0.263	0.0781907281707992	"Ast"	"ARHGAP24"	"20-40"
"NKTR"	2.88288773624003e-06	0.473597821118206	0.327	0.196	0.0887698791743029	"Ast"	"NKTR"	"20-40"
"ARMCX4"	2.90698402446653e-06	0.633430259727574	0.131	0.053	0.0895118520813733	"Ast"	"ARMCX4"	"20-40"
"FTX"	3.35803603206452e-06	0.41416262765187	0.618	0.486	0.103400645499331	"Ast"	"FTX"	"20-40"
"MEF2C-AS1"	3.72767000078099e-06	0.463687359312223	0.318	0.191	0.114782414664048	"Ast"	"MEF2C-AS1"	"20-40"
"LINC00894"	4.20284897493813e-06	0.376102707127821	0.131	0.053	0.129414125636295	"Ast"	"LINC00894"	"20-40"
"VAV3"	4.91864158930178e-06	0.601053720138457	0.204	0.106	0.15145481181778	"Ast"	"VAV3"	"20-40"
"RBMS3"	5.10648647058995e-06	0.431071474877244	0.341	0.211	0.157238931402406	"Ast"	"RBMS3"	"20-40"
"PTPRZ1"	5.59491995611372e-06	0.364981818119936	0.435	0.281	0.172278775288654	"Ast"	"PTPRZ1"	"20-40"
"PDGFC"	6.08719284098976e-06	0.613213499257598	0.122	0.049	0.187436841959757	"Ast"	"PDGFC"	"20-40"
"WIF1"	6.82652464937371e-06	0.565876798522244	0.245	0.139	0.210202347003515	"Ast"	"WIF1"	"20-40"
"BMP2K"	7.24010069529876e-06	0.55202607880251	0.212	0.112	0.222937180609639	"Ast"	"BMP2K"	"20-40"
"PTGDS"	8.32077764588633e-06	-0.743805057219406	0.325	0.414	0.256213385272132	"Ast"	"PTGDS"	"20-40"
"BRD4"	8.50613585908606e-06	0.621724770338527	0.106	0.04	0.261920935372978	"Ast"	"BRD4"	"20-40"
"CADM1"	9.43017013646769e-06	0.298348404192009	0.637	0.48	0.290373798842113	"Ast"	"CADM1"	"20-40"
"ACSS1"	9.74147623491162e-06	-0.748526566006659	0.222	0.319	0.299959536225399	"Ast"	"ACSS1"	"20-40"
"MT2A"	1.13208355704808e-05	-0.805767294924045	0.088	0.173	0.348591168886244	"Ast"	"MT2A"	"20-40"
"SOX6"	1.13735480036552e-05	0.443358563303519	0.375	0.245	0.35021429012855	"Ast"	"SOX6"	"20-40"
