"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"
"XIST"	3.77883278201785e-89	2.88334152427888	0.354	0	1.16357819023894e-84	"Ast"	"XIST"
"NLGN4Y"	2.50560493238774e-36	-1.81265777597743	0	0.149	7.71525870780834e-32	"Ast"	"NLGN4Y"
"UTY"	6.75821164420584e-33	-1.69010473396658	0	0.135	2.08098852948386e-28	"Ast"	"UTY"
"TTTY14"	5.71558072579179e-32	-1.61772504443146	0.003	0.139	1.75994161708581e-27	"Ast"	"TTTY14"
"HSPA1A"	4.21596781483858e-19	-1.31922181611796	0.019	0.122	1.29818080954509e-14	"Ast"	"HSPA1A"
"RP11-561I11.4"	5.41505315998561e-19	-1.10391733093589	0.058	0.19	1.66740316902277e-14	"Ast"	"RP11-561I11.4"
"CST3"	6.72750803218829e-14	-0.723557442617829	0.38	0.514	2.07153427327142e-09	"Ast"	"CST3"
"NRXN1"	1.00219438095708e-13	0.366879315171773	0.909	0.879	3.08595693784305e-09	"Ast"	"NRXN1"
"AP000769.1"	1.31608846836831e-13	-1.15532122206746	0.024	0.106	4.05249961179969e-09	"Ast"	"AP000769.1"
"ERBB4"	1.36421985159583e-13	0.444639272630166	0.765	0.65	4.20070576703387e-09	"Ast"	"ERBB4"
"FTH1"	2.29634524001235e-13	-0.862820440121301	0.095	0.216	7.07090626304603e-09	"Ast"	"FTH1"
"TENM2"	1.01675495163164e-12	0.505941391830306	0.574	0.41	3.13079184706413e-08	"Ast"	"TENM2"
"HSP90AA1"	7.35358342888399e-12	-0.94823145120565	0.319	0.437	2.26431540942196e-07	"Ast"	"HSP90AA1"
"SPARCL1"	7.55203976216934e-12	-0.421612966598574	0.715	0.766	2.32542408356718e-07	"Ast"	"SPARCL1"
"LRP1B"	9.8238321518082e-12	0.355981330062531	0.87	0.808	3.02495439618478e-07	"Ast"	"LRP1B"
"JPX"	5.52816458906515e-11	0.729735087548091	0.253	0.134	1.70223244026494e-06	"Ast"	"JPX"
"DGKB"	6.77394461914192e-11	-0.790863637667509	0.162	0.281	2.08583302712618e-06	"Ast"	"DGKB"
"CTNNA2"	3.31234537110148e-10	0.266101647263334	0.939	0.922	1.01993738666957e-05	"Ast"	"CTNNA2"
"MT2A"	1.73688318725848e-09	-0.770684159146392	0.097	0.19	5.34821071020632e-05	"Ast"	"MT2A"
"TRPS1"	2.13097758940081e-09	0.511676761779731	0.416	0.284	6.56170619328298e-05	"Ast"	"TRPS1"
"PDE3B"	6.57329757143496e-09	0.489602091467181	0.239	0.133	0.000202404978819625	"Ast"	"PDE3B"
"ITM2C"	6.98758333439357e-08	-0.763243969683961	0.089	0.169	0.00215161666032647	"Ast"	"ITM2C"
"TRPM3"	1.32830882379876e-07	0.487961396355802	0.439	0.333	0.00409012853024114	"Ast"	"TRPM3"
"ANK2"	1.38581436523079e-07	0.308215395261352	0.669	0.554	0.00426719959341864	"Ast"	"ANK2"
"LSAMP"	2.79088023765418e-07	0.212779497697826	0.967	0.956	0.00859367842778474	"Ast"	"LSAMP"
"UPF3B"	4.49430776155534e-07	0.544630628698295	0.144	0.071	0.0138388724593812	"Ast"	"UPF3B"
"ACSS1"	5.11099060590665e-07	-0.565900850050555	0.237	0.327	0.0157377622737077	"Ast"	"ACSS1"
"COL16A1"	1.33697921943747e-06	-0.682067377694435	0.083	0.152	0.0411682641249186	"Ast"	"COL16A1"
"GLUL"	1.41741750352058e-06	-0.538769975609145	0.357	0.443	0.0436451197684057	"Ast"	"GLUL"
"BRD4"	2.18325263544509e-06	0.64267829567147	0.103	0.047	0.0672267151506251	"Ast"	"BRD4"
"UBA6-AS1"	2.24914676160694e-06	0.410101170952962	0.217	0.133	0.069255727083401	"Ast"	"UBA6-AS1"
"MAGI2"	2.5058548985078e-06	0.227687760175778	0.796	0.726	0.0771602840348521	"Ast"	"MAGI2"
"GRID2"	2.6197119854226e-06	0.39844890885154	0.211	0.13	0.0806661714551328	"Ast"	"GRID2"
"FTL"	2.83239249135204e-06	-0.653878375660458	0.072	0.135	0.0872150295937121	"Ast"	"FTL"
"HPSE2"	4.28475483501081e-06	0.348353136157349	0.567	0.456	0.131936170879653	"Ast"	"HPSE2"
"EPHA6"	5.72712662750982e-06	0.572415923796853	0.225	0.147	0.176349683114282	"Ast"	"EPHA6"
"RP11-96H19.1"	6.21939174993185e-06	0.521629514841094	0.147	0.081	0.191507510763901	"Ast"	"RP11-96H19.1"
"ARHGAP24"	7.76102417005553e-06	0.407440834875115	0.365	0.27	0.23897745624435	"Ast"	"ARHGAP24"
"APOE"	8.44521355360302e-06	-0.70746950945956	0.088	0.151	0.260045015742544	"Ast"	"APOE"
"PLXNB1"	1.23315454317753e-05	-0.520213437375491	0.122	0.192	0.379712946935226	"Ast"	"PLXNB1"
"ADGRV1"	1.35297343931421e-05	-0.265683421002004	0.713	0.758	0.416607581433632	"Ast"	"ADGRV1"
"OPHN1"	1.452648258339e-05	0.326390443507138	0.373	0.274	0.447299451707745	"Ast"	"OPHN1"
"SLC4A4"	1.59178229834549e-05	0.237373010486207	0.617	0.521	0.490141605306543	"Ast"	"SLC4A4"
"RP11-281A20.2"	2.063432653195e-05	0.424055495631729	0.101	0.049	0.635372182571805	"Ast"	"RP11-281A20.2"
"ST5"	2.86984436507953e-05	0.442502683857879	0.11	0.056	0.883682476895288	"Ast"	"ST5"
"SYNE1"	2.98777615487761e-05	0.228508893092767	0.594	0.49	0.919996033609912	"Ast"	"SYNE1"
"ZDHHC21"	3.10297608267614e-05	0.441045145675459	0.137	0.078	0.955468395377638	"Ast"	"ZDHHC21"
"GRID1"	3.16623664360224e-05	0.380317431015609	0.267	0.184	0.974947587298002	"Ast"	"GRID1"
"PHACTR3"	3.22461596429832e-05	0.376493707695612	0.304	0.218	0.99292374772674	"Ast"	"PHACTR3"
"FAM155A"	3.36278956054461e-05	0.235003712774146	0.706	0.617	1	"Ast"	"FAM155A"
"NTRK2"	3.47981950483765e-05	0.249232149893055	0.636	0.523	1	"Ast"	"NTRK2"
"HNRNPA2B1"	3.58593025625409e-05	-0.542870553428051	0.114	0.179	1	"Ast"	"HNRNPA2B1"
"CHD4"	4.73418162340347e-05	0.396914722103281	0.203	0.131	1	"Ast"	"CHD4"
"PBX1"	5.20203978560381e-05	0.374473840077119	0.334	0.25	1	"Ast"	"PBX1"
"ST6GALNAC3"	5.70717937249522e-05	0.398855778766832	0.129	0.072	1	"Ast"	"ST6GALNAC3"
"NDRG2"	5.83129817314739e-05	-0.440901155291192	0.309	0.384	1	"Ast"	"NDRG2"
"VAV3"	5.88091488788516e-05	0.388466013695203	0.187	0.12	1	"Ast"	"VAV3"
"PNISR"	6.31329331326113e-05	-0.317276093633758	0.513	0.572	1	"Ast"	"PNISR"
"POU6F2"	6.41686138504238e-05	-0.463495829136611	0.118	0.182	1	"Ast"	"POU6F2"
"GRM3"	6.87001338937949e-05	0.275821454235462	0.467	0.367	1	"Ast"	"GRM3"
"ACADVL"	7.03387624958325e-05	-0.559396960863562	0.094	0.152	1	"Ast"	"ACADVL"
"HIF3A"	7.22597129926381e-05	0.320241255361688	0.342	0.252	1	"Ast"	"HIF3A"
"PCCA"	7.39006952898278e-05	0.343750296959348	0.192	0.123	1	"Ast"	"PCCA"
"S100B"	7.57310203003776e-05	-0.60944532906763	0.09	0.146	1	"Ast"	"S100B"
"RP11-692D12.1"	8.99498421423594e-05	0.449926067035455	0.118	0.066	1	"Ast"	"RP11-692D12.1"
"FBXL7"	9.23636529841252e-05	0.266382068420301	0.538	0.446	1	"Ast"	"FBXL7"
"MT3"	0.000124538064137433	-0.415692678053556	0.367	0.438	1	"Ast"	"MT3"
"SGCD"	0.000129166540355205	0.322381335719637	0.485	0.396	1	"Ast"	"SGCD"
"RNF219-AS1"	0.00012959681552606	0.20468095028447	0.625	0.537	1	"Ast"	"RNF219-AS1"
