"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"ERCC-00130"	3.25197459521136e-12	-0.293087403893843	1	1	1.84734920830171e-07	"Mig"	"ERCC-00130"	"Brain cortex"
"SPP1"	3.77443837576988e-12	0.545682323829022	0.724	0.606	2.1441452081236e-07	"Mig"	"SPP1"	"Brain cortex"
"ERCC-00136"	1.10497722966839e-11	-0.293797210293007	0.975	0.99	6.27704414857721e-07	"Mig"	"ERCC-00136"	"Brain cortex"
"ERCC-00095"	2.38869218724689e-11	-0.562102474749131	0.221	0.382	1.35694437080934e-06	"Mig"	"ERCC-00095"	"Brain cortex"
"ERCC-00060"	5.54575009794732e-11	-0.699638376877465	0.228	0.382	3.15037425814094e-06	"Mig"	"ERCC-00060"	"Brain cortex"
"HSPA1A"	1.19919004647147e-10	-0.752384213463875	0.112	0.232	6.81223889699045e-06	"Mig"	"HSPA1A"	"Brain cortex"
"MTRNR2L10"	1.94507813842682e-10	0.751238077462819	0.119	0.035	1.10494053809612e-05	"Mig"	"MTRNR2L10"	"Brain cortex"
"ERCC-00145"	3.40385769354397e-10	-0.321910001504087	0.632	0.803	1.93362943997152e-05	"Mig"	"ERCC-00145"	"Brain cortex"
"MT-RNR1"	3.78341417871789e-10	-0.33056800030448	0.897	0.939	2.14924409250427e-05	"Mig"	"MT-RNR1"	"Brain cortex"
"IFNGR1"	3.61331828271901e-09	0.537228047057044	0.707	0.615	0.000205261771686419	"Mig"	"IFNGR1"	"Brain cortex"
"CH25H"	3.65688840049866e-09	0.75566858812581	0.508	0.378	0.000207736859367127	"Mig"	"CH25H"	"Brain cortex"
"ERCC-00071"	1.28572270944276e-08	-0.333930198967286	0.092	0.196	0.000730380499553146	"Mig"	"ERCC-00071"	"Brain cortex"
"ERCC-00076"	1.3095952147426e-08	-0.381990061718576	0.26	0.408	0.000743941753638829	"Mig"	"ERCC-00076"	"Brain cortex"
"CD83"	1.9857882197778e-08	0.671135369211532	0.284	0.168	0.00112806671400917	"Mig"	"CD83"	"Brain cortex"
"ERCC-00162"	7.56981628122405e-08	-0.534183049085859	0.118	0.219	0.00430018553487495	"Mig"	"ERCC-00162"	"Brain cortex"
"MT-ATP8"	8.60899215360451e-08	-0.482893519464256	0.338	0.469	0.00489051017269811	"Mig"	"MT-ATP8"	"Brain cortex"
"SGK1"	3.31004885324625e-07	0.988569628746197	0.231	0.14	0.018803394520636	"Mig"	"SGK1"	"Brain cortex"
"ERCC-00116"	4.15275604631214e-07	-0.404134856811408	0.272	0.395	0.0235905612722853	"Mig"	"ERCC-00116"	"Brain cortex"
"ERCC-00022"	6.00945245767792e-07	-0.187906171427213	0.289	0.438	0.034137896576331	"Mig"	"ERCC-00022"	"Brain cortex"
"CCL3L3"	1.0428615316548e-06	0.584297993813517	0.268	0.168	0.0592418350287145	"Mig"	"CCL3L3"	"Brain cortex"
"HSP90B1"	1.68679809190842e-06	-0.471042486483069	0.267	0.374	0.0958219392070418	"Mig"	"HSP90B1"	"Brain cortex"
"MT-ND6"	1.78057920973931e-06	-0.33297533756089	0.089	0.171	0.101149363167661	"Mig"	"MT-ND6"	"Brain cortex"
"ERCC-00044"	1.79842356632811e-06	-0.513012258865636	0.125	0.215	0.102163047532401	"Mig"	"ERCC-00044"	"Brain cortex"
"MT-ND5"	2.22698038616555e-06	-0.277911462514728	0.548	0.665	0.126508074796907	"Mig"	"MT-ND5"	"Brain cortex"
"CALM1"	2.47560308535407e-06	-0.468060799673505	0.115	0.202	0.140631584469709	"Mig"	"CALM1"	"Brain cortex"
"CCL4"	2.69206662070505e-06	0.64508788124598	0.3	0.202	0.152928228522392	"Mig"	"CCL4"	"Brain cortex"
"HSPA5"	4.5812099203735e-06	-0.428971457256437	0.185	0.281	0.260244791946658	"Mig"	"HSPA5"	"Brain cortex"
"MT-ND3"	6.45334925269108e-06	-0.26517437856137	0.804	0.865	0.366595410997622	"Mig"	"MT-ND3"	"Brain cortex"
"EEF1A1P5"	6.52617332779648e-06	0.256122799157152	0.747	0.709	0.370732328232135	"Mig"	"EEF1A1P5"	"Brain cortex"
"MIR3648-1"	6.59229023932935e-06	-0.494350955889518	0.421	0.535	0.374488231625582	"Mig"	"MIR3648-1"	"Brain cortex"
"DBI"	8.8932058264146e-06	0.701309160710285	0.155	0.085	0.505196343381134	"Mig"	"DBI"	"Brain cortex"
"ITM2B"	9.04520093501273e-06	0.318199337340154	0.866	0.837	0.513830729515268	"Mig"	"ITM2B"	"Brain cortex"
"EGR2"	1.20716841025553e-05	0.494515882480564	0.209	0.127	0.685756158813861	"Mig"	"EGR2"	"Brain cortex"
"MT-ND4"	1.38555154167539e-05	-0.187389027457357	0.91	0.959	0.787090264279541	"Mig"	"MT-ND4"	"Brain cortex"
"MRC1"	1.77191955774399e-05	-0.369651857925154	0.116	0.194	1	"Mig"	"MRC1"	"Brain cortex"
"ERCC-00131"	3.00799145833322e-05	-0.528800043182542	0.18	0.264	1	"Mig"	"ERCC-00131"	"Brain cortex"
"CYFIP1"	3.55351323805063e-05	-0.179947244718288	0.324	0.439	1	"Mig"	"CYFIP1"	"Brain cortex"
"MT-CO2"	3.57733390833675e-05	-0.213047736057237	0.789	0.874	1	"Mig"	"MT-CO2"	"Brain cortex"
"HLA-DRB1"	4.09784126900506e-05	-0.247745361235461	0.49	0.608	1	"Mig"	"HLA-DRB1"	"Brain cortex"
"SNORD4B"	4.4518482473383e-05	0.485749282002603	0.152	0.087	1	"Mig"	"SNORD4B"	"Brain cortex"
"NEAT1"	4.71040461093925e-05	0.748032037253468	0.203	0.13	1	"Mig"	"NEAT1"	"Brain cortex"
"B2M"	4.8928536260868e-05	0.262734892912429	0.813	0.76	1	"Mig"	"B2M"	"Brain cortex"
"PTGES3"	6.3872195275575e-05	-0.364827305893427	0.08	0.142	1	"Mig"	"PTGES3"	"Brain cortex"
"USP53"	7.01069166148673e-05	0.598191000136735	0.185	0.117	1	"Mig"	"USP53"	"Brain cortex"
"HLA-DQB1"	7.23043229014439e-05	0.675357237975205	0.248	0.176	1	"Mig"	"HLA-DQB1"	"Brain cortex"
"KLF6"	8.14249515338203e-05	0.500919569938346	0.229	0.154	1	"Mig"	"KLF6"	"Brain cortex"
"ERCC-00025"	8.39456162512331e-05	-0.251273499332122	0.08	0.144	1	"Mig"	"ERCC-00025"	"Brain cortex"
"MT-ND1"	8.6054711313653e-05	-0.192086926721146	0.81	0.873	1	"Mig"	"MT-ND1"	"Brain cortex"
"PDIA3"	0.000111632196875833	-0.494936170387762	0.134	0.206	1	"Mig"	"PDIA3"	"Brain cortex"
"HLA-DQA1"	0.000112416356665268	0.636850949812225	0.155	0.095	1	"Mig"	"HLA-DQA1"	"Brain cortex"
"SNORA70"	0.000117935203657093	0.434766878410125	0.459	0.374	1	"Mig"	"SNORA70"	"Brain cortex"
"C1QC"	0.000126477906332003	-0.349957094328495	0.177	0.26	1	"Mig"	"C1QC"	"Brain cortex"
"TMED10"	0.000129555131320833	-0.504141958858041	0.125	0.194	1	"Mig"	"TMED10"	"Brain cortex"
"ERCC-00051"	0.000155764918677938	-0.337814433617489	0.073	0.131	1	"Mig"	"ERCC-00051"	"Brain cortex"
"TMSB4XP2"	0.000174454570018041	0.532276336223278	0.138	0.082	1	"Mig"	"TMSB4XP2"	"Brain cortex"
"MCL1"	0.000192122749562749	0.736487183853404	0.144	0.085	1	"Mig"	"MCL1"	"Brain cortex"
"ERCC-00062"	0.000197986391830485	-0.336101126289197	0.102	0.168	1	"Mig"	"ERCC-00062"	"Brain cortex"
"ERCC-00144"	0.000209646688322357	-0.464630030313673	0.065	0.118	1	"Mig"	"ERCC-00144"	"Brain cortex"
"ERCC-00035"	0.000265092012044764	-0.316888378561748	0.102	0.166	1	"Mig"	"ERCC-00035"	"Brain cortex"
"VSIR"	0.000298364664355106	0.556213444023232	0.346	0.285	1	"Mig"	"VSIR"	"Brain cortex"
"MTND1P23"	0.000314002517790123	0.448868051885036	0.535	0.49	1	"Mig"	"MTND1P23"	"Brain cortex"
"AC091153.1"	0.000367353178807907	0.459757911926175	0.124	0.073	1	"Mig"	"AC091153.1"	"Brain cortex"
"GPX1"	0.000392955575856652	0.503042494333496	0.44	0.381	1	"Mig"	"GPX1"	"Brain cortex"
"ERCC-00092"	0.000403197835292841	-0.146558301265089	0.315	0.417	1	"Mig"	"ERCC-00092"	"Brain cortex"
"SIGLEC8"	0.000488073655576026	-0.280288449683749	0.155	0.225	1	"Mig"	"SIGLEC8"	"Brain cortex"
"FGL2"	0.000509353163948374	0.516104750732613	0.22	0.154	1	"Mig"	"FGL2"	"Brain cortex"
"CD84"	0.000540559258396075	0.450514067625378	0.363	0.298	1	"Mig"	"CD84"	"Brain cortex"
"SRGN"	0.000569839274551921	0.595818243241197	0.428	0.361	1	"Mig"	"SRGN"	"Brain cortex"
"ARPC5"	0.000599979874307464	-0.443203775454925	0.07	0.119	1	"Mig"	"ARPC5"	"Brain cortex"
"MT-TK"	0.000742496282912747	-0.301533514484407	0.289	0.369	1	"Mig"	"MT-TK"	"Brain cortex"
"CEP350"	0.000750717180584294	-0.556902715003343	0.066	0.113	1	"Mig"	"CEP350"	"Brain cortex"
"ITM2C"	0.000786628041592582	-0.262144163631427	0.117	0.177	1	"Mig"	"ITM2C"	"Brain cortex"
"SAT1"	0.000945859575245591	0.647182954036663	0.27	0.206	1	"Mig"	"SAT1"	"Brain cortex"
"PFN1"	0.000957300041989574	-0.312876344078159	0.154	0.22	1	"Mig"	"PFN1"	"Brain cortex"
"MTND2P28"	0.00109790639711604	-0.271486194046192	0.155	0.223	1	"Mig"	"MTND2P28"	"Brain cortex"
"CTSB"	0.00110388694952863	-0.238839188977909	0.344	0.438	1	"Mig"	"CTSB"	"Brain cortex"
"SNORD100"	0.00124491339067298	0.472039567577216	0.462	0.42	1	"Mig"	"SNORD100"	"Brain cortex"
"ACY3"	0.00130834733069186	-0.31928347487384	0.105	0.159	1	"Mig"	"ACY3"	"Brain cortex"
"HEXB"	0.00132617845186832	-0.383176406511288	0.078	0.127	1	"Mig"	"HEXB"	"Brain cortex"
"CANX"	0.0014325702915426	-0.209512807537009	0.221	0.299	1	"Mig"	"CANX"	"Brain cortex"
"OTUD1"	0.00145152354227048	0.556197209132374	0.188	0.132	1	"Mig"	"OTUD1"	"Brain cortex"
"ERCC-00079"	0.00172851600139496	-0.414948898345956	0.114	0.167	1	"Mig"	"ERCC-00079"	"Brain cortex"
"TLR4"	0.00176032577248876	-0.172131856388942	0.112	0.17	1	"Mig"	"TLR4"	"Brain cortex"
"ENO1"	0.00194389142693575	-0.358187371235918	0.078	0.124	1	"Mig"	"ENO1"	"Brain cortex"
"MTND5P12"	0.00203027081660305	-0.313818360734291	0.22	0.29	1	"Mig"	"MTND5P12"	"Brain cortex"
"IER3"	0.0020531970342333	-0.106684850948543	0.149	0.212	1	"Mig"	"IER3"	"Brain cortex"
"EGR3"	0.00214360650738048	0.541927805130345	0.166	0.114	1	"Mig"	"EGR3"	"Brain cortex"
"A2M"	0.00218438745003741	0.259706697664205	0.781	0.782	1	"Mig"	"A2M"	"Brain cortex"
"HSPA8"	0.00225354181145762	-0.257436334619218	0.141	0.201	1	"Mig"	"HSPA8"	"Brain cortex"
"AC096919.1"	0.00239995017189014	0.517973396855037	0.16	0.113	1	"Mig"	"AC096919.1"	"Brain cortex"
"LPIN2"	0.00242884616112146	-0.259411214879111	0.078	0.124	1	"Mig"	"LPIN2"	"Brain cortex"
"FEZ2"	0.00245940327903102	0.485467074261871	0.151	0.101	1	"Mig"	"FEZ2"	"Brain cortex"
"CIRBP"	0.00251663889697327	0.449453401057496	0.154	0.106	1	"Mig"	"CIRBP"	"Brain cortex"
"P2RY12"	0.00275818409462543	0.347904366779515	0.723	0.71	1	"Mig"	"P2RY12"	"Brain cortex"
"JUN"	0.00279433490592745	-0.262928471338915	0.09	0.139	1	"Mig"	"JUN"	"Brain cortex"
"MT-ATP6"	0.00311344939520176	-0.100246269737647	0.918	0.952	1	"Mig"	"MT-ATP6"	"Brain cortex"
"HTRA1"	0.00329341753115482	-0.133184105073345	0.502	0.583	1	"Mig"	"HTRA1"	"Brain cortex"
"C12orf75"	0.00368862495670722	0.59338479486782	0.121	0.079	1	"Mig"	"C12orf75"	"Brain cortex"
"EEF1A1"	0.00387243189849315	0.358660347372299	0.194	0.141	1	"Mig"	"EEF1A1"	"Brain cortex"
"SSR3"	0.00394237795546556	-0.381411061648561	0.063	0.102	1	"Mig"	"SSR3"	"Brain cortex"
"PICALM"	0.00396679526985609	0.492746671969127	0.226	0.174	1	"Mig"	"PICALM"	"Brain cortex"
"FOLR2"	0.00426768394956827	-0.172045705289572	0.161	0.219	1	"Mig"	"FOLR2"	"Brain cortex"
"FAM105A"	0.00434883700412719	0.562578479798207	0.25	0.196	1	"Mig"	"FAM105A"	"Brain cortex"
"GPR34"	0.00441130760278505	0.41969115458321	0.525	0.479	1	"Mig"	"GPR34"	"Brain cortex"
"ADAM28"	0.00442106564068927	0.503135849681469	0.232	0.18	1	"Mig"	"ADAM28"	"Brain cortex"
"MT-ND2"	0.00452364045382759	-0.163816022842676	0.816	0.845	1	"Mig"	"MT-ND2"	"Brain cortex"
"TMIGD3"	0.00465288015639648	0.365446692025692	0.197	0.148	1	"Mig"	"TMIGD3"	"Brain cortex"
"C1QA"	0.00466789638449606	-0.119411610470358	0.419	0.51	1	"Mig"	"C1QA"	"Brain cortex"
"ADGRG1"	0.00471014544055589	-0.127290523657892	0.37	0.451	1	"Mig"	"ADGRG1"	"Brain cortex"
"C3"	0.00471118631569963	0.17500648642778	0.854	0.842	1	"Mig"	"C3"	"Brain cortex"
"CALR"	0.0047694350345087	-0.183590829320032	0.234	0.299	1	"Mig"	"CALR"	"Brain cortex"
"UBB"	0.00478309743372905	-0.115917839783071	0.184	0.249	1	"Mig"	"UBB"	"Brain cortex"
"CSF1R"	0.0050501311809855	0.232860618758957	0.742	0.734	1	"Mig"	"CSF1R"	"Brain cortex"
"CCL3"	0.00509845338350026	0.510908287570754	0.335	0.277	1	"Mig"	"CCL3"	"Brain cortex"
"FCGRT"	0.00560763401658165	-0.127360885175986	0.181	0.242	1	"Mig"	"FCGRT"	"Brain cortex"
"DOCK8"	0.00578170166576835	0.538934718508753	0.184	0.136	1	"Mig"	"DOCK8"	"Brain cortex"
"HLA-C"	0.00582161991735493	0.359319844474356	0.462	0.408	1	"Mig"	"HLA-C"	"Brain cortex"
"CD4"	0.00583835943790476	-0.203584940835273	0.273	0.342	1	"Mig"	"CD4"	"Brain cortex"
"TMSB4X"	0.00587435000235435	0.131992275427336	0.818	0.803	1	"Mig"	"TMSB4X"	"Brain cortex"
"MTRNR2L8"	0.00602144334468288	-0.409469329180204	0.242	0.302	1	"Mig"	"MTRNR2L8"	"Brain cortex"
"MTND4P12"	0.00602298405534326	0.397752832371657	0.17	0.124	1	"Mig"	"MTND4P12"	"Brain cortex"
"WASHC4"	0.00610011506455792	0.604642063093492	0.109	0.071	1	"Mig"	"WASHC4"	"Brain cortex"
"YWHAH"	0.00630498695791185	-0.258555129343386	0.195	0.254	1	"Mig"	"YWHAH"	"Brain cortex"
"HAVCR2"	0.00680287418256475	0.54326022974939	0.174	0.131	1	"Mig"	"HAVCR2"	"Brain cortex"
"MARCKS"	0.00687492128055257	-0.160345228850227	0.43	0.512	1	"Mig"	"MARCKS"	"Brain cortex"
"ZFP36"	0.00706932592070604	0.406257429843198	0.224	0.175	1	"Mig"	"ZFP36"	"Brain cortex"
"FCGR1B"	0.00717750919561145	0.382761992479653	0.187	0.14	1	"Mig"	"FCGR1B"	"Brain cortex"
"UCP2"	0.00757756086628241	-0.282564911770053	0.09	0.132	1	"Mig"	"UCP2"	"Brain cortex"
"RAP1A"	0.00775833678993487	0.389274404152373	0.123	0.083	1	"Mig"	"RAP1A"	"Brain cortex"
"CDV3"	0.00783178438405371	-0.267365142706635	0.101	0.145	1	"Mig"	"CDV3"	"Brain cortex"
"P2RX7"	0.0082745770446246	-0.363302497589995	0.075	0.113	1	"Mig"	"P2RX7"	"Brain cortex"
"FTH1P20"	0.00831244940968955	0.419869523626458	0.125	0.087	1	"Mig"	"FTH1P20"	"Brain cortex"
"ANKRD11"	0.00847743543081764	-0.46470011135134	0.071	0.108	1	"Mig"	"ANKRD11"	"Brain cortex"
"ATP6V0C"	0.00889230180996362	-0.264290438483683	0.148	0.198	1	"Mig"	"ATP6V0C"	"Brain cortex"
"PTP4A2"	0.00891458052477364	-0.364120919349145	0.089	0.13	1	"Mig"	"PTP4A2"	"Brain cortex"
"FTH1"	0.00967281197373	0.298496597148417	0.472	0.431	1	"Mig"	"FTH1"	"Brain cortex"
"AP003385.3"	0.0100603234068539	0.38596167032629	0.107	0.071	1	"Mig"	"AP003385.3"	"Brain cortex"
"TGFBR1"	0.010068703501854	0.27829583363991	0.249	0.194	1	"Mig"	"TGFBR1"	"Brain cortex"
"TMSB4XP4"	0.0102040707650122	0.318824571609362	0.166	0.123	1	"Mig"	"TMSB4XP4"	"Brain cortex"
"ITGB1"	0.0102453504224853	-0.41860584492298	0.065	0.1	1	"Mig"	"ITGB1"	"Brain cortex"
"CEBPB"	0.0104884528438215	0.359132585041312	0.198	0.152	1	"Mig"	"CEBPB"	"Brain cortex"
"HNRNPA2B1"	0.0105096976307864	0.535087423240489	0.199	0.155	1	"Mig"	"HNRNPA2B1"	"Brain cortex"
"SKAP2"	0.0105484311904967	-0.208994080358913	0.096	0.139	1	"Mig"	"SKAP2"	"Brain cortex"
"CMTM6"	0.0106351226891228	0.33156064745728	0.205	0.157	1	"Mig"	"CMTM6"	"Brain cortex"
"MT-CO1"	0.0110521184165836	-0.0806913577484805	0.907	0.947	1	"Mig"	"MT-CO1"	"Brain cortex"
"CYBA"	0.0111977504531816	-0.111965617123152	0.249	0.311	1	"Mig"	"CYBA"	"Brain cortex"
"SLC2A5"	0.0112896539096452	-0.197628739899931	0.314	0.378	1	"Mig"	"SLC2A5"	"Brain cortex"
"HLA-B"	0.0114647915717326	0.282268194706646	0.628	0.601	1	"Mig"	"HLA-B"	"Brain cortex"
"SNORA33"	0.0114868195978162	0.421978874886574	0.329	0.295	1	"Mig"	"SNORA33"	"Brain cortex"
"TRAM1"	0.0117914831599989	-0.0972735906698772	0.083	0.122	1	"Mig"	"TRAM1"	"Brain cortex"
"SORT1"	0.0121278960105138	0.301902908179981	0.197	0.152	1	"Mig"	"SORT1"	"Brain cortex"
"PEA15"	0.012239601107776	-0.261404740163161	0.11	0.153	1	"Mig"	"PEA15"	"Brain cortex"
"AL121612.1"	0.0122700115677749	0.348372709096315	0.17	0.128	1	"Mig"	"AL121612.1"	"Brain cortex"
"FTLP2"	0.0132122535450856	-0.240622932505173	0.149	0.198	1	"Mig"	"FTLP2"	"Brain cortex"
"SLCO2B1"	0.0134096760509035	0.403501677866432	0.382	0.341	1	"Mig"	"SLCO2B1"	"Brain cortex"
"CFL1"	0.0135469138386485	-0.0920219569130905	0.238	0.301	1	"Mig"	"CFL1"	"Brain cortex"
"SRP14"	0.0135886554016962	-0.179767240291499	0.105	0.146	1	"Mig"	"SRP14"	"Brain cortex"
"SESN3"	0.013947733675456	-0.16327406783077	0.076	0.113	1	"Mig"	"SESN3"	"Brain cortex"
"TGFBR2"	0.0142497724799213	0.299299827134296	0.235	0.185	1	"Mig"	"TGFBR2"	"Brain cortex"
"AL033519.2"	0.0144945087437433	0.260199647429413	0.317	0.271	1	"Mig"	"AL033519.2"	"Brain cortex"
"ST6GAL1"	0.0147134055064861	0.278578133553653	0.492	0.448	1	"Mig"	"ST6GAL1"	"Brain cortex"
"RIN2"	0.0154084273306731	0.342898697756358	0.196	0.15	1	"Mig"	"RIN2"	"Brain cortex"
"SNORD72"	0.0155032770668156	0.302054653039138	0.498	0.478	1	"Mig"	"SNORD72"	"Brain cortex"
"AC068724.1"	0.0155872479290895	0.298290185522871	0.247	0.203	1	"Mig"	"AC068724.1"	"Brain cortex"
"SSB"	0.0156716770196666	-0.181025848986115	0.067	0.101	1	"Mig"	"SSB"	"Brain cortex"
"AC004453.1"	0.0160145229632614	-0.278218754057408	0.183	0.232	1	"Mig"	"AC004453.1"	"Brain cortex"
"APOC1"	0.0161003396678743	0.44216457613945	0.117	0.082	1	"Mig"	"APOC1"	"Brain cortex"
"MTCO1P40"	0.0161663969398361	0.288956278136533	0.366	0.329	1	"Mig"	"MTCO1P40"	"Brain cortex"
"PRRC2B"	0.0163742162093557	-0.290175985828536	0.071	0.104	1	"Mig"	"PRRC2B"	"Brain cortex"
"SH3BGRL3"	0.0166970681597693	-0.0844482149357022	0.11	0.153	1	"Mig"	"SH3BGRL3"	"Brain cortex"
"TMEM173"	0.0168389955202207	0.44992942732643	0.114	0.08	1	"Mig"	"TMEM173"	"Brain cortex"
"AC034236.1"	0.0169948665663982	0.285950041146132	0.253	0.21	1	"Mig"	"AC034236.1"	"Brain cortex"
"MT-CO3"	0.0173511240447108	0.239729187210394	0.896	0.922	1	"Mig"	"MT-CO3"	"Brain cortex"
"CTTNBP2NL"	0.0177744636876578	0.0424165481382732	0.114	0.155	1	"Mig"	"CTTNBP2NL"	"Brain cortex"
"PDIA6"	0.0183713509495468	-0.330815769651087	0.108	0.146	1	"Mig"	"PDIA6"	"Brain cortex"
"XBP1"	0.0185801889141557	-0.470650206445788	0.093	0.128	1	"Mig"	"XBP1"	"Brain cortex"
"ERCC-00112"	0.0188957037684765	-0.125599200505454	0.149	0.196	1	"Mig"	"ERCC-00112"	"Brain cortex"
"ANXA5"	0.0193320429165149	0.517164672321296	0.126	0.092	1	"Mig"	"ANXA5"	"Brain cortex"
"U1"	0.0194844529202994	-0.351973922866309	0.081	0.115	1	"Mig"	"U1"	"Brain cortex"
"C6orf48"	0.0203614633584669	0.442053725168983	0.101	0.069	1	"Mig"	"C6orf48"	"Brain cortex"
"OLR1"	0.0212542122919917	0.291154023535467	0.435	0.381	1	"Mig"	"OLR1"	"Brain cortex"
"MYL6"	0.0215966924169637	-0.0505605206704907	0.139	0.185	1	"Mig"	"MYL6"	"Brain cortex"
"FTH1P8"	0.0222073298087978	0.32128533482568	0.291	0.246	1	"Mig"	"FTH1P8"	"Brain cortex"
"PTMAP4"	0.022713987881831	-0.122562603444522	0.144	0.188	1	"Mig"	"PTMAP4"	"Brain cortex"
"LAIR1"	0.0231985336751112	0.467239833820995	0.218	0.18	1	"Mig"	"LAIR1"	"Brain cortex"
"HVCN1"	0.0233752777513697	-0.0925569862484263	0.08	0.115	1	"Mig"	"HVCN1"	"Brain cortex"
"CELF2"	0.0245038596851884	0.59584617445536	0.152	0.117	1	"Mig"	"CELF2"	"Brain cortex"
"CTSD"	0.0252889457747405	-0.0674485904472648	0.143	0.188	1	"Mig"	"CTSD"	"Brain cortex"
"SPTLC2"	0.0253497695220895	0.363942671223669	0.192	0.15	1	"Mig"	"SPTLC2"	"Brain cortex"
"AC107032.1"	0.0258305281574419	0.361962926302075	0.217	0.18	1	"Mig"	"AC107032.1"	"Brain cortex"
"GNB1"	0.0261498358049575	-0.187647413574251	0.087	0.122	1	"Mig"	"GNB1"	"Brain cortex"
"CST3"	0.0262434204332526	-0.0699194148306743	0.481	0.56	1	"Mig"	"CST3"	"Brain cortex"
"TMEM176B"	0.0264611954023765	-0.214408600263959	0.09	0.124	1	"Mig"	"TMEM176B"	"Brain cortex"
"TMEM119"	0.0266719092047023	-0.103871418789104	0.227	0.282	1	"Mig"	"TMEM119"	"Brain cortex"
"ITPR2"	0.0268312383234664	0.358832806143507	0.231	0.189	1	"Mig"	"ITPR2"	"Brain cortex"
"AL009174.1"	0.0281463150307104	0.370092865198565	0.212	0.177	1	"Mig"	"AL009174.1"	"Brain cortex"
"REEP5"	0.0283020671009001	0.365098958001632	0.138	0.104	1	"Mig"	"REEP5"	"Brain cortex"
"AC012618.1"	0.0285164274636572	0.228420581282946	0.16	0.122	1	"Mig"	"AC012618.1"	"Brain cortex"
"PTMA"	0.0285913868821487	-0.0762710282787653	0.268	0.326	1	"Mig"	"PTMA"	"Brain cortex"
"HLA-DOA"	0.0296701370075609	-0.038186428433959	0.092	0.127	1	"Mig"	"HLA-DOA"	"Brain cortex"
"FLOT1"	0.0297427072150472	0.367863173493737	0.114	0.083	1	"Mig"	"FLOT1"	"Brain cortex"
"RHOB"	0.0309874463547204	-0.140119195942426	0.096	0.131	1	"Mig"	"RHOB"	"Brain cortex"
"RTN4"	0.0313897436631285	0.184651875574641	0.285	0.346	1	"Mig"	"RTN4"	"Brain cortex"
"PPIG"	0.0314057519898855	0.453297847135901	0.144	0.109	1	"Mig"	"PPIG"	"Brain cortex"
"VSIG4"	0.032354680172505	-0.0880752773984179	0.185	0.234	1	"Mig"	"VSIG4"	"Brain cortex"
"FTH1P1"	0.0326068846847229	0.329294322651782	0.132	0.101	1	"Mig"	"FTH1P1"	"Brain cortex"
