"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"MTCO2P12"	6.81355607728337e-68	-2.0723055901326	0.066	0.424	3.87057680082236e-63	"Mig"	"MTCO2P12"	"Brain cortex"
"ERCC-00046"	8.50793187716504e-56	-0.659253286349707	0.984	0.999	4.83310086146114e-51	"Mig"	"ERCC-00046"	"Brain cortex"
"ERCC-00004"	2.26233605667281e-42	-0.505113298831268	0.997	1	1.28516524371412e-37	"Mig"	"ERCC-00004"	"Brain cortex"
"ERCC-00171"	3.69713137266354e-27	-0.456880773918498	0.973	0.999	2.10022941886897e-22	"Mig"	"ERCC-00171"	"Brain cortex"
"MTRNR2L1"	2.27488349580318e-26	1.41200338423212	0.371	0.161	1.29229306746091e-21	"Mig"	"MTRNR2L1"	"Brain cortex"
"HLA-DRB5"	2.03746091704046e-24	2.10313328043396	0.187	0.03	1.15742042314318e-19	"Mig"	"HLA-DRB5"	"Brain cortex"
"RGS1"	1.55613176803962e-23	1.83913042135441	0.25	0.069	8.83991773470269e-19	"Mig"	"RGS1"	"Brain cortex"
"ERCC-00096"	2.64586382964102e-21	-0.317192675000449	1	1	1.50303586570418e-16	"Mig"	"ERCC-00096"	"Brain cortex"
"ERCC-00003"	3.85255270583338e-20	-0.480308754736592	0.824	0.93	2.18851961560277e-15	"Mig"	"ERCC-00003"	"Brain cortex"
"ERCC-00074"	1.6213337888287e-18	-0.383973547053021	1	1	9.21031085419918e-14	"Mig"	"ERCC-00074"	"Brain cortex"
"ERCC-00113"	1.76938785529221e-17	-0.293456436301534	0.995	1	1.00513615895584e-12	"Mig"	"ERCC-00113"	"Brain cortex"
"ERCC-00002"	1.09102262396287e-16	-0.242508539520784	1	1	6.19777221994587e-12	"Mig"	"ERCC-00002"	"Brain cortex"
"ERCC-00043"	4.3506087004899e-15	-0.393942344007986	0.7	0.846	2.4714502844873e-10	"Mig"	"ERCC-00043"	"Brain cortex"
"ERCC-00108"	4.77795926901528e-15	-0.365321995280733	0.747	0.922	2.71421532194951e-10	"Mig"	"ERCC-00108"	"Brain cortex"
"PDK4"	5.59889470268584e-15	1.61373227669414	0.17	0.051	3.18056411375475e-10	"Mig"	"PDK4"	"Brain cortex"
"ERCC-00111"	1.3081409241465e-13	-0.425143530445655	0.64	0.801	7.431156147799e-09	"Mig"	"ERCC-00111"	"Brain cortex"
"CEBPD"	4.81131380173023e-13	1.34350364833157	0.165	0.054	2.73316303134889e-08	"Mig"	"CEBPD"	"Brain cortex"
"ERCC-00042"	1.24029402228796e-12	-0.428143395764293	0.601	0.75	7.04573825241123e-08	"Mig"	"ERCC-00042"	"Brain cortex"
"ERCC-00009"	1.58550496156258e-12	-0.401998926883997	0.724	0.868	9.00677803514856e-08	"Mig"	"ERCC-00009"	"Brain cortex"
