"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"ERCC-00130"	8.14921256297314e-73	-1.34787514586917	1	1	4.62932318064815e-68	"Mig"	"ERCC-00130"	"20-40"
"ERCC-00002"	1.34980452768492e-64	-1.23550474634103	1	1	7.66783458041974e-60	"Mig"	"ERCC-00002"	"20-40"
"ERCC-00074"	2.18602845910446e-58	-1.05214837432414	1	1	1.24181718676347e-53	"Mig"	"ERCC-00074"	"20-40"
"ERCC-00096"	4.15395429614317e-55	-0.980380600989797	1	1	2.35973681701005e-50	"Mig"	"ERCC-00096"	"20-40"
"ERCC-00004"	6.31429103596856e-51	-1.13741765636831	0.989	1	3.58695930880266e-46	"Mig"	"ERCC-00004"	"20-40"
"SPP1"	6.53644435565681e-48	2.47646357507712	0.923	0.484	3.71315794511796e-43	"Mig"	"SPP1"	"20-40"
"RGS1"	1.31221723259883e-43	3.67717741561363	0.614	0.043	7.45431243322416e-39	"Mig"	"RGS1"	"20-40"
"MTCO2P12"	2.93871296409225e-41	-2.47898782616821	0.06	0.601	1.66939467351188e-36	"Mig"	"MTCO2P12"	"20-40"
"ERCC-00046"	3.31106832704624e-41	-0.881434283993745	1	1	1.88091858454516e-36	"Mig"	"ERCC-00046"	"20-40"
"EEF1A1P5"	6.89157586600375e-35	1.5454592685377	0.898	0.624	3.91489750220075e-30	"Mig"	"EEF1A1P5"	"20-40"
"ERCC-00113"	1.08546776428536e-34	-0.823673847163726	1	1	6.16621672857583e-30	"Mig"	"ERCC-00113"	"20-40"
"ERCC-00171"	5.34647064825729e-33	-0.882029250379219	0.954	1	3.03716958115552e-28	"Mig"	"ERCC-00171"	"20-40"
"PDK4"	2.68498889888432e-27	2.82848976474701	0.463	0.054	1.52526164378922e-22	"Mig"	"PDK4"	"20-40"
"MTRNR2L1"	5.82820978913748e-27	2.13156288454472	0.544	0.136	3.31083113491533e-22	"Mig"	"MTRNR2L1"	"20-40"
"CEBPD"	2.77223157244749e-22	2.52344540046421	0.421	0.066	1.57482158936025e-17	"Mig"	"CEBPD"	"20-40"
"MTND4P12"	1.24570011604704e-21	2.03916487028482	0.396	0.058	7.07644864922841e-17	"Mig"	"MTND4P12"	"20-40"
"ERCC-00136"	1.49803504820905e-21	-0.691680588821688	0.958	0.996	8.50988769836117e-17	"Mig"	"ERCC-00136"	"20-40"
"B2M"	6.99152431391588e-21	1.09593487621229	0.909	0.725	3.97167521700619e-16	"Mig"	"B2M"	"20-40"
"IFNGR1"	1.39698997645365e-20	1.27411947614859	0.842	0.581	7.93588095924024e-16	"Mig"	"IFNGR1"	"20-40"
"SNORD100"	4.39894239353426e-19	1.78962596739931	0.632	0.345	2.49890720549501e-14	"Mig"	"SNORD100"	"20-40"
"CCL2"	9.82487144597456e-19	-2.76417496817396	0.077	0.391	5.58121472231477e-14	"Mig"	"CCL2"	"20-40"
"SNORA31"	6.05098754506521e-18	1.04103543646359	0.905	0.733	3.43738449472519e-13	"Mig"	"SNORA31"	"20-40"
"ERCC-00003"	9.2297146603239e-18	-0.747736966296309	0.828	0.981	5.2431240070902e-13	"Mig"	"ERCC-00003"	"20-40"
"ERCC-00108"	4.62961572802319e-17	-0.741640146846621	0.684	0.942	2.62994580661813e-12	"Mig"	"ERCC-00108"	"20-40"
"ITM2B"	5.21691198575502e-17	0.99510469277501	0.923	0.826	2.96357119174786e-12	"Mig"	"ITM2B"	"20-40"
"ERCC-00009"	1.13115282150579e-14	-0.761898560449639	0.663	0.907	6.42573983312794e-10	"Mig"	"ERCC-00009"	"20-40"
"AL033519.2"	5.6194465544723e-14	1.40050488070828	0.46	0.174	3.19223900419908e-09	"Mig"	"AL033519.2"	"20-40"
"AC005912.1"	7.54460243196868e-14	1.35222232567796	0.554	0.298	4.28586230352845e-09	"Mig"	"AC005912.1"	"20-40"
"AC073861.1"	9.17800820293856e-14	1.65678697666496	0.467	0.209	5.21375111984331e-09	"Mig"	"AC073861.1"	"20-40"
"SNORA52"	1.83774954659458e-13	1.41735777053914	0.516	0.248	1.04397038493398e-08	"Mig"	"SNORA52"	"20-40"
