"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"NTNG1"	1.98722289115424e-13	1.44306745427208	0.189	0.025	4.26895221477754e-09	"Ast"	"NTNG1"	"MS"
"SPARCL1"	2.22793390556451e-13	-1.16930050147378	0.429	0.712	4.78604761593368e-09	"Ast"	"SPARCL1"	"MS"
"PCDH9"	2.70924772582799e-13	-0.660039724781326	0.898	0.949	5.82000596462369e-09	"Ast"	"PCDH9"	"MS"
"TTTY14"	2.84958173494299e-13	-1.7561557356525	0	0.23	6.12147148300453e-09	"Ast"	"TTTY14"	"MS"
"IGHA1"	3.1404676115279e-13	4.43232098084357	0.117	0.002	6.74635252308423e-09	"Ast"	"IGHA1"	"MS"
"AC105402.4"	3.86156302998628e-13	-2.12066287075019	0.02	0.266	8.29540970101652e-09	"Ast"	"AC105402.4"	"MS"
"EMX2"	6.81216048323418e-13	-1.84781099438286	0	0.224	1.46338831500837e-08	"Ast"	"EMX2"	"MS"
"MAPK8IP1"	8.40339805320952e-13	1.34906658426355	0.342	0.121	1.80521796979047e-08	"Ast"	"MAPK8IP1"	"MS"
"AC015936.3"	8.76717664905625e-13	1.3430823656747	0.153	0.015	1.88336488775026e-08	"Ast"	"AC015936.3"	"MS"
"UTY"	1.61672484996097e-12	-1.48606845880358	0	0.218	3.47304832268615e-08	"Ast"	"UTY"	"MS"
"AC074363.1"	1.80695584104707e-12	-1.42447754764647	0.031	0.281	3.88170253773731e-08	"Ast"	"AC074363.1"	"MS"
"GRID2"	1.90669961494949e-12	1.91058797671165	0.255	0.066	4.09597211283449e-08	"Ast"	"GRID2"	"MS"
"DGKG"	2.20054246658853e-12	-1.38788271714075	0.051	0.307	4.72720532672549e-08	"Ast"	"DGKG"	"MS"
"TMEM163"	2.96205049438506e-12	1.4232240138594	0.143	0.013	6.36307687203799e-08	"Ast"	"TMEM163"	"MS"
"CADM2"	3.10504892672478e-12	-0.844683437239749	0.561	0.786	6.67026610439018e-08	"Ast"	"CADM2"	"MS"
"GRIA2"	3.86857998883951e-12	-1.4246919232292	0.102	0.366	8.31048353202503e-08	"Ast"	"GRIA2"	"MS"
"EPHA6"	3.99431310503625e-12	-1.64729982697216	0.01	0.233	8.58058341223887e-08	"Ast"	"EPHA6"	"MS"
"TNC"	5.37310711685289e-12	1.45072643915601	0.352	0.129	1.15425087084234e-07	"Ast"	"TNC"	"MS"
