"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"ZBTB20"	1.56590074217955e-06	-0.327917253042336	0.824	0.939	0.0168553555888207	"Ast"	"ZBTB20"	"N"
"PCDH9"	1.60396974155088e-06	-0.248930912715268	0.977	0.997	0.0172651302980537	"Ast"	"PCDH9"	"N"
"TNRC6C"	1.65978983241804e-06	-0.633402655307864	0.051	0.209	0.0178659777561478	"Ast"	"TNRC6C"	"N"
"RYR3"	2.03147292043051e-06	-0.410447959034725	0.602	0.802	0.021866774515514	"Ast"	"RYR3"	"N"
"ESRRG"	2.05733345438579e-06	-0.50395482061182	0.324	0.549	0.0221451373030086	"Ast"	"ESRRG"	"N"
"ITPR2"	2.09040321171121e-06	-0.442580311633542	0.477	0.697	0.0225011001708595	"Ast"	"ITPR2"	"N"
"FAM184A"	2.1901188665853e-06	-0.591138102616328	0.199	0.401	0.0235744394799242	"Ast"	"FAM184A"	"N"
"TANK"	2.2892452416071e-06	-0.777787741992356	0.028	0.167	0.0246414357806589	"Ast"	"TANK"	"N"
"PHLPP1"	2.29930118790644e-06	-0.407599564079475	0.398	0.646	0.0247496779866249	"Ast"	"PHLPP1"	"N"
"LCNL1"	2.43092297084522e-06	-0.669573281363033	0.17	0.355	0.026166454858178	"Ast"	"LCNL1"	"N"
"PSD3"	2.63266447117665e-06	-0.574270161060573	0.358	0.576	0.0283380003677455	"Ast"	"PSD3"	"N"
"LSAMP"	2.71433032653023e-06	-0.204468221202165	0.989	1	0.0292170516347714	"Ast"	"LSAMP"	"N"
"PARD3B"	3.06054072944233e-06	-0.400754726825435	0.443	0.687	0.0329436604117172	"Ast"	"PARD3B"	"N"
"PLCB1"	3.06732173178365e-06	-0.47962340022696	0.33	0.539	0.0330166511209192	"Ast"	"PLCB1"	"N"
"ACSBG1"	4.08979802823346e-06	-0.489262254928512	0.216	0.408	0.0440225859759049	"Ast"	"ACSBG1"	"N"
"PLD5"	4.17203628143806e-06	0.842709638061286	0.222	0.111	0.0449077985333992	"Ast"	"PLD5"	"N"
"LGI1"	4.18435666648055e-06	-0.353145156361957	0.205	0.414	0.0450404151579967	"Ast"	"LGI1"	"N"
"LMO3"	4.45782210405466e-06	-0.606787516112245	0.239	0.435	0.0479839971280443	"Ast"	"LMO3"	"N"
"FAM107A"	4.49123571981845e-06	-0.734061668806825	0.125	0.297	0.0483436612881257	"Ast"	"FAM107A"	"N"
"FUT8"	4.61709569780102e-06	-0.667091927237597	0.176	0.351	0.0496984180911302	"Ast"	"FUT8"	"N"
"FUT9"	5.39091638436998e-06	-0.223766972007331	0.534	0.781	0.0580278239613585	"Ast"	"FUT9"	"N"
"C1orf21"	5.39362408667262e-06	-0.655541565869204	0.176	0.361	0.0580569696689441	"Ast"	"C1orf21"	"N"
"LINC00461"	6.01144881712722e-06	-0.45332033565231	0.449	0.639	0.0647072350675574	"Ast"	"LINC00461"	"N"
"ST18"	6.36550554833009e-06	-0.894559751277895	0.051	0.191	0.068518301722225	"Ast"	"ST18"	"N"
"EPHB1"	6.45040608121011e-06	-0.608402791500371	0.199	0.382	0.0694321710581456	"Ast"	"EPHB1"	"N"
"HMBOX1"	6.48180838195225e-06	-0.813735236855727	0.062	0.207	0.069770185423334	"Ast"	"HMBOX1"	"N"
"TOM1L1"	6.71916654403233e-06	0.748295853377488	0.153	0.064	0.072325108679964	"Ast"	"TOM1L1"	"N"
"FIGN"	7.55664393006406e-06	-0.508459063931578	0.188	0.374	0.0813397152632095	"Ast"	"FIGN"	"N"
"KCNMA1"	7.87747642731168e-06	-0.422540691457711	0.347	0.574	0.0847931562635829	"Ast"	"KCNMA1"	"N"
"GPC5"	8.74360395489845e-06	-0.317112011116508	0.898	0.943	0.0941161529705269	"Ast"	"GPC5"	"N"
"ANOS1"	9.43623002031602e-06	-0.647572667484439	0.051	0.187	0.101571579938682	"Ast"	"ANOS1"	"N"
"CHST11"	9.46865332589728e-06	-0.680790481165643	0.097	0.252	0.101920584399958	"Ast"	"CHST11"	"N"
"CELF2"	1.05034302543332e-05	-0.431334308145377	0.455	0.683	0.113058923257643	"Ast"	"CELF2"	"N"
"BRAF"	1.17329180410891e-05	-0.516507527325344	0.136	0.308	0.126293129794283	"Ast"	"BRAF"	"N"
"AHCYL2"	1.26074684469969e-05	-0.228889251245496	0.341	0.564	0.135706790363474	"Ast"	"AHCYL2"	"N"
"CTNNA3"	1.36838991825429e-05	-0.704884947988954	0.108	0.266	0.147293490800891	"Ast"	"CTNNA3"	"N"
"AC074363.1"	1.42794716374714e-05	-0.34918478764099	0.33	0.536	0.153704232705742	"Ast"	"AC074363.1"	"N"
"LINC00511"	1.47853991620613e-05	-0.553974751567403	0.176	0.354	0.159150036580428	"Ast"	"LINC00511"	"N"
"SLC14A1"	1.49292008263372e-05	-0.599001263184145	0.25	0.443	0.160697917694693	"Ast"	"SLC14A1"	"N"
"RABGAP1"	1.51881602941296e-05	-0.679178163654769	0.148	0.303	0.163485357406011	"Ast"	"RABGAP1"	"N"
"FARP1"	1.74188559014409e-05	-0.482949430507967	0.188	0.36	0.18749656492311	"Ast"	"FARP1"	"N"
"GPD2"	1.93179310346021e-05	-0.635254684728174	0.125	0.279	0.207938209656457	"Ast"	"GPD2"	"N"
"LRRC4C"	1.94496233558419e-05	-0.436216595592645	0.477	0.71	0.209355745802282	"Ast"	"LRRC4C"	"N"
"LRRC16A"	2.08408086918738e-05	-0.373793250008696	0.472	0.676	0.22433046475933	"Ast"	"LRRC16A"	"N"
"ACSS3"	2.22288251108919e-05	-0.422148529689311	0.165	0.337	0.23927107349364	"Ast"	"ACSS3"	"N"
"ALCAM"	2.47377943478959e-05	-0.479572350954209	0.233	0.405	0.266277618360751	"Ast"	"ALCAM"	"N"
"MICALL2"	2.49901495067376e-05	-0.425508912598181	0.136	0.296	0.268993969290523	"Ast"	"MICALL2"	"N"
