"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"	"gender"
"PDE4DIP"	1.88824326952172e-12	0.907232221949512	0.837	0.517	2.03250505531318e-08	"Ast"	"PDE4DIP"	"60-70"	"female"
"PTN"	2.55612224683182e-12	-1.65541718957944	0.114	0.392	2.75140998648977e-08	"Ast"	"PTN"	"60-70"	"female"
"AC002429.5"	7.37097288533872e-12	-1.49518248558446	0.127	0.403	7.93411521377859e-08	"Ast"	"AC002429.5"	"60-70"	"female"
"L3MBTL4"	8.65273134210961e-12	1.09637681494286	0.412	0.091	9.31380001664679e-08	"Ast"	"L3MBTL4"	"60-70"	"female"
"LINC-PINT"	8.861058227958e-12	1.05787844853131	0.576	0.222	9.53804307657399e-08	"Ast"	"LINC-PINT"	"60-70"	"female"
"SLC7A2"	1.14686937927991e-11	1.32576137763419	0.339	0.051	1.23449019985689e-07	"Ast"	"SLC7A2"	"60-70"	"female"
"ARHGAP24"	1.61864550390555e-11	-1.74103764412624	0.069	0.312	1.74231002040393e-07	"Ast"	"ARHGAP24"	"60-70"	"female"
"ITPKB"	2.93450826675326e-11	0.885665046903733	0.637	0.267	3.15870469833321e-07	"Ast"	"ITPKB"	"60-70"	"female"
"CD44"	3.84580953380198e-11	1.5425721041176	0.371	0.08	4.13962938218445e-07	"Ast"	"CD44"	"60-70"	"female"
"ADAMTS9-AS2"	8.17311237027241e-11	1.41535381393328	0.322	0.057	8.79753815536122e-07	"Ast"	"ADAMTS9-AS2"	"60-70"	"female"
"DST"	8.50746873663202e-11	0.64849382101519	0.918	0.682	9.15743934811071e-07	"Ast"	"DST"	"60-70"	"female"
"OSBPL11"	1.255185994693e-10	1.20420846663637	0.371	0.091	1.35108220468755e-06	"Ast"	"OSBPL11"	"60-70"	"female"
"ERBB2IP"	1.39180436943149e-10	1.01826109944572	0.706	0.392	1.49813822325606e-06	"Ast"	"ERBB2IP"	"60-70"	"female"
"CADM2"	1.72728550548807e-10	-0.989338402875501	0.718	0.778	1.85925011810736e-06	"Ast"	"CADM2"	"60-70"	"female"
"ARHGAP26"	1.93589513287793e-10	0.932374517481527	0.576	0.244	2.0837975210298e-06	"Ast"	"ARHGAP26"	"60-70"	"female"
"PLD5"	1.93736219136726e-10	-1.459425895849	0.029	0.222	2.08537666278772e-06	"Ast"	"PLD5"	"60-70"	"female"
"TSHZ2"	1.93743915678699e-10	1.43737076469813	0.294	0.045	2.08545950836552e-06	"Ast"	"TSHZ2"	"60-70"	"female"
"HMBOX1"	2.06905506515407e-10	1.34101461600472	0.322	0.062	2.22713087213184e-06	"Ast"	"HMBOX1"	"60-70"	"female"
"AHCYL1"	3.19640277933201e-10	0.786102548083465	0.71	0.358	3.44060795167298e-06	"Ast"	"AHCYL1"	"60-70"	"female"
"DCLK1"	3.86935579042216e-10	0.743210951606068	0.461	0.136	4.16497457281041e-06	"Ast"	"DCLK1"	"60-70"	"female"
"SAT1"	3.99128148573363e-10	-1.2654650499725	0.159	0.409	4.29621539124368e-06	"Ast"	"SAT1"	"60-70"	"female"
"FTL"	4.87184599213282e-10	-1.19269089462302	0.433	0.636	5.24405502593177e-06	"Ast"	"FTL"	"60-70"	"female"
"ITGB8"	4.92646087407397e-10	1.21910720027102	0.376	0.097	5.30284248485322e-06	"Ast"	"ITGB8"	"60-70"	"female"
"DDIT4"	5.16930636085593e-10	1.22984557003988	0.465	0.17	5.56424136682532e-06	"Ast"	"DDIT4"	"60-70"	"female"
"RFX3-AS1"	6.59255976472117e-10	1.00729615804202	0.453	0.153	7.09623133074587e-06	"Ast"	"RFX3-AS1"	"60-70"	"female"
"PDE4D"	1.12891717537113e-09	-1.03530203273843	0.429	0.642	1.21516644756949e-05	"Ast"	"PDE4D"	"60-70"	"female"
"MARCH3"	1.13760189288673e-09	1.33342382714905	0.355	0.091	1.22451467750327e-05	"Ast"	"MARCH3"	"60-70"	"female"
"GLUD1"	1.25441082930754e-09	-1.32078175767526	0.302	0.523	1.35024781666663e-05	"Ast"	"GLUD1"	"60-70"	"female"
"LRRC4C"	2.009878494464e-09	-1.41141678703854	0.257	0.477	2.16343321144105e-05	"Ast"	"LRRC4C"	"60-70"	"female"
"DPYSL2"	2.1960569646394e-09	0.85380206027542	0.624	0.312	2.36383571673785e-05	"Ast"	"DPYSL2"	"60-70"	"female"
"FAM189A2"	2.35639429636716e-09	0.95808510291054	0.539	0.233	2.53642282060961e-05	"Ast"	"FAM189A2"	"60-70"	"female"
"HSPB1"	2.70789995753264e-09	1.23075307205047	0.465	0.182	2.91478351428813e-05	"Ast"	"HSPB1"	"60-70"	"female"
"LCNL1"	2.80694016822791e-09	1.2501477887783	0.449	0.17	3.02139039708052e-05	"Ast"	"LCNL1"	"60-70"	"female"
"C3"	4.59967192406452e-09	1.35030525166827	0.188	0.006	4.95108685906305e-05	"Ast"	"C3"	"60-70"	"female"
"MEG3"	4.86661365938159e-09	-1.53731634373304	0.098	0.307	5.23842294295834e-05	"Ast"	"MEG3"	"60-70"	"female"
"NFKBIA"	4.99410838001555e-09	1.17626904006502	0.302	0.068	5.37565826024874e-05	"Ast"	"NFKBIA"	"60-70"	"female"
"ZFP36"	5.1898291784666e-09	1.29581560580174	0.257	0.04	5.58633212770145e-05	"Ast"	"ZFP36"	"60-70"	"female"
"MTHFD1L"	7.38775702593313e-09	1.18672784332358	0.273	0.051	7.95218166271442e-05	"Ast"	"MTHFD1L"	"60-70"	"female"
"SERPINI2"	7.44919313721999e-09	0.988304542410089	0.335	0.085	8.0183114929036e-05	"Ast"	"SERPINI2"	"60-70"	"female"
"DTNA"	7.51381980001366e-09	0.533197919558765	0.963	0.858	8.0878756327347e-05	"Ast"	"DTNA"	"60-70"	"female"
"RFX4"	8.12180014414529e-09	0.608479822509383	0.739	0.443	8.742305675158e-05	"Ast"	"RFX4"	"60-70"	"female"
"GPI"	9.16316111870218e-09	1.05110851132782	0.273	0.051	9.86322662817103e-05	"Ast"	"GPI"	"60-70"	"female"
"TPST1"	1.19808959880176e-08	0.94036451713021	0.441	0.159	0.000128962364415021	"Ast"	"TPST1"	"60-70"	"female"
"LRRFIP2"	1.52144350184706e-08	0.976663680124902	0.363	0.108	0.000163768178538818	"Ast"	"LRRFIP2"	"60-70"	"female"
"SLC4A4"	1.89713862222655e-08	-1.25157239039942	0.273	0.506	0.000204208001296466	"Ast"	"SLC4A4"	"60-70"	"female"
"PCLO"	2.14386290058116e-08	0.952170879815586	0.286	0.062	0.000230765402618556	"Ast"	"PCLO"	"60-70"	"female"
"NCOA1"	2.16944851043424e-08	0.662989349962676	0.755	0.432	0.000233519437663142	"Ast"	"NCOA1"	"60-70"	"female"
"GABRB1"	2.4910681689101e-08	-1.10298272988378	0.396	0.602	0.000268138577701483	"Ast"	"GABRB1"	"60-70"	"female"
"ATP9A"	2.73181613591995e-08	1.03938440292487	0.339	0.102	0.000294052688870424	"Ast"	"ATP9A"	"60-70"	"female"
"PARD3"	3.40183006310296e-08	0.654078435277005	0.812	0.517	0.000366172987992403	"Ast"	"PARD3"	"60-70"	"female"
"RP11-507B12.2"	3.74659441081922e-08	1.38810610038477	0.229	0.034	0.000403283422380581	"Ast"	"RP11-507B12.2"	"60-70"	"female"
"ABR"	3.7513652794803e-08	0.90811165734366	0.482	0.199	0.000403796958683259	"Ast"	"ABR"	"60-70"	"female"
"MIR4300HG"	4.50083153282066e-08	0.799012895102597	0.478	0.188	0.000484469506192816	"Ast"	"MIR4300HG"	"60-70"	"female"
"LINC00486"	4.55479098205729e-08	0.422614012120365	0.988	0.92	0.000490277701308646	"Ast"	"LINC00486"	"60-70"	"female"
"NPAS3"	5.1554251926736e-08	-0.477957272632119	0.984	0.943	0.000554929967739387	"Ast"	"NPAS3"	"60-70"	"female"
"DIO2"	5.30000161462641e-08	-1.15989537188109	0.012	0.148	0.000570492173798387	"Ast"	"DIO2"	"60-70"	"female"
"MRAS"	5.54212811372317e-08	1.08129610288382	0.31	0.08	0.000596554670161162	"Ast"	"MRAS"	"60-70"	"female"
"NHSL1"	5.62507802559996e-08	-1.33141319426706	0.31	0.489	0.00060548339867558	"Ast"	"NHSL1"	"60-70"	"female"
"RP11-739G5.1"	6.81567374340367e-08	0.992045443342338	0.286	0.068	0.000733639121739971	"Ast"	"RP11-739G5.1"	"60-70"	"female"
"MICALL2"	7.0453096792922e-08	0.78811227060416	0.384	0.136	0.000758357133879013	"Ast"	"MICALL2"	"60-70"	"female"
"RP11-371F15.3"	7.3100549014281e-08	1.10560707147169	0.151	0	0.000786854309589721	"Ast"	"RP11-371F15.3"	"60-70"	"female"
"USP53"	8.55127555729954e-08	1.0883692103648	0.294	0.08	0.000920459300987722	"Ast"	"USP53"	"60-70"	"female"
"ALDH1L1"	9.26129817737423e-08	0.885054264156764	0.433	0.165	0.000996886135812562	"Ast"	"ALDH1L1"	"60-70"	"female"
"PPFIA1"	9.39486529287904e-08	0.744695406018494	0.486	0.21	0.0010112633001255	"Ast"	"PPFIA1"	"60-70"	"female"
