"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"
"DDX3Y"	5.97351858637488e-15	-0.901233481379411	0	0.667	1.43471969407552e-10	"Ast"	"DDX3Y"	"Prefrontal Cortex"
"PRG2"	5.97351858637488e-15	-0.751415542460277	0	0.667	1.43471969407552e-10	"Ast"	"PRG2"	"Prefrontal Cortex"
"PGAM4"	2.47895326776808e-12	-0.37868629374623	0.034	0.833	5.95394995852538e-08	"Ast"	"PGAM4"	"Prefrontal Cortex"
"KRT7"	9.08548120205686e-12	-0.0352706485426499	0.011	0.667	2.18215087511002e-07	"Ast"	"KRT7"	"Prefrontal Cortex"
"AOC1"	1.85921636049653e-11	-0.0521205546941857	0	0.5	4.46546585464057e-07	"Ast"	"AOC1"	"Prefrontal Cortex"
"EIF1AY"	1.85921636049653e-11	-0.670462306826696	0	0.5	4.46546585464057e-07	"Ast"	"EIF1AY"	"Prefrontal Cortex"
"LOC101929295"	1.85921636049653e-11	-0.128559551615889	0	0.5	4.46546585464057e-07	"Ast"	"LOC101929295"	"Prefrontal Cortex"
"USH2A"	9.58234219063564e-09	-0.0253751735122391	0.011	0.5	0.000230148694734687	"Ast"	"USH2A"	"Prefrontal Cortex"
"ZNF488"	9.58234219063564e-09	-0.0241008369384807	0.011	0.5	0.000230148694734687	"Ast"	"ZNF488"	"Prefrontal Cortex"
"ATP6V1C2"	5.18505349885429e-08	-0.0197332164709749	0	0.333	0.00124534614935482	"Ast"	"ATP6V1C2"	"Prefrontal Cortex"
"C2orf70"	5.18505349885429e-08	-0.0284028340357872	0	0.333	0.00124534614935482	"Ast"	"C2orf70"	"Prefrontal Cortex"
"CATSPER3"	5.18505349885429e-08	-0.0283359397294945	0	0.333	0.00124534614935482	"Ast"	"CATSPER3"	"Prefrontal Cortex"
"EGFR-AS1"	5.18505349885429e-08	-0.013562312246588	0	0.333	0.00124534614935482	"Ast"	"EGFR-AS1"	"Prefrontal Cortex"
"GTSF1"	5.18505349885429e-08	-0.0152351452194717	0	0.333	0.00124534614935482	"Ast"	"GTSF1"	"Prefrontal Cortex"
"HLA-G"	5.18505349885429e-08	-0.0222689802643194	0	0.333	0.00124534614935482	"Ast"	"HLA-G"	"Prefrontal Cortex"
"LINC01573"	5.18505349885429e-08	-0.289555621017397	0	0.333	0.00124534614935482	"Ast"	"LINC01573"	"Prefrontal Cortex"
"MAG"	5.18505349885429e-08	-0.340197501767709	0	0.333	0.00124534614935482	"Ast"	"MAG"	"Prefrontal Cortex"
"PRKY"	5.18505349885429e-08	-0.0126438494598151	0	0.333	0.00124534614935482	"Ast"	"PRKY"	"Prefrontal Cortex"
"SENP3"	5.18505349885429e-08	-0.0533539491277133	0	0.333	0.00124534614935482	"Ast"	"SENP3"	"Prefrontal Cortex"
"SFTPC"	5.18505349885429e-08	-0.0477539234991471	0	0.333	0.00124534614935482	"Ast"	"SFTPC"	"Prefrontal Cortex"
"ZFY"	5.18505349885429e-08	-0.166343595424788	0	0.333	0.00124534614935482	"Ast"	"ZFY"	"Prefrontal Cortex"
"CSH1"	7.26865721873345e-08	-0.228660508513022	0.045	0.667	0.0017457860907954	"Ast"	"CSH1"	"Prefrontal Cortex"
"CCDC152"	3.68880161986819e-06	-0.721625268673451	0.112	0.833	0.0885976373059942	"Ast"	"CCDC152"	"Prefrontal Cortex"
"ALG1L"	1.251819004253e-05	-0.0985551790063786	0.011	0.333	0.300661888441487	"Ast"	"ALG1L"	"Prefrontal Cortex"
"KCNN4"	1.251819004253e-05	-0.726059098517942	0.011	0.333	0.300661888441487	"Ast"	"KCNN4"	"Prefrontal Cortex"
"LINC00620"	1.57548831844677e-05	-0.0898941450841499	0.011	0.333	0.378400784324544	"Ast"	"LINC00620"	"Prefrontal Cortex"
"PHLDA2"	1.57548831844677e-05	-0.0357827675640329	0.011	0.333	0.378400784324544	"Ast"	"PHLDA2"	"Prefrontal Cortex"
