"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"PGAM4"	0.000115954451077955	-0.379608193461412	0	0.833	1	"Ast"	"PGAM4"	"19-24w"
"DDX3Y"	0.000809775291346263	-0.901233481379411	0	0.667	1	"Ast"	"DDX3Y"	"19-24w"
"DNLZ"	0.000809775291346263	-0.217406397628498	0	0.667	1	"Ast"	"DNLZ"	"19-24w"
"HIST1H2BK"	0.000809775291346263	-0.90694553631761	0	0.667	1	"Ast"	"HIST1H2BK"	"19-24w"
"LECT1"	0.000809775291346263	-0.448122526979193	0	0.667	1	"Ast"	"LECT1"	"19-24w"
"PCDH15"	0.000809775291346263	-0.70978538380467	0	0.667	1	"Ast"	"PCDH15"	"19-24w"
"PIP5K1A"	0.000809775291346263	-0.735333887640979	0	0.667	1	"Ast"	"PIP5K1A"	"19-24w"
"PLP1"	0.000809775291346263	-1.12523367255708	0	0.667	1	"Ast"	"PLP1"	"19-24w"
"PRG2"	0.000809775291346263	-0.751415542460277	0	0.667	1	"Ast"	"PRG2"	"19-24w"
"PTPRD-AS1"	0.000809775291346263	-0.0394510915295857	0	0.667	1	"Ast"	"PTPRD-AS1"	"19-24w"
"ZNF573"	0.000809775291346263	-1.50353618571392	0	0.667	1	"Ast"	"ZNF573"	"19-24w"
"SUCLG1"	0.000867472830144834	-2.14276296845778	0.667	1	1	"Ast"	"SUCLG1"	"19-24w"
"MAP3K13"	0.000923254666073654	1.79920781822583	1	0.5	1	"Ast"	"MAP3K13"	"19-24w"
"CCDC152"	0.00107827170567697	-0.80204989916393	0.067	0.833	1	"Ast"	"CCDC152"	"19-24w"
"C16orf91"	0.00116968036136592	-1.34673789689477	0.133	0.833	1	"Ast"	"C16orf91"	"19-24w"
"PIK3C2A"	0.00136302492152473	-1.40807205057482	0.4	1	1	"Ast"	"PIK3C2A"	"19-24w"
"THSD1"	0.00161446250066368	-1.45063392010098	0.267	1	1	"Ast"	"THSD1"	"19-24w"
"MARCKS"	0.00161645699040131	1.84959107380505	1	0.833	1	"Ast"	"MARCKS"	"19-24w"
"PRPF40A"	0.00178316096726381	2.0573821235878	0.933	0.5	1	"Ast"	"PRPF40A"	"19-24w"
"TCEAL8"	0.00209748796730583	-1.81271460920233	0.867	1	1	"Ast"	"TCEAL8"	"19-24w"
"HDDC3"	0.00220837400679616	-2.04049353862722	0.133	0.833	1	"Ast"	"HDDC3"	"19-24w"
"PNMA1"	0.0025539505882017	-1.42490903283101	0.667	1	1	"Ast"	"PNMA1"	"19-24w"
"KBTBD2"	0.00291671004508607	-0.755946391091718	0.2	1	1	"Ast"	"KBTBD2"	"19-24w"
"PHYHIPL"	0.00349672859822032	-1.90122555444793	0.867	1	1	"Ast"	"PHYHIPL"	"19-24w"
"C4orf48"	0.00350738479929008	1.6791152870136	1	0.833	1	"Ast"	"C4orf48"	"19-24w"
"ARHGEF26-AS1"	0.00378759977071524	-1.58532208633542	0.2	0.833	1	"Ast"	"ARHGEF26-AS1"	"19-24w"
"SLC22A17"	0.00379595666113405	1.44044493300307	0.867	0.167	1	"Ast"	"SLC22A17"	"19-24w"
"SNHG6"	0.00385433062206128	1.3744723493069	0.933	0.5	1	"Ast"	"SNHG6"	"19-24w"
"SPP1"	0.00400106118047293	0.427180670720557	0.8	0	1	"Ast"	"SPP1"	"19-24w"
"GPBP1L1"	0.00417207088509193	-0.430417642610083	0.067	0.667	1	"Ast"	"GPBP1L1"	"19-24w"
"NAGPA"	0.00417207088509193	-0.939184793348077	0.067	0.667	1	"Ast"	"NAGPA"	"19-24w"
"RPE"	0.00417207088509193	-0.718831651294201	0.067	0.667	1	"Ast"	"RPE"	"19-24w"
"ZBTB22"	0.00417207088509193	-0.760361920889805	0.067	0.667	1	"Ast"	"ZBTB22"	"19-24w"
"ABTB1"	0.00491278556266632	-0.0264473198600414	0	0.5	1	"Ast"	"ABTB1"	"19-24w"
"ANKRD37"	0.00491278556266632	-0.133913777215542	0	0.5	1	"Ast"	"ANKRD37"	"19-24w"
"AOC1"	0.00491278556266632	-0.0521205546941857	0	0.5	1	"Ast"	"AOC1"	"19-24w"
"EIF1AY"	0.00491278556266632	-0.670462306826696	0	0.5	1	"Ast"	"EIF1AY"	"19-24w"
"GLCE"	0.00491278556266632	-0.0290139626920537	0	0.5	1	"Ast"	"GLCE"	"19-24w"
"HEATR1"	0.00491278556266632	-0.0410211131669915	0	0.5	1	"Ast"	"HEATR1"	"19-24w"
"HEMK1"	0.00491278556266632	-1.46617177873987	0	0.5	1	"Ast"	"HEMK1"	"19-24w"
"IFT172"	0.00491278556266632	-0.650572111951127	0	0.5	1	"Ast"	"IFT172"	"19-24w"
"IMMP2L"	0.00491278556266632	-0.879409530374556	0	0.5	1	"Ast"	"IMMP2L"	"19-24w"
"IQCB1"	0.00491278556266632	-0.518069898519654	0	0.5	1	"Ast"	"IQCB1"	"19-24w"
"LOC101929295"	0.00491278556266632	-0.128559551615889	0	0.5	1	"Ast"	"LOC101929295"	"19-24w"
"PAXIP1-AS1"	0.00491278556266632	-1.34403531044609	0	0.5	1	"Ast"	"PAXIP1-AS1"	"19-24w"
"POLA2"	0.00491278556266632	-0.776150125902965	0	0.5	1	"Ast"	"POLA2"	"19-24w"
"PPAPDC3"	0.00491278556266632	-1.42496499409483	0	0.5	1	"Ast"	"PPAPDC3"	"19-24w"
"PTK2B"	0.00491278556266632	-0.175992394466003	0	0.5	1	"Ast"	"PTK2B"	"19-24w"
"RFX2"	0.00491278556266632	-0.819457868403281	0	0.5	1	"Ast"	"RFX2"	"19-24w"
"RLBP1"	0.00491278556266632	-0.717702572924088	0	0.5	1	"Ast"	"RLBP1"	"19-24w"
"SIRT4"	0.00491278556266632	-0.0244708584429407	0	0.5	1	"Ast"	"SIRT4"	"19-24w"
"SLC10A7"	0.00491278556266632	-1.62957928118616	0	0.5	1	"Ast"	"SLC10A7"	"19-24w"
"TMEFF2"	0.00491278556266632	-0.0155537644323422	0	0.5	1	"Ast"	"TMEFF2"	"19-24w"
"TMEM177"	0.00491278556266632	-0.336887724884494	0	0.5	1	"Ast"	"TMEM177"	"19-24w"
"TTC7A"	0.00491278556266632	-0.0273570396076828	0	0.5	1	"Ast"	"TTC7A"	"19-24w"
"USH2A"	0.00491278556266632	-0.0257720691078681	0	0.5	1	"Ast"	"USH2A"	"19-24w"
"ZNF488"	0.00491278556266632	-0.0244708584429407	0	0.5	1	"Ast"	"ZNF488"	"19-24w"
"ASPH"	0.00501228714548868	-1.09180213467873	0.2	0.833	1	"Ast"	"ASPH"	"19-24w"
"BPTF"	0.0051799903478722	1.50904516095221	0.867	0.333	1	"Ast"	"BPTF"	"19-24w"
"MEF2C"	0.00540593617035661	2.08351146574462	0.867	0.5	1	"Ast"	"MEF2C"	"19-24w"
"FSCN1"	0.00571550914969711	1.54838106566395	1	0.833	1	"Ast"	"FSCN1"	"19-24w"
"NDUFA13"	0.00571550914969711	0.913245916046738	1	0.833	1	"Ast"	"NDUFA13"	"19-24w"
